Measure Names,State,Measure Values
B.1.1.7,Alabama,0.0157
B.1.351,Alabama,
B.1.617.2,Alabama,0.9504
P.1,Alabama,0.0047
AY.1,Alabama,0.0008
AY.2,Alabama,0.0012
Other,Alabama,0.0271
Total available sequences,Alabama,"2,542"
B.1.1.7,Arizona,0.0077
B.1.351,Arizona,
B.1.617.2,Arizona,0.9382
P.1,Arizona,0.0112
AY.1,Arizona,0.0007
AY.2,Arizona,0.0028
Other,Arizona,0.0393
Total available sequences,Arizona,"1,425"
B.1.1.7,Arkansas,0.0059
B.1.351,Arkansas,
B.1.617.2,Arkansas,0.9661
P.1,Arkansas,0.0015
AY.1,Arkansas,
AY.2,Arkansas,0.0029
Other,Arkansas,0.0236
Total available sequences,Arkansas,679
B.1.1.7,California,0.0071
B.1.351,California,0
B.1.617.2,California,0.9488
P.1,California,0.006
AY.1,California,0.0059
AY.2,California,0.0094
Other,California,0.0227
Total available sequences,California,"33,472"
B.1.1.7,Colorado,0.0115
B.1.351,Colorado,0.0007
B.1.617.2,Colorado,0.961
P.1,Colorado,0.0024
AY.1,Colorado,0.0007
AY.2,Colorado,0.0042
Other,Colorado,0.0195
Total available sequences,Colorado,"2,874"
B.1.1.7,Connecticut,0.0119
B.1.351,Connecticut,
B.1.617.2,Connecticut,0.9592
P.1,Connecticut,0.0068
AY.1,Connecticut,
AY.2,Connecticut,0.0017
Other,Connecticut,0.0204
Total available sequences,Connecticut,588
B.1.1.7,District of Columbia,0.0026
B.1.351,District of Columbia,
B.1.617.2,District of Columbia,0.9894
P.1,District of Columbia,
AY.1,District of Columbia,
AY.2,District of Columbia,
Other,District of Columbia,0.0079
Total available sequences,District of Columbia,378
B.1.1.7,Florida,0.013
B.1.351,Florida,0.0001
B.1.617.2,Florida,0.9253
P.1,Florida,0.0108
AY.1,Florida,0.0001
AY.2,Florida,0.0016
Other,Florida,0.0492
Total available sequences,Florida,"18,661"
B.1.1.7,Georgia,0.0091
B.1.351,Georgia,
B.1.617.2,Georgia,0.9556
P.1,Georgia,0.0045
AY.1,Georgia,0.0002
AY.2,Georgia,0.0027
Other,Georgia,0.0279
Total available sequences,Georgia,"5,584"
B.1.1.7,Illinois,0.0083
B.1.351,Illinois,
B.1.617.2,Illinois,0.9532
P.1,Illinois,0.0028
AY.1,Illinois,0.0005
AY.2,Illinois,0.0083
Other,Illinois,0.0269
Total available sequences,Illinois,"2,156"
B.1.1.7,Indiana,0.0065
B.1.351,Indiana,
B.1.617.2,Indiana,0.9664
P.1,Indiana,0.0065
AY.1,Indiana,
AY.2,Indiana,0.0026
Other,Indiana,0.0181
Total available sequences,Indiana,774
B.1.1.7,Kansas,0.0022
B.1.351,Kansas,
B.1.617.2,Kansas,0.9784
P.1,Kansas,
AY.1,Kansas,
AY.2,Kansas,
Other,Kansas,0.0194
Total available sequences,Kansas,464
B.1.1.7,Kentucky,0.0157
B.1.351,Kentucky,
B.1.617.2,Kentucky,0.9396
P.1,Kentucky,0.0078
AY.1,Kentucky,0.0011
AY.2,Kentucky,0.0022
Other,Kentucky,0.0336
Total available sequences,Kentucky,894
B.1.1.7,Louisiana,0.021
B.1.351,Louisiana,
B.1.617.2,Louisiana,0.9282
P.1,Louisiana,0.0015
AY.1,Louisiana,
AY.2,Louisiana,0.0007
Other,Louisiana,0.0486
