Measure Names,State,Measure Values
B.1.1.7,Alabama,0.007253886
B.1.351,Alabama,
P.1,Alabama,0.003108808
B.1.617.2,Alabama,0.955440415
AY.1,Alabama,0.001554404
AY.2,Alabama,0.000518135
Other,Alabama,0.032124352
Total available sequences,Alabama,"1,930"
B.1.1.7,Arizona,0.003190810
B.1.351,Arizona,
P.1,Arizona,0.006381621
B.1.617.2,Arizona,0.962348437
AY.1,Arizona,0.000638162
AY.2,Arizona,0.003828973
Other,Arizona,0.023611997
Total available sequences,Arizona,"1,567"
B.1.1.7,Arkansas,
B.1.351,Arkansas,
P.1,Arkansas,0.001626016
B.1.617.2,Arkansas,0.973983740
AY.1,Arkansas,
AY.2,Arkansas,0.004878049
Other,Arkansas,0.019512195
Total available sequences,Arkansas,615
B.1.1.7,California,0.002162021
B.1.351,California,
P.1,California,0.002882694
B.1.617.2,California,0.970386871
AY.1,California,0.006125725
AY.2,California,0.006584335
Other,California,0.011858355
Total available sequences,California,"30,527"
B.1.1.7,Colorado,0.002724796
B.1.351,Colorado,0.001557026
P.1,Colorado,0.001167770
B.1.617.2,Colorado,0.978980148
AY.1,Colorado,0.001167770
AY.2,Colorado,0.002335539
Other,Colorado,0.012066952
Total available sequences,Colorado,"2,569"
B.1.1.7,Connecticut,0.002762431
B.1.351,Connecticut,
P.1,Connecticut,0.001381215
B.1.617.2,Connecticut,0.984806630
AY.1,Connecticut,
AY.2,Connecticut,0.001381215
Other,Connecticut,0.009668508
Total available sequences,Connecticut,724
B.1.1.7,Delaware,
B.1.351,Delaware,
P.1,Delaware,
B.1.617.2,Delaware,0.988795518
AY.1,Delaware,0.002801120
AY.2,Delaware,
Other,Delaware,0.008403361
Total available sequences,Delaware,357
B.1.1.7,District of Columbia,
B.1.351,District of Columbia,
P.1,District of Columbia,
B.1.617.2,District of Columbia,0.997191011
AY.1,District of Columbia,
AY.2,District of Columbia,
Other,District of Columbia,0.002808989
Total available sequences,District of Columbia,356
B.1.1.7,Florida,0.006376970
B.1.351,Florida,
P.1,Florida,0.005192676
B.1.617.2,Florida,0.937596793
AY.1,Florida,9.109957183e-05
AY.2,Florida,0.000910996
Other,Florida,0.049831466
Total available sequences,Florida,"10,977"
B.1.1.7,Georgia,0.002162162
B.1.351,Georgia,
P.1,Georgia,0.002342342
B.1.617.2,Georgia,0.974414414
AY.1,Georgia,0.000180180
AY.2,Georgia,0.001081081
Other,Georgia,0.019819820
Total available sequences,Georgia,"5,550"
B.1.1.7,Idaho,0.002132196
B.1.351,Idaho,
P.1,Idaho,
B.1.617.2,Idaho,0.987206823
AY.1,Idaho,
AY.2,Idaho,
Other,Idaho,0.010660981
Total available sequences,Idaho,469
B.1.1.7,Illinois,0.002604167
B.1.351,Illinois,
P.1,Illinois,0.001302083
B.1.617.2,Illinois,0.966145833
AY.1,Illinois,0.000651042
AY.2,Illinois,0.001953125
Other,Illinois,0.02734375
Total available sequences,Illinois,"1,536"
B.1.1.7,Indiana,0.006079027
B.1.351,Indiana,
P.1,Indiana,0.001519757
B.1.617.2,Indiana,0.977203647
AY.1,Indiana,
AY.2,Indiana,
Other,Indiana,0.015197568
Total available sequences,Indiana,658
B.1.1.7,Kansas,
B.1.351,Kansas,
P.1,Kansas,
B.1.617.2,Kansas,0.983805668
AY.1,Kansas,
AY.2,Kansas,0.002024291
Other,Kansas,0.014170040
Total available sequences,Kansas,494
B.1.1.7,Kentucky,0.005089059
B.1.351,Kentucky,
P.1,Kentucky,0.000848176
B.1.617.2,Kentucky,0.976251060
AY.1,Kentucky,0.000848176
AY.2,Kentucky,0.001696353
Other,Kentucky,0.015267176
Total available sequences,Kentucky,"1,179"
B.1.1.7,Louisiana,0.022522523
B.1.351,Louisiana,
P.1,Louisiana,0.000900901
B.1.617.2,Louisiana,0.928828829
AY.1,Louisiana,
AY.2,Louisiana,
Other,Louisiana,0.047747748
Total available sequences,Louisiana,"1,110"
B.1.1.7,Maryland,0.002879770
B.1.351,Maryland,
P.1,Maryland,0.002879770
B.1.617.2,Maryland,0.977681785
AY.1,Maryland,0.000719942
AY.2,Maryland,0.000719942
Other,Maryland,0.015118790
Total available sequences,Maryland,"1,389"
B.1.1.7,Massachusetts,0.000481986
B.1.351,Massachusetts,
P.1,Massachusetts,0.003253404
B.1.617.2,Massachusetts,0.981684540
AY.1,Massachusetts,0.001325461
AY.2,Massachusetts,0.000963972
Other,Massachusetts,0.012290637
Total available sequences,Massachusetts,"8,299"
B.1.1.7,Michigan,
B.1.351,Michigan,
P.1,Michigan,0.002666667
B.1.617.2,Michigan,0.970666667
AY.1,Michigan,
AY.2,Michigan,0.005333333
Other,Michigan,0.021333333
Total available sequences,Michigan,375
B.1.1.7,Minnesota,
B.1.351,Minnesota,
P.1,Minnesota,0.000789681
B.1.617.2,Minnesota,0.991050276
AY.1,Minnesota,
AY.2,Minnesota,0.000526454
Other,Minnesota,0.007633588
Total available sequences,Minnesota,"3,799"
B.1.1.7,Mississippi,0.001312336
B.1.351,Mississippi,
P.1,Mississippi,0.002624672
B.1.617.2,Mississippi,0.968503937
AY.1,Mississippi,
AY.2,Mississippi,
Other,Mississippi,0.027559055
Total available sequences,Mississippi,762
B.1.1.7,Missouri,0.001027749
B.1.351,Missouri,
P.1,Missouri,0.001027749
B.1.617.2,Missouri,0.969167523
AY.1,Missouri,
AY.2,Missouri,0.001027749
Other,Missouri,0.027749229
Total available sequences,Missouri,973
B.1.1.7,Nevada,0.000786164
B.1.351,Nevada,
P.1,Nevada,0.000786164
B.1.617.2,Nevada,0.978773585
AY.1,Nevada,0.000786164
AY.2,Nevada,0.006289308
Other,Nevada,0.012578616
Total available sequences,Nevada,"1,272"
B.1.1.7,New Hampshire,
B.1.351,New Hampshire,
P.1,New Hampshire,
B.1.617.2,New Hampshire,0.990595611
AY.1,New Hampshire,
AY.2,New Hampshire,
Other,New Hampshire,0.009404389
Total available sequences,New Hampshire,319
B.1.1.7,New Jersey,0.000733138
B.1.351,New Jersey,
P.1,New Jersey,0.000733138
B.1.617.2,New Jersey,0.976539589
AY.1,New Jersey,0.001099707
AY.2,New Jersey,0.001099707
Other,New Jersey,0.019794721
