Measure Names,State,Measure Values
Total available sequences,Ohio,"1,063"
B.1.1.7,Oklahoma,
B.1.351,Oklahoma,
B.1.617.2,Oklahoma,0.9417
P.1,Oklahoma,
AY.2,Oklahoma,
Other,Oklahoma,0.0583
Total available sequences,Oklahoma,429
B.1.1.7,Oregon,0.026
B.1.351,Oregon,
B.1.617.2,Oregon,0.9314
P.1,Oregon,0.0102
AY.2,Oregon,0.0102
Other,Oregon,0.0221
Total available sequences,Oregon,"1,269"
B.1.1.7,Pennsylvania,0.006
B.1.351,Pennsylvania,
B.1.617.2,Pennsylvania,0.9783
P.1,Pennsylvania,0.0037
AY.2,Pennsylvania,0.0007
Other,Pennsylvania,0.0105
Total available sequences,Pennsylvania,"1,337"
B.1.1.7,Puerto Rico,0.0066
B.1.351,Puerto Rico,
B.1.617.2,Puerto Rico,0.9502
P.1,Puerto Rico,0.0033
AY.2,Puerto Rico,0.0033
Other,Puerto Rico,0.0365
Total available sequences,Puerto Rico,301
B.1.1.7,Rhode Island,0.0027
B.1.351,Rhode Island,
B.1.617.2,Rhode Island,0.9698
P.1,Rhode Island,0.0014
AY.2,Rhode Island,
Other,Rhode Island,0.0261
Total available sequences,Rhode Island,728
B.1.1.7,South Carolina,0.01
B.1.351,South Carolina,
B.1.617.2,South Carolina,0.9638
P.1,South Carolina,
AY.2,South Carolina,0.0031
Other,South Carolina,0.0231
Total available sequences,South Carolina,"1,604"
B.1.1.7,Tennessee,0.0104
B.1.351,Tennessee,
B.1.617.2,Tennessee,0.9443
P.1,Tennessee,0.0023
AY.2,Tennessee,0.0047
Other,Tennessee,0.0376
Total available sequences,Tennessee,"2,980"
B.1.1.7,Texas,0.0118
B.1.351,Texas,
B.1.617.2,Texas,0.9359
P.1,Texas,0.006
AY.2,Texas,0.0037
Other,Texas,0.042
Total available sequences,Texas,"9,927"
B.1.1.7,Utah,0.0072
B.1.351,Utah,
B.1.617.2,Utah,0.9465
P.1,Utah,0.0029
AY.2,Utah,0.0029
Other,Utah,0.0405
Total available sequences,Utah,692
B.1.1.7,Vermont,0.0034
B.1.351,Vermont,
B.1.617.2,Vermont,0.9866
P.1,Vermont,0.0017
AY.2,Vermont,
Other,Vermont,0.0084
Total available sequences,Vermont,597
B.1.1.7,Virginia,0.0064
B.1.351,Virginia,
B.1.617.2,Virginia,0.9732
P.1,Virginia,0.002
AY.2,Virginia,0.003
Other,Virginia,0.0144
Total available sequences,Virginia,"2,016"
B.1.1.7,Washington,0.0088
B.1.351,Washington,
B.1.617.2,Washington,0.9638
P.1,Washington,0.0066
AY.2,Washington,0.0058
Other,Washington,0.0138
Total available sequences,Washington,"3,618"
B.1.1.7,West Virginia,0.0114
B.1.351,West Virginia,
B.1.617.2,West Virginia,0.9658
P.1,West Virginia,0.0091
AY.2,West Virginia,0.0023
Other,West Virginia,0.0114
Total available sequences,West Virginia,438
B.1.1.7,Wisconsin,0.0008
B.1.351,Wisconsin,
B.1.617.2,Wisconsin,0.9707
P.1,Wisconsin,0.0025
AY.2,Wisconsin,0.0017
Other,Wisconsin,0.0243
Total available sequences,Wisconsin,"1,194"
