Measure Names,State,Measure Values
B.1.617.2,Mississippi,0.9627
AY.1,Mississippi,
AY.2,Mississippi,
B.1.526,Mississippi,0.001
B.1.617.1,Mississippi,
B.1.621,Mississippi,
Other,Mississippi,0.0332
Total Available Sequences,Mississippi,965
B.1.1.7,Missouri,0.0007
B.1.351,Missouri,
P.1,Missouri,0.0015
B.1.617.2,Missouri,0.9552
AY.1,Missouri,
AY.2,Missouri,0.0007
B.1.526,Missouri,
B.1.617.1,Missouri,
B.1.621,Missouri,0.0007
Other,Missouri,0.0411
Total Available Sequences,Missouri,"1,338"
B.1.1.7,Nebraska,
B.1.351,Nebraska,
P.1,Nebraska,
B.1.617.2,Nebraska,0.9845
AY.1,Nebraska,
AY.2,Nebraska,
B.1.526,Nebraska,
B.1.617.1,Nebraska,
B.1.621,Nebraska,
Other,Nebraska,0.0155
Total Available Sequences,Nebraska,322
B.1.1.7,Nevada,0.0014
B.1.351,Nevada,
P.1,Nevada,0.0007
B.1.617.2,Nevada,0.9726
AY.1,Nevada,0.0014
AY.2,Nevada,0.0062
B.1.526,Nevada,
B.1.617.1,Nevada,
B.1.621,Nevada,
Other,Nevada,0.0178
Total Available Sequences,Nevada,"1,462"
B.1.1.7,New Hampshire,
B.1.351,New Hampshire,
P.1,New Hampshire,
B.1.617.2,New Hampshire,0.9862
AY.1,New Hampshire,
AY.2,New Hampshire,
B.1.526,New Hampshire,
B.1.617.1,New Hampshire,
B.1.621,New Hampshire,
Other,New Hampshire,0.0138
Total Available Sequences,New Hampshire,363
B.1.1.7,New Jersey,0.0006
B.1.351,New Jersey,
P.1,New Jersey,0.0006
B.1.617.2,New Jersey,0.9769
AY.1,New Jersey,0.0009
AY.2,New Jersey,0.0009
B.1.526,New Jersey,
B.1.617.1,New Jersey,
B.1.621,New Jersey,0.0072
Other,New Jersey,0.0125
Total Available Sequences,New Jersey,"3,199"
B.1.1.7,New Mexico,0.0034
B.1.351,New Mexico,
P.1,New Mexico,
B.1.617.2,New Mexico,0.9774
AY.1,New Mexico,
AY.2,New Mexico,
B.1.526,New Mexico,
B.1.617.1,New Mexico,
B.1.621,New Mexico,
Other,New Mexico,0.0192
Total Available Sequences,New Mexico,886
B.1.1.7,New York,0.0014
B.1.351,New York,
P.1,New York,0.0025
B.1.617.2,New York,0.9771
AY.1,New York,0.0041
AY.2,New York,0.0008
B.1.526,New York,
B.1.617.1,New York,
B.1.621,New York,0.0052
Other,New York,0.008
Total Available Sequences,New York,"3,622"
B.1.1.7,North Carolina,0.0025
B.1.351,North Carolina,
P.1,North Carolina,0.0016
B.1.617.2,North Carolina,0.9726
AY.1,North Carolina,0.0001
AY.2,North Carolina,0.0003
B.1.526,North Carolina,0.0006
B.1.617.1,North Carolina,
B.1.621,North Carolina,0.0021
Other,North Carolina,0.0199
Total Available Sequences,North Carolina,"6,689"
B.1.1.7,Ohio,
B.1.351,Ohio,
P.1,Ohio,0.0012
B.1.617.2,Ohio,0.9751
AY.1,Ohio,
AY.2,Ohio,
B.1.526,Ohio,0.0006
B.1.617.1,Ohio,
B.1.621,Ohio,0.0012
Other,Ohio,0.0219
Total Available Sequences,Ohio,"1,644"
B.1.1.7,Oklahoma,
B.1.351,Oklahoma,
P.1,Oklahoma,
B.1.617.2,Oklahoma,0.9218
AY.1,Oklahoma,
AY.2,Oklahoma,
B.1.526,Oklahoma,
B.1.617.1,Oklahoma,
B.1.621,Oklahoma,
Other,Oklahoma,0.0762
Total Available Sequences,Oklahoma,499
B.1.1.7,Oregon,0.0087
B.1.351,Oregon,
P.1,Oregon,0.0058
B.1.617.2,Oregon,0.9636
AY.1,Oregon,0.0022
AY.2,Oregon,0.0036
B.1.526,Oregon,0.0007
B.1.617.1,Oregon,
B.1.621,Oregon,0.0029
Other,Oregon,0.0124
Total Available Sequences,Oregon,"1,374"
B.1.1.7,Pennsylvania,0.0024
B.1.351,Pennsylvania,
P.1,Pennsylvania,0.0012
B.1.617.2,Pennsylvania,0.9861
AY.1,Pennsylvania,
AY.2,Pennsylvania,
B.1.526,Pennsylvania,0.0012
B.1.617.1,Pennsylvania,
B.1.621,Pennsylvania,0.0006
Other,Pennsylvania,0.0084
Total Available Sequences,Pennsylvania,"1,658"
B.1.1.7,Rhode Island,
B.1.351,Rhode Island,
P.1,Rhode Island,0.0082
B.1.617.2,Rhode Island,0.9742
AY.1,Rhode Island,
AY.2,Rhode Island,
B.1.526,Rhode Island,
B.1.617.1,Rhode Island,
B.1.621,Rhode Island,0.001
Other,Rhode Island,0.0165
Total Available Sequences,Rhode Island,970
B.1.1.7,South Carolina,0.0031
B.1.351,South Carolina,
P.1,South Carolina,
B.1.617.2,South Carolina,0.9662
AY.1,South Carolina,
AY.2,South Carolina,0.0009
B.1.526,South Carolina,
B.1.617.1,South Carolina,
B.1.621,South Carolina,0.0018
Other,South Carolina,0.0281
Total Available Sequences,South Carolina,"2,276"
B.1.1.7,Tennessee,0.0033
B.1.351,Tennessee,
P.1,Tennessee,0.0008
B.1.617.2,Tennessee,0.9459
AY.1,Tennessee,0.0005
AY.2,Tennessee,0.0011
B.1.526,Tennessee,
B.1.617.1,Tennessee,
B.1.621,Tennessee,0.0019
Other,Tennessee,0.0464
Total Available Sequences,Tennessee,"3,661"
B.1.1.7,Texas,0.0041
B.1.351,Texas,0.0001
P.1,Texas,0.0035
B.1.617.2,Texas,0.9393
AY.1,Texas,0.0005
AY.2,Texas,0.0012
B.1.526,Texas,
B.1.617.1,Texas,
B.1.621,Texas,0.0032
Other,Texas,0.0473
Total Available Sequences,Texas,"10,368"
B.1.1.7,Utah,
B.1.351,Utah,
P.1,Utah,0.0015
B.1.617.2,Utah,0.9571
AY.1,Utah,
AY.2,Utah,0.0059
B.1.526,Utah,
B.1.617.1,Utah,
B.1.621,Utah,0.0059
Other,Utah,0.0296
Total Available Sequences,Utah,676
B.1.1.7,Vermont,0.0017
B.1.351,Vermont,
P.1,Vermont,0.0008
B.1.617.2,Vermont,0.9958
AY.1,Vermont,
AY.2,Vermont,
B.1.526,Vermont,
B.1.617.1,Vermont,
B.1.621,Vermont,0.0008
Other,Vermont,
Total Available Sequences,Vermont,"1,191"
B.1.1.7,Virginia,0.0027
B.1.351,Virginia,
P.1,Virginia,0.0018
B.1.617.2,Virginia,0.984
AY.1,Virginia,0.0014
AY.2,Virginia,0.0027
B.1.526,Virginia,0.0005
B.1.617.1,Virginia,
B.1.621,Virginia,0.0005
Other,Virginia,0.0064
Total Available Sequences,Virginia,"2,188"
B.1.1.7,Washington,0.0031
B.1.351,Washington,
P.1,Washington,0.002
B.1.617.2,Washington,0.9868
AY.1,Washington,0.0009
AY.2,Washington,0.0016
B.1.526,Washington,0.0002
B.1.617.1,Washington,
B.1.621,Washington,0.0031
Other,Washington,0.0022
Total Available Sequences,Washington,"4,462"
B.1.1.7,West Virginia,0.001
B.1.351,West Virginia,
P.1,West Virginia,0.0041
B.1.617.2,West Virginia,0.9782
AY.1,West Virginia,
AY.2,West Virginia,0.0021
B.1.526,West Virginia,
B.1.617.1,West Virginia,
B.1.621,West Virginia,0.001
Other,West Virginia,0.0135
Total Available Sequences,West Virginia,965
B.1.1.7,Wisconsin,0.0007
B.1.351,Wisconsin,
P.1,Wisconsin,0.0007
B.1.617.2,Wisconsin,0.9754
AY.1,Wisconsin,
AY.2,Wisconsin,
B.1.526,Wisconsin,
B.1.617.1,Wisconsin,
B.1.621,Wisconsin,0.003
Other,Wisconsin,0.0201
Total Available Sequences,Wisconsin,"1,342"
