Measure Names,State,Measure Values
B.1.1.7,Maryland,0.0555
B.1.351,Maryland,
B.1.617.2,Maryland,0.8926
P.1,Maryland,0.0205
Other lineages,Maryland,0.0229
AY.1,Maryland,0.0012
AY.2,Maryland,0.0072
Total Available Sequences,Maryland,829
B.1.1.7,Massachusetts,0.0054
B.1.351,Massachusetts,
B.1.617.2,Massachusetts,0.9488
P.1,Massachusetts,0.0159
Other lineages,Massachusetts,0.0296
AY.1,Massachusetts,0.0003
AY.2,Massachusetts,
Total Available Sequences,Massachusetts,"3,147"
B.1.1.7,Michigan,0.0386
B.1.351,Michigan,
B.1.617.2,Michigan,0.9139
P.1,Michigan,0.0059
Other lineages,Michigan,0.0326
AY.1,Michigan,
AY.2,Michigan,0.0089
Total Available Sequences,Michigan,337
B.1.1.7,Minnesota,0.0136
B.1.351,Minnesota,
B.1.617.2,Minnesota,0.9489
P.1,Minnesota,0.0128
Other lineages,Minnesota,0.0221
AY.1,Minnesota,
AY.2,Minnesota,0.0026
Total Available Sequences,Minnesota,"1,174"
B.1.1.7,Mississippi,0.036
B.1.351,Mississippi,
B.1.617.2,Mississippi,0.9281
P.1,Mississippi,0.0024
Other lineages,Mississippi,0.0312
AY.1,Mississippi,
AY.2,Mississippi,0.0024
Total Available Sequences,Mississippi,417
B.1.1.7,Missouri,0.0096
B.1.351,Missouri,
B.1.617.2,Missouri,0.9732
P.1,Missouri,0.0045
Other lineages,Missouri,0.0102
AY.1,Missouri,
AY.2,Missouri,0.0026
Total Available Sequences,Missouri,"1,566"
B.1.1.7,Nevada,0.0253
B.1.351,Nevada,
B.1.617.2,Nevada,0.8963
P.1,Nevada,0.0084
Other lineages,Nevada,0.0274
AY.1,Nevada,0.0005
AY.2,Nevada,0.0421
Total Available Sequences,Nevada,"1,900"
B.1.1.7,New Jersey,0.0181
B.1.351,New Jersey,
B.1.617.2,New Jersey,0.9337
P.1,New Jersey,0.0124
Other lineages,New Jersey,0.0333
AY.1,New Jersey,0.0021
AY.2,New Jersey,0.0004
Total Available Sequences,New Jersey,"2,429"
B.1.1.7,New York,0.0104
B.1.351,New York,
B.1.617.2,New York,0.9193
P.1,New York,0.0145
Other lineages,New York,0.0522
AY.1,New York,0.0017
AY.2,New York,0.0017
Total Available Sequences,New York,"1,723"
B.1.1.7,North Carolina,0.0292
B.1.351,North Carolina,0.0003
B.1.617.2,North Carolina,0.9381
P.1,North Carolina,0.0076
Other lineages,North Carolina,0.0243
AY.1,North Carolina,0.0005
AY.2,North Carolina,
Total Available Sequences,North Carolina,"3,943"
B.1.1.7,Ohio,0.0423
B.1.351,Ohio,
B.1.617.2,Ohio,0.9045
P.1,Ohio,0.0141
Other lineages,Ohio,0.036
AY.1,Ohio,
AY.2,Ohio,0.0031
Total Available Sequences,Ohio,639
B.1.1.7,Oklahoma,0.009
B.1.351,Oklahoma,
B.1.617.2,Oklahoma,0.964
P.1,Oklahoma,
Other lineages,Oklahoma,0.027
AY.1,Oklahoma,
AY.2,Oklahoma,
Total Available Sequences,Oklahoma,333
B.1.1.7,Oregon,0.1044
B.1.351,Oregon,
B.1.617.2,Oregon,0.8279
P.1,Oregon,0.0213
Other lineages,Oregon,0.0251
AY.1,Oregon,
AY.2,Oregon,0.0213
Total Available Sequences,Oregon,517
B.1.1.7,Pennsylvania,0.0335
B.1.351,Pennsylvania,
B.1.617.2,Pennsylvania,0.9229
P.1,Pennsylvania,0.0168
Other lineages,Pennsylvania,0.0251
AY.1,Pennsylvania,
AY.2,Pennsylvania,0.0017
Total Available Sequences,Pennsylvania,597
B.1.1.7,Rhode Island,0.0147
B.1.351,Rhode Island,
B.1.617.2,Rhode Island,0.9443
P.1,Rhode Island,0.0059
Other lineages,Rhode Island,0.0352
AY.1,Rhode Island,
AY.2,Rhode Island,
Total Available Sequences,Rhode Island,341
B.1.1.7,South Carolina,0.0409
B.1.351,South Carolina,
B.1.617.2,South Carolina,0.9355
P.1,South Carolina,0.0037
Other lineages,South Carolina,0.0136
AY.1,South Carolina,0.0012
AY.2,South Carolina,0.005
Total Available Sequences,South Carolina,806
B.1.1.7,Tennessee,0.0441
B.1.351,Tennessee,
B.1.617.2,Tennessee,0.9228
P.1,Tennessee,0.0046
Other lineages,Tennessee,0.0203
AY.1,Tennessee,0.0006
AY.2,Tennessee,0.0075
Total Available Sequences,Tennessee,"1,723"
B.1.1.7,Texas,0.0351
B.1.351,Texas,0.0001
B.1.617.2,Texas,0.893
P.1,Texas,0.016
Other lineages,Texas,0.0488
AY.1,Texas,
AY.2,Texas,0.0069
Total Available Sequences,Texas,"6,923"
B.1.1.7,Utah,0.0198
B.1.351,Utah,
B.1.617.2,Utah,0.9357
P.1,Utah,0.0066
Other lineages,Utah,0.0297
AY.1,Utah,
AY.2,Utah,0.0082
Total Available Sequences,Utah,607
B.1.1.7,Virginia,0.0231
B.1.351,Virginia,
B.1.617.2,Virginia,0.9328
P.1,Virginia,0.0178
Other lineages,Virginia,0.0231
AY.1,Virginia,0.001
AY.2,Virginia,0.0021
Total Available Sequences,Virginia,953
B.1.1.7,Washington,0.0348
B.1.351,Washington,
B.1.617.2,Washington,0.9018
P.1,Washington,0.0269
Other lineages,Washington,0.0282
AY.1,Washington,0.0048
AY.2,Washington,0.0035
Total Available Sequences,Washington,"2,301"
B.1.1.7,Wisconsin,0.0078
B.1.351,Wisconsin,
B.1.617.2,Wisconsin,0.9495
P.1,Wisconsin,0.0039
Other lineages,Wisconsin,0.035
AY.1,Wisconsin,
AY.2,Wisconsin,0.0039
Total Available Sequences,Wisconsin,515
