Measure Names,State,Measure Values
B.1.1.7,Alabama,0.038
B.1.351,Alabama,
B.1.617.2,Alabama,0.9422
P.1,Alabama,0.0099
Other lineages,Alabama,0.0084
AY.1,Alabama,
AY.2,Alabama,0.0015
Total Available Sequences,Alabama,"1,316"
B.1.1.7,Arizona,0.0229
B.1.351,Arizona,
B.1.617.2,Arizona,0.8932
P.1,Arizona,0.0353
Other lineages,Arizona,0.0391
AY.1,Arizona,
AY.2,Arizona,0.0095
Total Available Sequences,Arizona,"1,049"
B.1.1.7,Arkansas,0.0274
B.1.351,Arkansas,
B.1.617.2,Arkansas,0.9649
P.1,Arkansas,0.003
Other lineages,Arkansas,0.0046
AY.1,Arkansas,
AY.2,Arkansas,
Total Available Sequences,Arkansas,656
B.1.1.7,California,0.0208
B.1.351,California,0
B.1.617.2,California,0.9168
P.1,California,0.0147
Other lineages,California,0.0271
AY.1,California,0.0053
AY.2,California,0.0152
Total Available Sequences,California,"22,309"
B.1.1.7,Colorado,0.0322
B.1.351,Colorado,
B.1.617.2,Colorado,0.9333
P.1,Colorado,0.0084
Other lineages,Colorado,0.0219
AY.1,Colorado,
AY.2,Colorado,0.0042
Total Available Sequences,Colorado,"2,608"
B.1.1.7,Florida,0.0288
B.1.351,Florida,0.0002
B.1.617.2,Florida,0.9102
P.1,Florida,0.0223
Other lineages,Florida,0.0363
AY.1,Florida,0.0001
AY.2,Florida,0.0021
Total Available Sequences,Florida,"14,079"
B.1.1.7,Georgia,0.0328
B.1.351,Georgia,
B.1.617.2,Georgia,0.9266
P.1,Georgia,0.0119
Other lineages,Georgia,0.0232
AY.1,Georgia,
AY.2,Georgia,0.0055
Total Available Sequences,Georgia,"3,107"
B.1.1.7,Illinois,0.0217
B.1.351,Illinois,
B.1.617.2,Illinois,0.9327
P.1,Illinois,0.0152
Other lineages,Illinois,0.021
AY.1,Illinois,0.0007
AY.2,Illinois,0.0087
Total Available Sequences,Illinois,"1,381"
B.1.1.7,Indiana,0.0143
B.1.351,Indiana,
B.1.617.2,Indiana,0.9488
P.1,Indiana,0.0143
Other lineages,Indiana,0.0184
AY.1,Indiana,
AY.2,Indiana,0.0041
Total Available Sequences,Indiana,488
B.1.1.7,Kansas,0.0146
B.1.351,Kansas,
B.1.617.2,Kansas,0.9665
P.1,Kansas,
Other lineages,Kansas,0.0188
AY.1,Kansas,
AY.2,Kansas,
Total Available Sequences,Kansas,478
B.1.1.7,Kentucky,0.0503
B.1.351,Kentucky,
B.1.617.2,Kentucky,0.8774
P.1,Kentucky,0.0346
Other lineages,Kentucky,0.0346
AY.1,Kentucky,
AY.2,Kentucky,0.0031
Total Available Sequences,Kentucky,318
B.1.1.7,Louisiana,0.0572
B.1.351,Louisiana,
B.1.617.2,Louisiana,0.9247
P.1,Louisiana,0.002
Other lineages,Louisiana,0.0151
AY.1,Louisiana,
AY.2,Louisiana,0.001
Total Available Sequences,Louisiana,996
