Measure Names,State,Measure Values
B.1.1.7,Arizona,0.6783
B.1.351,Arizona,0.0067
B.1.427 / B.1.429,Arizona,0.0417
P.1,Arizona,0.09
Other lineages,Arizona,0.1833
Total Available Sequences,Arizona,600
B.1.1.7,California,0.5808
B.1.351,California,0.0101
B.1.427 / B.1.429,California,0.0512
P.1,California,0.0953
Other lineages,California,0.2626
Total Available Sequences,California,"4,060"
B.1.1.7,Colorado,0.7902
B.1.351,Colorado,0.0052
B.1.427 / B.1.429,Colorado,0.0247
P.1,Colorado,0.0216
Other lineages,Colorado,0.1583
Total Available Sequences,Colorado,"2,312"
B.1.1.7,Connecticut,0.5392
B.1.351,Connecticut,0.007
B.1.427 / B.1.429,Connecticut,0.0056
P.1,Connecticut,0.0406
Other lineages,Connecticut,0.4076
Total Available Sequences,Connecticut,714
B.1.1.7,Florida,0.6737
B.1.351,Florida,0.0032
B.1.427 / B.1.429,Florida,0.0093
P.1,Florida,0.1041
Other lineages,Florida,0.2096
Total Available Sequences,Florida,"5,281"
B.1.1.7,Georgia,0.8
B.1.351,Georgia,0.0147
B.1.427 / B.1.429,Georgia,0.0032
P.1,Georgia,0.0516
Other lineages,Georgia,0.1305
Total Available Sequences,Georgia,950
B.1.1.7,Illinois,0.6109
B.1.351,Illinois,0.0096
B.1.427 / B.1.429,Illinois,0.0112
P.1,Illinois,0.2256
Other lineages,Illinois,0.1428
Total Available Sequences,Illinois,"2,598"
B.1.1.7,Indiana,0.7357
B.1.351,Indiana,0.0045
B.1.427 / B.1.429,Indiana,0.0074
P.1,Indiana,0.1218
Other lineages,Indiana,0.1307
Total Available Sequences,Indiana,"1,347"
B.1.1.7,Kentucky,0.7821
B.1.351,Kentucky,
B.1.427 / B.1.429,Kentucky,0.0056
P.1,Kentucky,0.0531
Other lineages,Kentucky,0.1592
Total Available Sequences,Kentucky,358
B.1.1.7,Maine,0.3811
B.1.351,Maine,
B.1.427 / B.1.429,Maine,0.0122
P.1,Maine,0.0366
Other lineages,Maine,0.5701
Total Available Sequences,Maine,328
B.1.1.7,Maryland,0.758
B.1.351,Maryland,0.0115
B.1.427 / B.1.429,Maryland,0.0026
P.1,Maryland,0.0115
Other lineages,Maryland,0.2164
Total Available Sequences,Maryland,781
B.1.1.7,Massachusetts,0.5211
B.1.351,Massachusetts,0.0008
B.1.427 / B.1.429,Massachusetts,0.007
P.1,Massachusetts,0.13
Other lineages,Massachusetts,0.3411
Total Available Sequences,Massachusetts,"5,145"
B.1.1.7,Michigan,0.8145
B.1.351,Michigan,0.0045
B.1.427 / B.1.429,Michigan,0.0101
P.1,Michigan,0.0302
Other lineages,Michigan,0.1406
Total Available Sequences,Michigan,"1,984"
B.1.1.7,Minnesota,0.8063
B.1.351,Minnesota,0.0072
B.1.427 / B.1.429,Minnesota,0.0348
P.1,Minnesota,0.0317
Other lineages,Minnesota,0.1199
Total Available Sequences,Minnesota,"4,286"
B.1.1.7,Missouri,0.7923
B.1.351,Missouri,0.0051
B.1.427 / B.1.429,Missouri,0.0077
P.1,Missouri,0.0718
Other lineages,Missouri,0.1231
Total Available Sequences,Missouri,390
B.1.1.7,New Hampshire,0.5441
B.1.351,New Hampshire,
B.1.427 / B.1.429,New Hampshire,0.0036
P.1,New Hampshire,0.0667
Other lineages,New Hampshire,0.3856
Total Available Sequences,New Hampshire,555
B.1.1.7,New Jersey,0.5375
B.1.351,New Jersey,0.0007
B.1.427 / B.1.429,New Jersey,0.0048
P.1,New Jersey,0.0504
Other lineages,New Jersey,0.4067
Total Available Sequences,New Jersey,"1,468"
B.1.1.7,New Mexico,0.7325
B.1.351,New Mexico,
B.1.427 / B.1.429,New Mexico,0.0334
P.1,New Mexico,0.0182
Other lineages,New Mexico,0.2158
Total Available Sequences,New Mexico,329
B.1.1.7,New York,0.5775
B.1.351,New York,0.0165
B.1.427 / B.1.429,New York,0.0068
P.1,New York,0.0707
Other lineages,New York,0.3285
Total Available Sequences,New York,"1,032"
B.1.1.7,North Carolina,0.68
B.1.351,North Carolina,0.0083
B.1.427 / B.1.429,North Carolina,0.0024
P.1,North Carolina,0.0291
