Measure Names,State,Measure Values
Other lineages,North Carolina,0.2802
Total Available Sequences,North Carolina,"1,681"
B.1.1.7,Ohio,0.7974
B.1.351,Ohio,0.006
B.1.427 / B.1.429,Ohio,0.0024
P.1,Ohio,0.0572
Other lineages,Ohio,0.1371
Total Available Sequences,Ohio,839
B.1.1.7,Oregon,0.4945
B.1.351,Oregon,0.0219
B.1.427 / B.1.429,Oregon,0.0949
P.1,Oregon,0.1077
Other lineages,Oregon,0.281
Total Available Sequences,Oregon,548
B.1.1.7,Pennsylvania,0.688
B.1.351,Pennsylvania,0.0047
B.1.427 / B.1.429,Pennsylvania,0.004
P.1,Pennsylvania,0.018
Other lineages,Pennsylvania,0.2854
Total Available Sequences,Pennsylvania,"2,772"
B.1.1.7,Rhode Island,0.4539
B.1.351,Rhode Island,0.0051
B.1.427 / B.1.429,Rhode Island,0.0076
P.1,Rhode Island,0.0999
Other lineages,Rhode Island,0.4336
Total Available Sequences,Rhode Island,791
B.1.1.7,Tennessee,0.86
B.1.351,Tennessee,0.0053
B.1.427 / B.1.429,Tennessee,0.0053
P.1,Tennessee,0.0568
Other lineages,Tennessee,0.0727
Total Available Sequences,Tennessee,757
B.1.1.7,Texas,0.7409
B.1.351,Texas,0.0019
B.1.427 / B.1.429,Texas,0.0103
P.1,Texas,0.0608
Other lineages,Texas,0.186
Total Available Sequences,Texas,"3,092"
B.1.1.7,Vermont,0.6844
B.1.351,Vermont,
B.1.427 / B.1.429,Vermont,0.0044
P.1,Vermont,0.0133
Other lineages,Vermont,0.2978
Total Available Sequences,Vermont,450
B.1.1.7,Virginia,0.7554
B.1.351,Virginia,0.0115
B.1.427 / B.1.429,Virginia,
P.1,Virginia,0.0345
Other lineages,Virginia,0.1986
Total Available Sequences,Virginia,695
B.1.1.7,Washington,0.6341
B.1.351,Washington,0.0195
B.1.427 / B.1.429,Washington,0.0965
P.1,Washington,0.1051
Other lineages,Washington,0.1447
Total Available Sequences,Washington,"1,741"
B.1.1.7,West Virginia,0.6141
B.1.351,West Virginia,0.0014
B.1.427 / B.1.429,West Virginia,
P.1,West Virginia,0.0054
Other lineages,West Virginia,0.3791
Total Available Sequences,West Virginia,736
B.1.1.7,Wisconsin,0.6509
B.1.351,Wisconsin,0.0063
B.1.427 / B.1.429,Wisconsin,0.0284
P.1,Wisconsin,0.06
Other lineages,Wisconsin,0.2543
Total Available Sequences,Wisconsin,633
