Measure Names,State,Measure Values
B.1.617.2,Tennessee,0.6744
P.1,Tennessee,0.0048
AY.1,Tennessee,0.0007
AY.2,Tennessee,0.0089
AY.3,Tennessee,0.2344
Other lineages,Tennessee,0.0254
Total Available Sequences,Tennessee,"1,459"
B.1.1.7,Texas,0.0449
B.1.351,Texas,0.0002
B.1.617.2,Texas,0.7591
P.1,Texas,0.0187
AY.1,Texas,0.0002
AY.2,Texas,0.0084
AY.3,Texas,0.1063
Other lineages,Texas,0.0622
Total Available Sequences,Texas,"5,144"
B.1.1.7,Utah,0.027
B.1.351,Utah,
B.1.617.2,Utah,0.9191
P.1,Utah,0.0077
AY.1,Utah,
AY.2,Utah,0.0077
AY.3,Utah,0.0135
Other lineages,Utah,0.025
Total Available Sequences,Utah,519
B.1.1.7,Virginia,0.0249
B.1.351,Virginia,
B.1.617.2,Virginia,0.8366
P.1,Virginia,0.0173
AY.1,Virginia,0.0011
AY.2,Virginia,0.0022
AY.3,Virginia,0.0887
Other lineages,Virginia,0.0292
Total Available Sequences,Virginia,924
B.1.1.7,Washington,0.0392
B.1.351,Washington,
B.1.617.2,Washington,0.8307
P.1,Washington,0.0306
AY.1,Washington,0.005
AY.2,Washington,0.004
AY.3,Washington,0.0467
Other lineages,Washington,0.0437
Total Available Sequences,Washington,"1,991"
B.1.1.7,Wisconsin,0.0119
B.1.351,Wisconsin,
B.1.617.2,Wisconsin,0.8548
P.1,Wisconsin,0.0024
AY.1,Wisconsin,
AY.2,Wisconsin,0.0048
AY.3,Wisconsin,0.0857
Other lineages,Wisconsin,0.0405
Total Available Sequences,Wisconsin,420
