Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,489
Share Low,Alabama,AY.1 (Delta),0,489
Share High,Alabama,AY.1 (Delta),0,489
Share,Alabama,AY.2 (Delta),0,489
Share Low,Alabama,AY.2 (Delta),0,489
Share High,Alabama,AY.2 (Delta),0,489
Share,Alabama,B.1.1.7 (Alpha),0,489
Share Low,Alabama,B.1.1.7 (Alpha),0,489
Share High,Alabama,B.1.1.7 (Alpha),0,489
Share,Alabama,B.1.1.529 (Omicron),0,489
Share Low,Alabama,B.1.1.529 (Omicron),0,489
Share High,Alabama,B.1.1.529 (Omicron),0,489
Share,Alabama,B.1.351,0,489
Share Low,Alabama,B.1.351,0,489
Share High,Alabama,B.1.351,0,489
Share,Alabama,B.1.427/429 (Epsilon),0,489
Share Low,Alabama,B.1.427/429 (Epsilon),0,489
Share High,Alabama,B.1.427/429 (Epsilon),0,489
Share,Alabama,B.1.525,0,489
Share Low,Alabama,B.1.525,0,489
Share High,Alabama,B.1.525,0,489
Share,Alabama,B.1.526 (Iota),0,489
Share Low,Alabama,B.1.526 (Iota),0,489
Share High,Alabama,B.1.526 (Iota),0,489
Share,Alabama,B.1.617.1,0,489
Share Low,Alabama,B.1.617.1,0,489
Share High,Alabama,B.1.617.1,0,489
Share,Alabama,B.1.617.2 (Delta),0,489
Share Low,Alabama,B.1.617.2 (Delta),0,489
Share High,Alabama,B.1.617.2 (Delta),0,489
Share,Alabama,B.1.617.3,0,489
Share Low,Alabama,B.1.617.3,0,489
Share High,Alabama,B.1.617.3,0,489
Share,Alabama,B.1.621 (Mu),0,489
Share Low,Alabama,B.1.621 (Mu),0,489
Share High,Alabama,B.1.621 (Mu),0,489
Share,Alabama,BA.2 (Omicron),0.003839019,489
Share Low,Alabama,BA.2 (Omicron),0.000419889,489
Share High,Alabama,BA.2 (Omicron),0.014298775,489
Share,Alabama,BA.2.12.1 (Omicron),0.006616438,489
Share Low,Alabama,BA.2.12.1 (Omicron),0.001480077,489
Share High,Alabama,BA.2.12.1 (Omicron),0.018537471,489
Share,Alabama,BA.2.75 (Omicron),0,489
Share Low,Alabama,BA.2.75 (Omicron),0,489
Share High,Alabama,BA.2.75 (Omicron),0,489
Share,Alabama,BA.4 (Omicron),0.096377470,489
Share Low,Alabama,BA.4 (Omicron),0.071707316,489
Share High,Alabama,BA.4 (Omicron),0.126052395,489
Share,Alabama,BA.4.6 (Omicron),0.082415931,489
Share Low,Alabama,BA.4.6 (Omicron),0.053931028,489
Share High,Alabama,BA.4.6 (Omicron),0.119449191,489
Share,Alabama,BA.5 (Omicron),0.806912124,489
Share Low,Alabama,BA.5 (Omicron),0.769088805,489
Share High,Alabama,BA.5 (Omicron),0.840975046,489
Share,Alabama,BF.7 (Omicron),0.003839019,489
Share Low,Alabama,BF.7 (Omicron),0.000419889,489
Share High,Alabama,BF.7 (Omicron),0.014298775,489
Share,Alabama,Other,0,489
Share Low,Alabama,Other,0,489
Share High,Alabama,Other,0,489
Share,Alabama,P.1,0,489
Share Low,Alabama,P.1,0,489
Share High,Alabama,P.1,0,489
Share,Alabama,P.2,0,489
Share Low,Alabama,P.2,0,489
Share High,Alabama,P.2,0,489
Share,Alaska,AY.1 (Delta),0,179
Share Low,Alaska,AY.1 (Delta),0,179
Share High,Alaska,AY.1 (Delta),0,179
Share,Alaska,AY.2 (Delta),0,179
Share Low,Alaska,AY.2 (Delta),0,179
