Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,427
Share Low,Alabama,AY.1 (Delta),0,427
Share High,Alabama,AY.1 (Delta),0,427
Share,Alabama,AY.2 (Delta),0,427
Share Low,Alabama,AY.2 (Delta),0,427
Share High,Alabama,AY.2 (Delta),0,427
Share,Alabama,B.1.1.7 (Alpha),0,427
Share Low,Alabama,B.1.1.7 (Alpha),0,427
Share High,Alabama,B.1.1.7 (Alpha),0,427
Share,Alabama,B.1.1.529 (Omicron),0.428271115,427
Share Low,Alabama,B.1.1.529 (Omicron),0.200519249,427
Share High,Alabama,B.1.1.529 (Omicron),0.680874646,427
Share,Alabama,B.1.351,0,427
Share Low,Alabama,B.1.351,0,427
Share High,Alabama,B.1.351,0,427
Share,Alabama,B.1.427/429,0,427
Share Low,Alabama,B.1.427/429,0,427
Share High,Alabama,B.1.427/429,0,427
Share,Alabama,B.1.525,0,427
Share Low,Alabama,B.1.525,0,427
Share High,Alabama,B.1.525,0,427
Share,Alabama,B.1.526 (Iota),0,427
Share Low,Alabama,B.1.526 (Iota),0,427
Share High,Alabama,B.1.526 (Iota),0,427
Share,Alabama,B.1.617.1,0,427
Share Low,Alabama,B.1.617.1,0,427
Share High,Alabama,B.1.617.1,0,427
Share,Alabama,B.1.617.2 (Delta),0.568038046,427
Share Low,Alabama,B.1.617.2 (Delta),0.308849752,427
Share High,Alabama,B.1.617.2 (Delta),0.802359939,427
Share,Alabama,B.1.617.3,0,427
Share Low,Alabama,B.1.617.3,0,427
Share High,Alabama,B.1.617.3,0,427
Share,Alabama,B.1.621 (Mu),0,427
Share Low,Alabama,B.1.621 (Mu),0,427
Share High,Alabama,B.1.621 (Mu),0,427
Share,Alabama,Other,0.003690816,427
Share Low,Alabama,Other,0.000134681,427
Share High,Alabama,Other,0.018770821,427
Share,Alabama,P.1,0,427
Share Low,Alabama,P.1,0,427
Share High,Alabama,P.1,0,427
Share,Alabama,P.2,0,427
Share Low,Alabama,P.2,0,427
Share High,Alabama,P.2,0,427
Share,Alaska,AY.1 (Delta),0,455
Share Low,Alaska,AY.1 (Delta),0,455
Share High,Alaska,AY.1 (Delta),0,455
Share,Alaska,AY.2 (Delta),0,455
Share Low,Alaska,AY.2 (Delta),0,455
Share High,Alaska,AY.2 (Delta),0,455
Share,Alaska,B.1.1.7 (Alpha),0,455
Share Low,Alaska,B.1.1.7 (Alpha),0,455
Share High,Alaska,B.1.1.7 (Alpha),0,455
Share,Alaska,B.1.1.529 (Omicron),0.099157795,455
Share Low,Alaska,B.1.1.529 (Omicron),0.000864920,455
Share High,Alaska,B.1.1.529 (Omicron),0.510981619,455
Share,Alaska,B.1.351,0,455
Share Low,Alaska,B.1.351,0,455
Share High,Alaska,B.1.351,0,455
Share,Alaska,B.1.427/429,0,455
Share Low,Alaska,B.1.427/429,0,455
Share High,Alaska,B.1.427/429,0,455
Share,Alaska,B.1.525,0,455
Share Low,Alaska,B.1.525,0,455
Share High,Alaska,B.1.525,0,455
Share,Alaska,B.1.526 (Iota),0,455
Share Low,Alaska,B.1.526 (Iota),0,455
Share High,Alaska,B.1.526 (Iota),0,455
Share,Alaska,B.1.617.1,0,455
Share Low,Alaska,B.1.617.1,0,455
Share High,Alaska,B.1.617.1,0,455
Share,Alaska,B.1.617.2 (Delta),0.900842190,455
Share Low,Alaska,B.1.617.2 (Delta),0.489018381,455
Share High,Alaska,B.1.617.2 (Delta),0.999135077,455
Share,Alaska,B.1.617.3,0,455
Share Low,Alaska,B.1.617.3,0,455
Share High,Alaska,B.1.617.3,0,455
Share,Alaska,B.1.621 (Mu),0,455
Share Low,Alaska,B.1.621 (Mu),0,455
Share High,Alaska,B.1.621 (Mu),0,455
Share,Alaska,Other,0,455
Share Low,Alaska,Other,0,455
Share High,Alaska,Other,0,455
Share,Alaska,P.1,0,455
Share Low,Alaska,P.1,0,455
Share High,Alaska,P.1,0,455
Share,Alaska,P.2,0,455
Share Low,Alaska,P.2,0,455
Share High,Alaska,P.2,0,455
Share,American Samoa,AY.1 (Delta),0,1
Share Low,American Samoa,AY.1 (Delta),0,1
Share High,American Samoa,AY.1 (Delta),0,1
Share,American Samoa,AY.2 (Delta),0,1
Share Low,American Samoa,AY.2 (Delta),0,1
Share High,American Samoa,AY.2 (Delta),0,1
Share,American Samoa,B.1.1.7 (Alpha),0,1
Share Low,American Samoa,B.1.1.7 (Alpha),0,1
Share High,American Samoa,B.1.1.7 (Alpha),0,1
Share,American Samoa,B.1.1.529 (Omicron),0,1
Share Low,American Samoa,B.1.1.529 (Omicron),0,1
Share High,American Samoa,B.1.1.529 (Omicron),0,1
Share,American Samoa,B.1.351,0,1
Share Low,American Samoa,B.1.351,0,1
Share High,American Samoa,B.1.351,0,1
Share,American Samoa,B.1.427/429,0,1
Share Low,American Samoa,B.1.427/429,0,1
Share High,American Samoa,B.1.427/429,0,1
Share,American Samoa,B.1.525,0,1
Share Low,American Samoa,B.1.525,0,1
Share High,American Samoa,B.1.525,0,1
Share,American Samoa,B.1.526 (Iota),0,1
Share Low,American Samoa,B.1.526 (Iota),0,1
Share High,American Samoa,B.1.526 (Iota),0,1
Share,American Samoa,B.1.617.1,0,1
Share Low,American Samoa,B.1.617.1,0,1
Share High,American Samoa,B.1.617.1,0,1
Share,American Samoa,B.1.617.2 (Delta),1,1
Share Low,American Samoa,B.1.617.2 (Delta),0,1
Share High,American Samoa,B.1.617.2 (Delta),0,1
Share,American Samoa,B.1.617.3,0,1
Share Low,American Samoa,B.1.617.3,0,1
Share High,American Samoa,B.1.617.3,0,1
Share,American Samoa,B.1.621 (Mu),0,1
Share Low,American Samoa,B.1.621 (Mu),0,1
Share High,American Samoa,B.1.621 (Mu),0,1
Share,American Samoa,Other,0,1
Share Low,American Samoa,Other,0,1
Share High,American Samoa,Other,0,1
Share,American Samoa,P.1,0,1
Share Low,American Samoa,P.1,0,1
Share High,American Samoa,P.1,0,1
Share,American Samoa,P.2,0,1
Share Low,American Samoa,P.2,0,1
Share High,American Samoa,P.2,0,1
Share,Arizona,AY.1 (Delta),0,"2,662"
Share Low,Arizona,AY.1 (Delta),0,"2,662"
Share High,Arizona,AY.1 (Delta),0,"2,662"
Share,Arizona,AY.2 (Delta),0,"2,662"
Share Low,Arizona,AY.2 (Delta),0,"2,662"
Share High,Arizona,AY.2 (Delta),0,"2,662"
Share,Arizona,B.1.1.7 (Alpha),0,"2,662"
Share Low,Arizona,B.1.1.7 (Alpha),0,"2,662"
Share High,Arizona,B.1.1.7 (Alpha),0,"2,662"
Share,Arizona,B.1.1.529 (Omicron),0.137726143,"2,662"
Share Low,Arizona,B.1.1.529 (Omicron),0.063387185,"2,662"
Share High,Arizona,B.1.1.529 (Omicron),0.248905227,"2,662"
Share,Arizona,B.1.351,0,"2,662"
Share Low,Arizona,B.1.351,0,"2,662"
Share High,Arizona,B.1.351,0,"2,662"
Share,Arizona,B.1.427/429,0,"2,662"
Share Low,Arizona,B.1.427/429,0,"2,662"
Share High,Arizona,B.1.427/429,0,"2,662"
Share,Arizona,B.1.525,0,"2,662"
Share Low,Arizona,B.1.525,0,"2,662"
Share High,Arizona,B.1.525,0,"2,662"
Share,Arizona,B.1.526 (Iota),0,"2,662"
Share Low,Arizona,B.1.526 (Iota),0,"2,662"
Share High,Arizona,B.1.526 (Iota),0,"2,662"
Share,Arizona,B.1.617.1,0,"2,662"
Share Low,Arizona,B.1.617.1,0,"2,662"
Share High,Arizona,B.1.617.1,0,"2,662"
Share,Arizona,B.1.617.2 (Delta),0.858883202,"2,662"
Share Low,Arizona,B.1.617.2 (Delta),0.742880344,"2,662"
Share High,Arizona,B.1.617.2 (Delta),0.936115921,"2,662"
Share,Arizona,B.1.617.3,0,"2,662"
Share Low,Arizona,B.1.617.3,0,"2,662"
Share High,Arizona,B.1.617.3,0,"2,662"
Share,Arizona,B.1.621 (Mu),0,"2,662"
Share Low,Arizona,B.1.621 (Mu),0,"2,662"
Share High,Arizona,B.1.621 (Mu),0,"2,662"
Share,Arizona,Other,0.003390671,"2,662"
Share Low,Arizona,Other,0.000643700,"2,662"
Share High,Arizona,Other,0.010241983,"2,662"
Share,Arizona,P.1,0,"2,662"
Share Low,Arizona,P.1,0,"2,662"
Share High,Arizona,P.1,0,"2,662"
Share,Arizona,P.2,0,"2,662"
Share Low,Arizona,P.2,0,"2,662"
Share High,Arizona,P.2,0,"2,662"
Share,Arkansas,AY.1 (Delta),0.002141610,360
Share Low,Arkansas,AY.1 (Delta),8.823316421e-06,360
Share High,Arkansas,AY.1 (Delta),0.016407046,360
Share,Arkansas,AY.2 (Delta),0,360
Share Low,Arkansas,AY.2 (Delta),0,360
Share High,Arkansas,AY.2 (Delta),0,360
Share,Arkansas,B.1.1.7 (Alpha),0,360
Share Low,Arkansas,B.1.1.7 (Alpha),0,360
Share High,Arkansas,B.1.1.7 (Alpha),0,360
Share,Arkansas,B.1.1.529 (Omicron),0.206573471,360
Share Low,Arkansas,B.1.1.529 (Omicron),0.056465134,360
Share High,Arkansas,B.1.1.529 (Omicron),0.456744343,360
Share,Arkansas,B.1.351,0,360
Share Low,Arkansas,B.1.351,0,360
Share High,Arkansas,B.1.351,0,360
Share,Arkansas,B.1.427/429,0,360
Share Low,Arkansas,B.1.427/429,0,360
Share High,Arkansas,B.1.427/429,0,360
Share,Arkansas,B.1.525,0,360
Share Low,Arkansas,B.1.525,0,360
Share High,Arkansas,B.1.525,0,360
Share,Arkansas,B.1.526 (Iota),0,360
Share Low,Arkansas,B.1.526 (Iota),0,360
Share High,Arkansas,B.1.526 (Iota),0,360
Share,Arkansas,B.1.617.1,0,360
Share Low,Arkansas,B.1.617.1,0,360
Share High,Arkansas,B.1.617.1,0,360
Share,Arkansas,B.1.617.2 (Delta),0.784316361,360
Share Low,Arkansas,B.1.617.2 (Delta),0.526211083,360
Share High,Arkansas,B.1.617.2 (Delta),0.941103578,360
Share,Arkansas,B.1.617.3,0,360
Share Low,Arkansas,B.1.617.3,0,360
Share High,Arkansas,B.1.617.3,0,360
Share,Arkansas,B.1.621 (Mu),0,360
Share Low,Arkansas,B.1.621 (Mu),0,360
Share High,Arkansas,B.1.621 (Mu),0,360
Share,Arkansas,Other,0.006968558,360
Share Low,Arkansas,Other,0.000266433,360
Share High,Arkansas,Other,0.034815777,360
Share,Arkansas,P.1,0,360
Share Low,Arkansas,P.1,0,360
Share High,Arkansas,P.1,0,360
Share,Arkansas,P.2,0,360
Share Low,Arkansas,P.2,0,360
Share High,Arkansas,P.2,0,360
Share,California,AY.1 (Delta),0.000445382,"32,515"
Share Low,California,AY.1 (Delta),0.000246365,"32,515"
Share High,California,AY.1 (Delta),0.000740869,"32,515"
Share,California,AY.2 (Delta),0,"32,515"
Share Low,California,AY.2 (Delta),0,"32,515"
Share High,California,AY.2 (Delta),0,"32,515"
Share,California,B.1.1.7 (Alpha),0,"32,515"
Share Low,California,B.1.1.7 (Alpha),0,"32,515"
Share High,California,B.1.1.7 (Alpha),0,"32,515"
Share,California,B.1.1.529 (Omicron),0.497859627,"32,515"
Share Low,California,B.1.1.529 (Omicron),0.420763671,"32,515"
Share High,California,B.1.1.529 (Omicron),0.575030744,"32,515"
Share,California,B.1.351,0,"32,515"
Share Low,California,B.1.351,0,"32,515"
Share High,California,B.1.351,0,"32,515"
Share,California,B.1.427/429,0,"32,515"
Share Low,California,B.1.427/429,0,"32,515"
Share High,California,B.1.427/429,0,"32,515"
Share,California,B.1.525,0,"32,515"
Share Low,California,B.1.525,0,"32,515"
Share High,California,B.1.525,0,"32,515"
Share,California,B.1.526 (Iota),0,"32,515"
Share Low,California,B.1.526 (Iota),0,"32,515"
Share High,California,B.1.526 (Iota),0,"32,515"
Share,California,B.1.617.1,0,"32,515"
Share Low,California,B.1.617.1,0,"32,515"
Share High,California,B.1.617.1,0,"32,515"
Share,California,B.1.617.2 (Delta),0.500704110,"32,515"
Share Low,California,B.1.617.2 (Delta),0.424460977,"32,515"
Share High,California,B.1.617.2 (Delta),0.576923013,"32,515"
Share,California,B.1.617.3,0,"32,515"
Share Low,California,B.1.617.3,0,"32,515"
Share High,California,B.1.617.3,0,"32,515"
Share,California,B.1.621 (Mu),0,"32,515"
Share Low,California,B.1.621 (Mu),0,"32,515"
Share High,California,B.1.621 (Mu),0,"32,515"
Share,California,Other,0.000990896,"32,515"
Share Low,California,Other,0.000359711,"32,515"
Share High,California,Other,0.002169541,"32,515"
Share,California,P.1,0,"32,515"
Share Low,California,P.1,0,"32,515"
Share High,California,P.1,0,"32,515"
Share,California,P.2,0,"32,515"
Share Low,California,P.2,0,"32,515"
Share High,California,P.2,0,"32,515"
Share,Colorado,AY.1 (Delta),0,"6,291"
Share Low,Colorado,AY.1 (Delta),0,"6,291"
Share High,Colorado,AY.1 (Delta),0,"6,291"
Share,Colorado,AY.2 (Delta),0,"6,291"
Share Low,Colorado,AY.2 (Delta),0,"6,291"
Share High,Colorado,AY.2 (Delta),0,"6,291"
Share,Colorado,B.1.1.7 (Alpha),0.000126219,"6,291"
Share Low,Colorado,B.1.1.7 (Alpha),1.399600478e-06,"6,291"
Share High,Colorado,B.1.1.7 (Alpha),0.000827836,"6,291"
Share,Colorado,B.1.1.529 (Omicron),0.282692879,"6,291"
Share Low,Colorado,B.1.1.529 (Omicron),0.124433376,"6,291"
Share High,Colorado,B.1.1.529 (Omicron),0.493406326,"6,291"
Share,Colorado,B.1.351,0,"6,291"
Share Low,Colorado,B.1.351,0,"6,291"
Share High,Colorado,B.1.351,0,"6,291"
Share,Colorado,B.1.427/429,0,"6,291"
Share Low,Colorado,B.1.427/429,0,"6,291"
Share High,Colorado,B.1.427/429,0,"6,291"
Share,Colorado,B.1.525,0,"6,291"
Share Low,Colorado,B.1.525,0,"6,291"
Share High,Colorado,B.1.525,0,"6,291"
Share,Colorado,B.1.526 (Iota),0,"6,291"
Share Low,Colorado,B.1.526 (Iota),0,"6,291"
Share High,Colorado,B.1.526 (Iota),0,"6,291"
Share,Colorado,B.1.617.1,0,"6,291"
Share Low,Colorado,B.1.617.1,0,"6,291"
Share High,Colorado,B.1.617.1,0,"6,291"
Share,Colorado,B.1.617.2 (Delta),0.714426458,"6,291"
Share Low,Colorado,B.1.617.2 (Delta),0.497575164,"6,291"
Share High,Colorado,B.1.617.2 (Delta),0.876890540,"6,291"
Share,Colorado,B.1.617.3,0,"6,291"
Share Low,Colorado,B.1.617.3,0,"6,291"
Share High,Colorado,B.1.617.3,0,"6,291"
Share,Colorado,B.1.621 (Mu),0,"6,291"
Share Low,Colorado,B.1.621 (Mu),0,"6,291"
Share High,Colorado,B.1.621 (Mu),0,"6,291"
Share,Colorado,Other,0.002754429,"6,291"
Share Low,Colorado,Other,1.244824125e-05,"6,291"
Share High,Colorado,Other,0.020769602,"6,291"
Share,Colorado,P.1,0,"6,291"
Share Low,Colorado,P.1,0,"6,291"
Share High,Colorado,P.1,0,"6,291"
Share,Colorado,P.2,0,"6,291"
Share Low,Colorado,P.2,0,"6,291"
Share High,Colorado,P.2,0,"6,291"
Share,Commonwealth of the Northern Mariana Islands,AY.1 (Delta),0,0
Share Low,Commonwealth of the Northern Mariana Islands,AY.1 (Delta),0,0
Share High,Commonwealth of the Northern Mariana Islands,AY.1 (Delta),0,0
Share,Commonwealth of the Northern Mariana Islands,AY.2 (Delta),0,0
Share Low,Commonwealth of the Northern Mariana Islands,AY.2 (Delta),0,0
Share High,Commonwealth of the Northern Mariana Islands,AY.2 (Delta),0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.1.7 (Alpha),0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.1.7 (Alpha),0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.1.7 (Alpha),0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.1.529 (Omicron),0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.1.529 (Omicron),0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.1.529 (Omicron),0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.351,0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.351,0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.351,0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.427/429,0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.427/429,0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.427/429,0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.525,0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.525,0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.525,0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.526 (Iota),0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.526 (Iota),0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.526 (Iota),0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.617.1,0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.617.1,0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.617.1,0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.617.2 (Delta),0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.617.2 (Delta),0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.617.2 (Delta),0,0
Share,Commonwealth of the Northern Mariana Islands,B.1.617.3,0,0
Share Low,Commonwealth of the Northern Mariana Islands,B.1.617.3,0,0
Share High,Commonwealth of the Northern Mariana Islands,B.1.617.3,0,0
