Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,37
Share Low,Alabama,AY.1 (Delta),0,37
Share High,Alabama,AY.1 (Delta),0,37
Share,Alabama,AY.2 (Delta),0,37
Share Low,Alabama,AY.2 (Delta),0,37
Share High,Alabama,AY.2 (Delta),0,37
Share,Alabama,B.1.1.7 (Alpha),0,37
Share Low,Alabama,B.1.1.7 (Alpha),0,37
Share High,Alabama,B.1.1.7 (Alpha),0,37
Share,Alabama,B.1.1.529 (Omicron),0.284412295,37
Share Low,Alabama,B.1.1.529 (Omicron),0.107085116,37
Share High,Alabama,B.1.1.529 (Omicron),0.529755294,37
Share,Alabama,B.1.351,0,37
Share Low,Alabama,B.1.351,0,37
Share High,Alabama,B.1.351,0,37
Share,Alabama,B.1.427/429,0,37
Share Low,Alabama,B.1.427/429,0,37
Share High,Alabama,B.1.427/429,0,37
Share,Alabama,B.1.525,0,37
Share Low,Alabama,B.1.525,0,37
Share High,Alabama,B.1.525,0,37
Share,Alabama,B.1.526 (Iota),0,37
Share Low,Alabama,B.1.526 (Iota),0,37
Share High,Alabama,B.1.526 (Iota),0,37
Share,Alabama,B.1.617.1,0,37
Share Low,Alabama,B.1.617.1,0,37
Share High,Alabama,B.1.617.1,0,37
Share,Alabama,B.1.617.2 (Delta),0,37
Share Low,Alabama,B.1.617.2 (Delta),0,37
Share High,Alabama,B.1.617.2 (Delta),0,37
Share,Alabama,B.1.617.3,0,37
Share Low,Alabama,B.1.617.3,0,37
Share High,Alabama,B.1.617.3,0,37
Share,Alabama,B.1.621 (Mu),0,37
Share Low,Alabama,B.1.621 (Mu),0,37
Share High,Alabama,B.1.621 (Mu),0,37
Share,Alabama,BA.2 (Omicron),0.685025513,37
Share Low,Alabama,BA.2 (Omicron),0.335580885,37
Share High,Alabama,BA.2 (Omicron),0.925170302,37
Share,Alabama,BA.2.12.1 (Omicron),0.030562211,37
Share Low,Alabama,BA.2.12.1 (Omicron),1.778674346e-07,37
Share High,Alabama,BA.2.12.1 (Omicron),0.370885193,37
Share,Alabama,Other,0,37
Share Low,Alabama,Other,0,37
Share High,Alabama,Other,0,37
Share,Alabama,P.1,0,37
Share Low,Alabama,P.1,0,37
Share High,Alabama,P.1,0,37
Share,Alabama,P.2,0,37
Share Low,Alabama,P.2,0,37
Share High,Alabama,P.2,0,37
Share,Alaska,AY.1 (Delta),0,260
Share Low,Alaska,AY.1 (Delta),0,260
Share High,Alaska,AY.1 (Delta),0,260
Share,Alaska,AY.2 (Delta),0,260
Share Low,Alaska,AY.2 (Delta),0,260
Share High,Alaska,AY.2 (Delta),0,260
