Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,113
Share Low,Alabama,AY.1 (Delta),0,113
Share High,Alabama,AY.1 (Delta),0,113
Share,Alabama,AY.2 (Delta),0,113
Share Low,Alabama,AY.2 (Delta),0,113
Share High,Alabama,AY.2 (Delta),0,113
Share,Alabama,B.1.1.7 (Alpha),0,113
Share Low,Alabama,B.1.1.7 (Alpha),0,113
Share High,Alabama,B.1.1.7 (Alpha),0,113
Share,Alabama,B.1.1.529 (Omicron),0.036541484,113
Share Low,Alabama,B.1.1.529 (Omicron),0.010318672,113
Share High,Alabama,B.1.1.529 (Omicron),0.089739852,113
Share,Alabama,B.1.351,0,113
Share Low,Alabama,B.1.351,0,113
Share High,Alabama,B.1.351,0,113
Share,Alabama,B.1.427/429,0,113
Share Low,Alabama,B.1.427/429,0,113
Share High,Alabama,B.1.427/429,0,113
Share,Alabama,B.1.525,0,113
Share Low,Alabama,B.1.525,0,113
Share High,Alabama,B.1.525,0,113
Share,Alabama,B.1.526 (Iota),0,113
Share Low,Alabama,B.1.526 (Iota),0,113
Share High,Alabama,B.1.526 (Iota),0,113
Share,Alabama,B.1.617.1,0,113
Share Low,Alabama,B.1.617.1,0,113
Share High,Alabama,B.1.617.1,0,113
Share,Alabama,B.1.617.2 (Delta),0,113
Share Low,Alabama,B.1.617.2 (Delta),0,113
Share High,Alabama,B.1.617.2 (Delta),0,113
Share,Alabama,B.1.617.3,0,113
Share Low,Alabama,B.1.617.3,0,113
Share High,Alabama,B.1.617.3,0,113
Share,Alabama,B.1.621 (Mu),0,113
Share Low,Alabama,B.1.621 (Mu),0,113
Share High,Alabama,B.1.621 (Mu),0,113
Share,Alabama,BA.2 (Omicron),0.569441855,113
Share Low,Alabama,BA.2 (Omicron),0.417287946,113
Share High,Alabama,BA.2 (Omicron),0.712568998,113
Share,Alabama,BA.2.12.1 (Omicron),0.394016653,113
Share Low,Alabama,BA.2.12.1 (Omicron),0.263591260,113
Share High,Alabama,BA.2.12.1 (Omicron),0.536518931,113
Share,Alabama,Other,0,113
Share Low,Alabama,Other,0,113
Share High,Alabama,Other,0,113
Share,Alabama,P.1,0,113
Share Low,Alabama,P.1,0,113
Share High,Alabama,P.1,0,113
Share,Alabama,P.2,0,113
Share Low,Alabama,P.2,0,113
Share High,Alabama,P.2,0,113
Share,Alaska,AY.1 (Delta),0,75
Share Low,Alaska,AY.1 (Delta),0,75
Share High,Alaska,AY.1 (Delta),0,75
Share,Alaska,AY.2 (Delta),0,75
Share Low,Alaska,AY.2 (Delta),0,75
Share High,Alaska,AY.2 (Delta),0,75
Share,Alaska,B.1.1.7 (Alpha),0,75
Share Low,Alaska,B.1.1.7 (Alpha),0,75
Share High,Alaska,B.1.1.7 (Alpha),0,75
Share,Alaska,B.1.1.529 (Omicron),0.023377739,75
Share Low,Alaska,B.1.1.529 (Omicron),0.002280044,75
Share High,Alaska,B.1.1.529 (Omicron),0.088033743,75
Share,Alaska,B.1.351,0,75
Share Low,Alaska,B.1.351,0,75
Share High,Alaska,B.1.351,0,75
Share,Alaska,B.1.427/429,0,75
Share Low,Alaska,B.1.427/429,0,75
Share High,Alaska,B.1.427/429,0,75
Share,Alaska,B.1.525,0,75
Share Low,Alaska,B.1.525,0,75
Share High,Alaska,B.1.525,0,75
Share,Alaska,B.1.526 (Iota),0,75
Share Low,Alaska,B.1.526 (Iota),0,75
Share High,Alaska,B.1.526 (Iota),0,75
Share,Alaska,B.1.617.1,0,75
Share Low,Alaska,B.1.617.1,0,75
Share High,Alaska,B.1.617.1,0,75
Share,Alaska,B.1.617.2 (Delta),0,75
Share Low,Alaska,B.1.617.2 (Delta),0,75
Share High,Alaska,B.1.617.2 (Delta),0,75
Share,Alaska,B.1.617.3,0,75
Share Low,Alaska,B.1.617.3,0,75
Share High,Alaska,B.1.617.3,0,75
Share,Alaska,B.1.621 (Mu),0,75
Share Low,Alaska,B.1.621 (Mu),0,75
Share High,Alaska,B.1.621 (Mu),0,75
Share,Alaska,BA.2 (Omicron),0.844188988,75
Share Low,Alaska,BA.2 (Omicron),0.693262517,75
Share High,Alaska,BA.2 (Omicron),0.939782619,75
Share,Alaska,BA.2.12.1 (Omicron),0.132433265,75
Share Low,Alaska,BA.2.12.1 (Omicron),0.051726960,75
Share High,Alaska,BA.2.12.1 (Omicron),0.262192160,75
Share,Alaska,Other,0,75
Share Low,Alaska,Other,0,75
Share High,Alaska,Other,0,75
Share,Alaska,P.1,0,75
Share Low,Alaska,P.1,0,75
Share High,Alaska,P.1,0,75
Share,Alaska,P.2,0,75
Share Low,Alaska,P.2,0,75
Share High,Alaska,P.2,0,75
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,0,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
