Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,377
Share Low,Alabama,AY.1 (Delta),0,377
Share High,Alabama,AY.1 (Delta),0,377
Share,Alabama,AY.2 (Delta),0,377
Share Low,Alabama,AY.2 (Delta),0,377
Share High,Alabama,AY.2 (Delta),0,377
Share,Alabama,B.1.1.7 (Alpha),0,377
Share Low,Alabama,B.1.1.7 (Alpha),0,377
Share High,Alabama,B.1.1.7 (Alpha),0,377
Share,Alabama,B.1.1.529 (Omicron),0,377
Share Low,Alabama,B.1.1.529 (Omicron),0,377
Share High,Alabama,B.1.1.529 (Omicron),0,377
Share,Alabama,B.1.351,0,377
Share Low,Alabama,B.1.351,0,377
Share High,Alabama,B.1.351,0,377
Share,Alabama,B.1.427/429 (Epsilon),0,377
Share Low,Alabama,B.1.427/429 (Epsilon),0,377
Share High,Alabama,B.1.427/429 (Epsilon),0,377
Share,Alabama,B.1.525,0,377
Share Low,Alabama,B.1.525,0,377
Share High,Alabama,B.1.525,0,377
Share,Alabama,B.1.526 (Iota),0,377
Share Low,Alabama,B.1.526 (Iota),0,377
Share High,Alabama,B.1.526 (Iota),0,377
Share,Alabama,B.1.617.1,0,377
Share Low,Alabama,B.1.617.1,0,377
Share High,Alabama,B.1.617.1,0,377
Share,Alabama,B.1.617.2 (Delta),0,377
Share Low,Alabama,B.1.617.2 (Delta),0,377
Share High,Alabama,B.1.617.2 (Delta),0,377
Share,Alabama,B.1.617.3,0,377
Share Low,Alabama,B.1.617.3,0,377
Share High,Alabama,B.1.617.3,0,377
Share,Alabama,B.1.621 (Mu),0,377
Share Low,Alabama,B.1.621 (Mu),0,377
Share High,Alabama,B.1.621 (Mu),0,377
Share,Alabama,BA.2 (Omicron),0.015446832,377
Share Low,Alabama,BA.2 (Omicron),0.000645457,377
Share High,Alabama,BA.2 (Omicron),0.074287944,377
Share,Alabama,BA.2.12.1 (Omicron),0.120294712,377
Share Low,Alabama,BA.2.12.1 (Omicron),0.089225464,377
Share High,Alabama,BA.2.12.1 (Omicron),0.157474965,377
Share,Alabama,BA.4 (Omicron),0.129912376,377
Share Low,Alabama,BA.4 (Omicron),0.091741361,377
Share High,Alabama,BA.4 (Omicron),0.176680729,377
Share,Alabama,BA.4.6 (Omicron),0.031954445,377
Share Low,Alabama,BA.4.6 (Omicron),0.016642973,377
Share High,Alabama,BA.4.6 (Omicron),0.055095881,377
Share,Alabama,BA.5 (Omicron),0.702391624,377
Share Low,Alabama,BA.5 (Omicron),0.617588520,377
Share High,Alabama,BA.5 (Omicron),0.778056860,377
Share,Alabama,Other,0,377
Share Low,Alabama,Other,0,377
Share High,Alabama,Other,0,377
Share,Alabama,P.1,0,377
Share Low,Alabama,P.1,0,377
Share High,Alabama,P.1,0,377
Share,Alabama,P.2,0,377
Share Low,Alabama,P.2,0,377
Share High,Alabama,P.2,0,377
Share,Alaska,AY.1 (Delta),0,299
Share Low,Alaska,AY.1 (Delta),0,299
Share High,Alaska,AY.1 (Delta),0,299
Share,Alaska,AY.2 (Delta),0,299
Share Low,Alaska,AY.2 (Delta),0,299
Share High,Alaska,AY.2 (Delta),0,299
Share,Alaska,B.1.1.7 (Alpha),0,299
Share Low,Alaska,B.1.1.7 (Alpha),0,299
Share High,Alaska,B.1.1.7 (Alpha),0,299
Share,Alaska,B.1.1.529 (Omicron),0,299
Share Low,Alaska,B.1.1.529 (Omicron),0,299
Share High,Alaska,B.1.1.529 (Omicron),0,299
Share,Alaska,B.1.351,0,299
Share Low,Alaska,B.1.351,0,299
Share High,Alaska,B.1.351,0,299
Share,Alaska,B.1.427/429 (Epsilon),0,299
Share Low,Alaska,B.1.427/429 (Epsilon),0,299
Share High,Alaska,B.1.427/429 (Epsilon),0,299
Share,Alaska,B.1.525,0,299
Share Low,Alaska,B.1.525,0,299
Share High,Alaska,B.1.525,0,299
Share,Alaska,B.1.526 (Iota),0,299
Share Low,Alaska,B.1.526 (Iota),0,299
Share High,Alaska,B.1.526 (Iota),0,299
Share,Alaska,B.1.617.1,0,299
Share Low,Alaska,B.1.617.1,0,299
Share High,Alaska,B.1.617.1,0,299
Share,Alaska,B.1.617.2 (Delta),0,299
Share Low,Alaska,B.1.617.2 (Delta),0,299
Share High,Alaska,B.1.617.2 (Delta),0,299
Share,Alaska,B.1.617.3,0,299
Share Low,Alaska,B.1.617.3,0,299
Share High,Alaska,B.1.617.3,0,299
Share,Alaska,B.1.621 (Mu),0,299
Share Low,Alaska,B.1.621 (Mu),0,299
Share High,Alaska,B.1.621 (Mu),0,299
Share,Alaska,BA.2 (Omicron),0.017004315,299
Share Low,Alaska,BA.2 (Omicron),0.005610322,299
Share High,Alaska,BA.2 (Omicron),0.038980622,299
Share,Alaska,BA.2.12.1 (Omicron),0.080237582,299
Share Low,Alaska,BA.2.12.1 (Omicron),0.049064897,299
Share High,Alaska,BA.2.12.1 (Omicron),0.122345284,299
Share,Alaska,BA.4 (Omicron),0.096536785,299
Share Low,Alaska,BA.4 (Omicron),0.043956060,299
Share High,Alaska,BA.4 (Omicron),0.178083092,299
Share,Alaska,BA.4.6 (Omicron),0,299
Share Low,Alaska,BA.4.6 (Omicron),0,299
Share High,Alaska,BA.4.6 (Omicron),0,299
Share,Alaska,BA.5 (Omicron),0.806221306,299
Share Low,Alaska,BA.5 (Omicron),0.756794155,299
Share High,Alaska,BA.5 (Omicron),0.849463344,299
Share,Alaska,Other,0,299
Share Low,Alaska,Other,0,299
Share High,Alaska,Other,0,299
Share,Alaska,P.1,0,299
Share Low,Alaska,P.1,0,299
Share High,Alaska,P.1,0,299
Share,Alaska,P.2,0,299
Share Low,Alaska,P.2,0,299
Share High,Alaska,P.2,0,299
