Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,44
Share Low,Alabama,AY.1 (Delta),0,44
Share High,Alabama,AY.1 (Delta),0,44
Share,Alabama,AY.2 (Delta),0,44
Share Low,Alabama,AY.2 (Delta),0,44
Share High,Alabama,AY.2 (Delta),0,44
Share,Alabama,B.1.1.7 (Alpha),0,44
Share Low,Alabama,B.1.1.7 (Alpha),0,44
Share High,Alabama,B.1.1.7 (Alpha),0,44
Share,Alabama,B.1.1.529 (Omicron),0.385074645,44
Share Low,Alabama,B.1.1.529 (Omicron),0.213324234,44
Share High,Alabama,B.1.1.529 (Omicron),0.580702424,44
Share,Alabama,B.1.351,0,44
Share Low,Alabama,B.1.351,0,44
Share High,Alabama,B.1.351,0,44
Share,Alabama,B.1.427/429,0,44
Share Low,Alabama,B.1.427/429,0,44
Share High,Alabama,B.1.427/429,0,44
Share,Alabama,B.1.525,0,44
Share Low,Alabama,B.1.525,0,44
Share High,Alabama,B.1.525,0,44
Share,Alabama,B.1.526 (Iota),0,44
Share Low,Alabama,B.1.526 (Iota),0,44
Share High,Alabama,B.1.526 (Iota),0,44
Share,Alabama,B.1.617.1,0,44
Share Low,Alabama,B.1.617.1,0,44
Share High,Alabama,B.1.617.1,0,44
Share,Alabama,B.1.617.2 (Delta),0,44
Share Low,Alabama,B.1.617.2 (Delta),0,44
Share High,Alabama,B.1.617.2 (Delta),0,44
Share,Alabama,B.1.617.3,0,44
Share Low,Alabama,B.1.617.3,0,44
Share High,Alabama,B.1.617.3,0,44
Share,Alabama,B.1.621 (Mu),0,44
Share Low,Alabama,B.1.621 (Mu),0,44
Share High,Alabama,B.1.621 (Mu),0,44
Share,Alabama,BA.2 (Omicron),0.614925385,44
Share Low,Alabama,BA.2 (Omicron),0.419297546,44
Share High,Alabama,BA.2 (Omicron),0.786675751,44
Share,Alabama,BA.2.12.1 (Omicron),0,44
Share Low,Alabama,BA.2.12.1 (Omicron),0,44
Share High,Alabama,BA.2.12.1 (Omicron),0,44
Share,Alabama,Other,0,44
Share Low,Alabama,Other,0,44
Share High,Alabama,Other,0,44
Share,Alabama,P.1,0,44
Share Low,Alabama,P.1,0,44
Share High,Alabama,P.1,0,44
Share,Alabama,P.2,0,44
Share Low,Alabama,P.2,0,44
Share High,Alabama,P.2,0,44
Share,Alaska,AY.1 (Delta),0,366
Share Low,Alaska,AY.1 (Delta),0,366
Share High,Alaska,AY.1 (Delta),0,366
Share,Alaska,AY.2 (Delta),0,366
Share Low,Alaska,AY.2 (Delta),0,366
Share High,Alaska,AY.2 (Delta),0,366
Share,Alaska,B.1.1.7 (Alpha),0,366
Share Low,Alaska,B.1.1.7 (Alpha),0,366
Share High,Alaska,B.1.1.7 (Alpha),0,366
Share,Alaska,B.1.1.529 (Omicron),0.169148698,366
Share Low,Alaska,B.1.1.529 (Omicron),0.131168827,366
Share High,Alaska,B.1.1.529 (Omicron),0.212906390,366
Share,Alaska,B.1.351,0,366
Share Low,Alaska,B.1.351,0,366
Share High,Alaska,B.1.351,0,366
Share,Alaska,B.1.427/429,0,366
Share Low,Alaska,B.1.427/429,0,366
Share High,Alaska,B.1.427/429,0,366
Share,Alaska,B.1.525,0,366
Share Low,Alaska,B.1.525,0,366
