Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,923
Share Low,Alabama,AY.1 (Delta),0,923
Share High,Alabama,AY.1 (Delta),0,923
Share,Alabama,AY.2 (Delta),0,923
Share Low,Alabama,AY.2 (Delta),0,923
Share High,Alabama,AY.2 (Delta),0,923
Share,Alabama,B.1.1.7 (Alpha),0,923
Share Low,Alabama,B.1.1.7 (Alpha),0,923
Share High,Alabama,B.1.1.7 (Alpha),0,923
Share,Alabama,B.1.1.529 (Omicron),0.995996773,923
Share Low,Alabama,B.1.1.529 (Omicron),0.989419997,923
Share High,Alabama,B.1.1.529 (Omicron),0.998982310,923
Share,Alabama,B.1.351,0,923
Share Low,Alabama,B.1.351,0,923
Share High,Alabama,B.1.351,0,923
Share,Alabama,B.1.427/429,0,923
Share Low,Alabama,B.1.427/429,0,923
Share High,Alabama,B.1.427/429,0,923
Share,Alabama,B.1.525,0,923
Share Low,Alabama,B.1.525,0,923
Share High,Alabama,B.1.525,0,923
Share,Alabama,B.1.526 (Iota),0,923
Share Low,Alabama,B.1.526 (Iota),0,923
Share High,Alabama,B.1.526 (Iota),0,923
Share,Alabama,B.1.617.1,0,923
Share Low,Alabama,B.1.617.1,0,923
Share High,Alabama,B.1.617.1,0,923
Share,Alabama,B.1.617.2 (Delta),0,923
Share Low,Alabama,B.1.617.2 (Delta),0,923
Share High,Alabama,B.1.617.2 (Delta),0,923
Share,Alabama,B.1.617.3,0,923
Share Low,Alabama,B.1.617.3,0,923
Share High,Alabama,B.1.617.3,0,923
Share,Alabama,B.1.621 (Mu),0,923
Share Low,Alabama,B.1.621 (Mu),0,923
Share High,Alabama,B.1.621 (Mu),0,923
Share,Alabama,BA.2 (Omicron),0.004003250,923
Share Low,Alabama,BA.2 (Omicron),0.001017697,923
Share High,Alabama,BA.2 (Omicron),0.010579999,923
Share,Alabama,Other,0,923
Share Low,Alabama,Other,0,923
Share High,Alabama,Other,0,923
Share,Alabama,P.1,0,923
Share Low,Alabama,P.1,0,923
Share High,Alabama,P.1,0,923
Share,Alabama,P.2,0,923
Share Low,Alabama,P.2,0,923
Share High,Alabama,P.2,0,923
Share,Alaska,AY.1 (Delta),0,654
Share Low,Alaska,AY.1 (Delta),0,654
Share High,Alaska,AY.1 (Delta),0,654
Share,Alaska,AY.2 (Delta),0,654
Share Low,Alaska,AY.2 (Delta),0,654
Share High,Alaska,AY.2 (Delta),0,654
Share,Alaska,B.1.1.7 (Alpha),0,654
Share Low,Alaska,B.1.1.7 (Alpha),0,654
Share High,Alaska,B.1.1.7 (Alpha),0,654
Share,Alaska,B.1.1.529 (Omicron),0.908035278,654
Share Low,Alaska,B.1.1.529 (Omicron),0.819941580,654
Share High,Alaska,B.1.1.529 (Omicron),0.962113380,654
Share,Alaska,B.1.351,0,654
Share Low,Alaska,B.1.351,0,654
Share High,Alaska,B.1.351,0,654
Share,Alaska,B.1.427/429,0,654
Share Low,Alaska,B.1.427/429,0,654
Share High,Alaska,B.1.427/429,0,654
Share,Alaska,B.1.525,0,654
Share Low,Alaska,B.1.525,0,654
Share High,Alaska,B.1.525,0,654
Share,Alaska,B.1.526 (Iota),0,654
Share Low,Alaska,B.1.526 (Iota),0,654
Share High,Alaska,B.1.526 (Iota),0,654
Share,Alaska,B.1.617.1,0,654
Share Low,Alaska,B.1.617.1,0,654
Share High,Alaska,B.1.617.1,0,654
Share,Alaska,B.1.617.2 (Delta),0,654
