Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,33
Share Low,Alabama,AY.1 (Delta),0,33
Share High,Alabama,AY.1 (Delta),0,33
Share,Alabama,AY.2 (Delta),0,33
Share Low,Alabama,AY.2 (Delta),0,33
Share High,Alabama,AY.2 (Delta),0,33
Share,Alabama,B.1.1.7 (Alpha),0,33
Share Low,Alabama,B.1.1.7 (Alpha),0,33
Share High,Alabama,B.1.1.7 (Alpha),0,33
Share,Alabama,B.1.1.529 (Omicron),0.161911696,33
Share Low,Alabama,B.1.1.529 (Omicron),0.057338476,33
Share High,Alabama,B.1.1.529 (Omicron),0.331347227,33
Share,Alabama,B.1.351,0,33
Share Low,Alabama,B.1.351,0,33
Share High,Alabama,B.1.351,0,33
Share,Alabama,B.1.427/429,0,33
Share Low,Alabama,B.1.427/429,0,33
Share High,Alabama,B.1.427/429,0,33
Share,Alabama,B.1.525,0,33
Share Low,Alabama,B.1.525,0,33
Share High,Alabama,B.1.525,0,33
Share,Alabama,B.1.526 (Iota),0,33
Share Low,Alabama,B.1.526 (Iota),0,33
Share High,Alabama,B.1.526 (Iota),0,33
Share,Alabama,B.1.617.1,0,33
Share Low,Alabama,B.1.617.1,0,33
Share High,Alabama,B.1.617.1,0,33
Share,Alabama,B.1.617.2 (Delta),0,33
Share Low,Alabama,B.1.617.2 (Delta),0,33
Share High,Alabama,B.1.617.2 (Delta),0,33
Share,Alabama,B.1.617.3,0,33
Share Low,Alabama,B.1.617.3,0,33
Share High,Alabama,B.1.617.3,0,33
Share,Alabama,B.1.621 (Mu),0,33
Share Low,Alabama,B.1.621 (Mu),0,33
Share High,Alabama,B.1.621 (Mu),0,33
Share,Alabama,BA.2 (Omicron),0.771533191,33
Share Low,Alabama,BA.2 (Omicron),0.459390759,33
Share High,Alabama,BA.2 (Omicron),0.952209115,33
Share,Alabama,BA.2.12.1 (Omicron),0.066555128,33
Share Low,Alabama,BA.2.12.1 (Omicron),2.819029760e-05,33
Share High,Alabama,BA.2.12.1 (Omicron),0.507039487,33
Share,Alabama,Other,0,33
Share Low,Alabama,Other,0,33
Share High,Alabama,Other,0,33
Share,Alabama,P.1,0,33
Share Low,Alabama,P.1,0,33
Share High,Alabama,P.1,0,33
Share,Alabama,P.2,0,33
Share Low,Alabama,P.2,0,33
Share High,Alabama,P.2,0,33
Share,Alaska,AY.1 (Delta),0,279
Share Low,Alaska,AY.1 (Delta),0,279
Share High,Alaska,AY.1 (Delta),0,279
Share,Alaska,AY.2 (Delta),0,279
Share Low,Alaska,AY.2 (Delta),0,279
Share High,Alaska,AY.2 (Delta),0,279
Share,Alaska,B.1.1.7 (Alpha),0,279
Share Low,Alaska,B.1.1.7 (Alpha),0,279
Share High,Alaska,B.1.1.7 (Alpha),0,279
Share,Alaska,B.1.1.529 (Omicron),0.073875703,279
Share Low,Alaska,B.1.1.529 (Omicron),0.044758998,279
Share High,Alaska,B.1.1.529 (Omicron),0.113520332,279
Share,Alaska,B.1.351,0,279
Share Low,Alaska,B.1.351,0,279
Share High,Alaska,B.1.351,0,279
Share,Alaska,B.1.427/429,0,279
Share Low,Alaska,B.1.427/429,0,279
Share High,Alaska,B.1.427/429,0,279
Share,Alaska,B.1.525,0,279
Share Low,Alaska,B.1.525,0,279
Share High,Alaska,B.1.525,0,279
Share,Alaska,B.1.526 (Iota),0,279
Share Low,Alaska,B.1.526 (Iota),0,279
Share High,Alaska,B.1.526 (Iota),0,279
Share,Alaska,B.1.617.1,0,279
Share Low,Alaska,B.1.617.1,0,279
Share High,Alaska,B.1.617.1,0,279
Share,Alaska,B.1.617.2 (Delta),0,279
Share Low,Alaska,B.1.617.2 (Delta),0,279
Share High,Alaska,B.1.617.2 (Delta),0,279
Share,Alaska,B.1.617.3,0,279
Share Low,Alaska,B.1.617.3,0,279
Share High,Alaska,B.1.617.3,0,279
Share,Alaska,B.1.621 (Mu),0,279
Share Low,Alaska,B.1.621 (Mu),0,279
Share High,Alaska,B.1.621 (Mu),0,279
Share,Alaska,BA.2 (Omicron),0.884112060,279
Share Low,Alaska,BA.2 (Omicron),0.802745521,279
Share High,Alaska,BA.2 (Omicron),0.940398574,279
Share,Alaska,BA.2.12.1 (Omicron),0.042012271,279
Share Low,Alaska,BA.2.12.1 (Omicron),0.000456126,279
Share High,Alaska,BA.2.12.1 (Omicron),0.246145085,279
Share,Alaska,Other,0,279
Share Low,Alaska,Other,0,279
Share High,Alaska,Other,0,279
Share,Alaska,P.1,0,279
Share Low,Alaska,P.1,0,279
Share High,Alaska,P.1,0,279
Share,Alaska,P.2,0,279
Share Low,Alaska,P.2,0,279
Share High,Alaska,P.2,0,279
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,0,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,BA.2.12.1 (Omicron),0,0
Share Low,American Samoa,BA.2.12.1 (Omicron),0,0
Share High,American Samoa,BA.2.12.1 (Omicron),0,0
Share,American Samoa,Other,0,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,0,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,0,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1 (Delta),0,738
Share Low,Arizona,AY.1 (Delta),0,738
Share High,Arizona,AY.1 (Delta),0,738
Share,Arizona,AY.2 (Delta),0,738
Share Low,Arizona,AY.2 (Delta),0,738
Share High,Arizona,AY.2 (Delta),0,738
Share,Arizona,B.1.1.7 (Alpha),0,738
Share Low,Arizona,B.1.1.7 (Alpha),0,738
Share High,Arizona,B.1.1.7 (Alpha),0,738
Share,Arizona,B.1.1.529 (Omicron),0.092385165,738
Share Low,Arizona,B.1.1.529 (Omicron),0.042319987,738
Share High,Arizona,B.1.1.529 (Omicron),0.170051828,738
Share,Arizona,B.1.351,0,738
Share Low,Arizona,B.1.351,0,738
Share High,Arizona,B.1.351,0,738
Share,Arizona,B.1.427/429,0,738
Share Low,Arizona,B.1.427/429,0,738
Share High,Arizona,B.1.427/429,0,738
Share,Arizona,B.1.525,0,738
Share Low,Arizona,B.1.525,0,738
Share High,Arizona,B.1.525,0,738
Share,Arizona,B.1.526 (Iota),0,738
Share Low,Arizona,B.1.526 (Iota),0,738
Share High,Arizona,B.1.526 (Iota),0,738
Share,Arizona,B.1.617.1,0,738
Share Low,Arizona,B.1.617.1,0,738
Share High,Arizona,B.1.617.1,0,738
Share,Arizona,B.1.617.2 (Delta),0.001181099,738
Share Low,Arizona,B.1.617.2 (Delta),2.615634457e-06,738
Share High,Arizona,B.1.617.2 (Delta),0.009910810,738
Share,Arizona,B.1.617.3,0,738
Share Low,Arizona,B.1.617.3,0,738
Share High,Arizona,B.1.617.3,0,738
Share,Arizona,B.1.621 (Mu),0,738
Share Low,Arizona,B.1.621 (Mu),0,738
Share High,Arizona,B.1.621 (Mu),0,738
Share,Arizona,BA.2 (Omicron),0.803936005,738
Share Low,Arizona,BA.2 (Omicron),0.773423195,738
Share High,Arizona,BA.2 (Omicron),0.831995904,738
Share,Arizona,BA.2.12.1 (Omicron),0.077091679,738
Share Low,Arizona,BA.2.12.1 (Omicron),0.043089807,738
Share High,Arizona,BA.2.12.1 (Omicron),0.125353321,738
Share,Arizona,Other,0.025406033,738
Share Low,Arizona,Other,0.002190033,738
Share High,Arizona,Other,0.099052593,738
Share,Arizona,P.1,0,738
Share Low,Arizona,P.1,0,738
Share High,Arizona,P.1,0,738
Share,Arizona,P.2,0,738
Share Low,Arizona,P.2,0,738
Share High,Arizona,P.2,0,738
Share,Arkansas,AY.1 (Delta),0,55
Share Low,Arkansas,AY.1 (Delta),0,55
Share High,Arkansas,AY.1 (Delta),0,55
Share,Arkansas,AY.2 (Delta),0,55
Share Low,Arkansas,AY.2 (Delta),0,55
Share High,Arkansas,AY.2 (Delta),0,55
Share,Arkansas,B.1.1.7 (Alpha),0,55
Share Low,Arkansas,B.1.1.7 (Alpha),0,55
Share High,Arkansas,B.1.1.7 (Alpha),0,55
Share,Arkansas,B.1.1.529 (Omicron),0.303373396,55
Share Low,Arkansas,B.1.1.529 (Omicron),0.009666882,55
Share High,Arkansas,B.1.1.529 (Omicron),0.861964345,55
Share,Arkansas,B.1.351,0,55
Share Low,Arkansas,B.1.351,0,55
Share High,Arkansas,B.1.351,0,55
Share,Arkansas,B.1.427/429,0,55
Share Low,Arkansas,B.1.427/429,0,55
Share High,Arkansas,B.1.427/429,0,55
Share,Arkansas,B.1.525,0,55
Share Low,Arkansas,B.1.525,0,55
Share High,Arkansas,B.1.525,0,55
Share,Arkansas,B.1.526 (Iota),0,55
Share Low,Arkansas,B.1.526 (Iota),0,55
Share High,Arkansas,B.1.526 (Iota),0,55
Share,Arkansas,B.1.617.1,0,55
Share Low,Arkansas,B.1.617.1,0,55
Share High,Arkansas,B.1.617.1,0,55
Share,Arkansas,B.1.617.2 (Delta),0,55
Share Low,Arkansas,B.1.617.2 (Delta),0,55
Share High,Arkansas,B.1.617.2 (Delta),0,55
Share,Arkansas,B.1.617.3,0,55
Share Low,Arkansas,B.1.617.3,0,55
Share High,Arkansas,B.1.617.3,0,55
Share,Arkansas,B.1.621 (Mu),0,55
Share Low,Arkansas,B.1.621 (Mu),0,55
Share High,Arkansas,B.1.621 (Mu),0,55
Share,Arkansas,BA.2 (Omicron),0.653493941,55
Share Low,Arkansas,BA.2 (Omicron),0.190708995,55
Share High,Arkansas,BA.2 (Omicron),0.960687339,55
Share,Arkansas,BA.2.12.1 (Omicron),0.043132681,55
Share Low,Arkansas,BA.2.12.1 (Omicron),0.001771572,55
Share High,Arkansas,BA.2.12.1 (Omicron),0.197270736,55
Share,Arkansas,Other,0,55
Share Low,Arkansas,Other,0,55
Share High,Arkansas,Other,0,55
Share,Arkansas,P.1,0,55
