Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,766
Share Low,Alabama,AY.1 (Delta),0,766
Share High,Alabama,AY.1 (Delta),0,766
Share,Alabama,AY.2 (Delta),0,766
Share Low,Alabama,AY.2 (Delta),0,766
Share High,Alabama,AY.2 (Delta),0,766
Share,Alabama,B.1.1.7 (Alpha),0,766
Share Low,Alabama,B.1.1.7 (Alpha),0,766
Share High,Alabama,B.1.1.7 (Alpha),0,766
Share,Alabama,B.1.1.529 (Omicron),0.880400896,766
Share Low,Alabama,B.1.1.529 (Omicron),0.744111538,766
Share High,Alabama,B.1.1.529 (Omicron),0.959506452,766
Share,Alabama,B.1.351,0,766
Share Low,Alabama,B.1.351,0,766
Share High,Alabama,B.1.351,0,766
Share,Alabama,B.1.427/429,0,766
Share Low,Alabama,B.1.427/429,0,766
Share High,Alabama,B.1.427/429,0,766
Share,Alabama,B.1.525,0,766
Share Low,Alabama,B.1.525,0,766
Share High,Alabama,B.1.525,0,766
Share,Alabama,B.1.526 (Iota),0,766
Share Low,Alabama,B.1.526 (Iota),0,766
Share High,Alabama,B.1.526 (Iota),0,766
Share,Alabama,B.1.617.1,0,766
Share Low,Alabama,B.1.617.1,0,766
Share High,Alabama,B.1.617.1,0,766
Share,Alabama,B.1.617.2 (Delta),0.110051997,766
Share Low,Alabama,B.1.617.2 (Delta),0.030017231,766
Share High,Alabama,B.1.617.2 (Delta),0.261273324,766
Share,Alabama,B.1.617.3,0,766
Share Low,Alabama,B.1.617.3,0,766
Share High,Alabama,B.1.617.3,0,766
Share,Alabama,B.1.621 (Mu),0,766
Share Low,Alabama,B.1.621 (Mu),0,766
Share High,Alabama,B.1.621 (Mu),0,766
Share,Alabama,Other,0.009547132,766
Share Low,Alabama,Other,0.003102784,766
Share High,Alabama,Other,0.022154642,766
Share,Alabama,P.1,0,766
Share Low,Alabama,P.1,0,766
Share High,Alabama,P.1,0,766
Share,Alabama,P.2,0,766
Share Low,Alabama,P.2,0,766
Share High,Alabama,P.2,0,766
Share,Alaska,AY.1 (Delta),0,408
Share Low,Alaska,AY.1 (Delta),0,408
Share High,Alaska,AY.1 (Delta),0,408
Share,Alaska,AY.2 (Delta),0,408
Share Low,Alaska,AY.2 (Delta),0,408
Share High,Alaska,AY.2 (Delta),0,408
Share,Alaska,B.1.1.7 (Alpha),0,408
Share Low,Alaska,B.1.1.7 (Alpha),0,408
Share High,Alaska,B.1.1.7 (Alpha),0,408
Share,Alaska,B.1.1.529 (Omicron),0.806970060,408
Share Low,Alaska,B.1.1.529 (Omicron),0.750066698,408
Share High,Alaska,B.1.1.529 (Omicron),0.855804861,408
Share,Alaska,B.1.351,0,408
Share Low,Alaska,B.1.351,0,408
Share High,Alaska,B.1.351,0,408
Share,Alaska,B.1.427/429,0,408
Share Low,Alaska,B.1.427/429,0,408
Share High,Alaska,B.1.427/429,0,408
Share,Alaska,B.1.525,0,408
Share Low,Alaska,B.1.525,0,408
Share High,Alaska,B.1.525,0,408
Share,Alaska,B.1.526 (Iota),0,408
Share Low,Alaska,B.1.526 (Iota),0,408
Share High,Alaska,B.1.526 (Iota),0,408
Share,Alaska,B.1.617.1,0,408
Share Low,Alaska,B.1.617.1,0,408
Share High,Alaska,B.1.617.1,0,408
Share,Alaska,B.1.617.2 (Delta),0.190102905,408
Share Low,Alaska,B.1.617.2 (Delta),0.145266101,408
Share High,Alaska,B.1.617.2 (Delta),0.241825417,408
Share,Alaska,B.1.617.3,0,408
Share Low,Alaska,B.1.617.3,0,408
Share High,Alaska,B.1.617.3,0,408
Share,Alaska,B.1.621 (Mu),0,408
Share Low,Alaska,B.1.621 (Mu),0,408
Share High,Alaska,B.1.621 (Mu),0,408
Share,Alaska,Other,0.002927045,408
Share Low,Alaska,Other,1.088760200e-06,408
Share High,Alaska,Other,0.030111574,408
Share,Alaska,P.1,0,408
Share Low,Alaska,P.1,0,408
Share High,Alaska,P.1,0,408
Share,Alaska,P.2,0,408
Share Low,Alaska,P.2,0,408
Share High,Alaska,P.2,0,408
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
