Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,338
Share Low,Alabama,AY.1 (Delta),0,338
Share High,Alabama,AY.1 (Delta),0,338
Share,Alabama,AY.2 (Delta),0,338
Share Low,Alabama,AY.2 (Delta),0,338
Share High,Alabama,AY.2 (Delta),0,338
Share,Alabama,B.1.1.7 (Alpha),0,338
Share Low,Alabama,B.1.1.7 (Alpha),0,338
Share High,Alabama,B.1.1.7 (Alpha),0,338
Share,Alabama,B.1.1.529 (Omicron),0,338
Share Low,Alabama,B.1.1.529 (Omicron),0,338
Share High,Alabama,B.1.1.529 (Omicron),0,338
Share,Alabama,B.1.351,0,338
Share Low,Alabama,B.1.351,0,338
Share High,Alabama,B.1.351,0,338
Share,Alabama,B.1.427/429 (Epsilon),0,338
Share Low,Alabama,B.1.427/429 (Epsilon),0,338
Share High,Alabama,B.1.427/429 (Epsilon),0,338
Share,Alabama,B.1.525,0,338
Share Low,Alabama,B.1.525,0,338
Share High,Alabama,B.1.525,0,338
Share,Alabama,B.1.526 (Iota),0,338
Share Low,Alabama,B.1.526 (Iota),0,338
Share High,Alabama,B.1.526 (Iota),0,338
Share,Alabama,B.1.617.1,0,338
Share Low,Alabama,B.1.617.1,0,338
Share High,Alabama,B.1.617.1,0,338
Share,Alabama,B.1.617.2 (Delta),0,338
Share Low,Alabama,B.1.617.2 (Delta),0,338
Share High,Alabama,B.1.617.2 (Delta),0,338
Share,Alabama,B.1.617.3,0,338
Share Low,Alabama,B.1.617.3,0,338
Share High,Alabama,B.1.617.3,0,338
Share,Alabama,B.1.621 (Mu),0,338
Share Low,Alabama,B.1.621 (Mu),0,338
Share High,Alabama,B.1.621 (Mu),0,338
Share,Alabama,BA.2 (Omicron),0.002958580,338
Share Low,Alabama,BA.2 (Omicron),7.095628203e-14,338
Share High,Alabama,BA.2 (Omicron),0.079577416,338
Share,Alabama,BA.2.12.1 (Omicron),0.062130179,338
Share Low,Alabama,BA.2.12.1 (Omicron),0.024695408,338
Share High,Alabama,BA.2.12.1 (Omicron),0.125678957,338
Share,Alabama,BA.4 (Omicron),0.118343197,338
Share Low,Alabama,BA.4 (Omicron),0.084964179,338
Share High,Alabama,BA.4 (Omicron),0.159036800,338
Share,Alabama,BA.4.6 (Omicron),0.041420117,338
Share Low,Alabama,BA.4.6 (Omicron),0.022826793,338
Share High,Alabama,BA.4.6 (Omicron),0.068519987,338
Share,Alabama,BA.5 (Omicron),0.775147915,338
Share Low,Alabama,BA.5 (Omicron),0.688138247,338
Share High,Alabama,BA.5 (Omicron),0.847565532,338
Share,Alabama,Other,0,338
Share Low,Alabama,Other,0,338
Share High,Alabama,Other,0,338
Share,Alabama,P.1,0,338
Share Low,Alabama,P.1,0,338
Share High,Alabama,P.1,0,338
Share,Alabama,P.2,0,338
Share Low,Alabama,P.2,0,338
Share High,Alabama,P.2,0,338
Share,Alaska,AY.1 (Delta),0,242
Share Low,Alaska,AY.1 (Delta),0,242
Share High,Alaska,AY.1 (Delta),0,242
Share,Alaska,AY.2 (Delta),0,242
