Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,365
Share Low,Alabama,AY.1 (Delta),0,365
Share High,Alabama,AY.1 (Delta),0,365
Share,Alabama,AY.2 (Delta),0,365
Share Low,Alabama,AY.2 (Delta),0,365
Share High,Alabama,AY.2 (Delta),0,365
Share,Alabama,B.1.1.7 (Alpha),0,365
Share Low,Alabama,B.1.1.7 (Alpha),0,365
Share High,Alabama,B.1.1.7 (Alpha),0,365
Share,Alabama,B.1.1.529 (Omicron),0,365
Share Low,Alabama,B.1.1.529 (Omicron),0,365
Share High,Alabama,B.1.1.529 (Omicron),0,365
Share,Alabama,B.1.351,0,365
Share Low,Alabama,B.1.351,0,365
Share High,Alabama,B.1.351,0,365
Share,Alabama,B.1.427/429 (Epsilon),0,365
Share Low,Alabama,B.1.427/429 (Epsilon),0,365
Share High,Alabama,B.1.427/429 (Epsilon),0,365
Share,Alabama,B.1.525,0,365
Share Low,Alabama,B.1.525,0,365
Share High,Alabama,B.1.525,0,365
Share,Alabama,B.1.526 (Iota),0,365
Share Low,Alabama,B.1.526 (Iota),0,365
Share High,Alabama,B.1.526 (Iota),0,365
Share,Alabama,B.1.617.1,0,365
Share Low,Alabama,B.1.617.1,0,365
Share High,Alabama,B.1.617.1,0,365
Share,Alabama,B.1.617.2 (Delta),0,365
Share Low,Alabama,B.1.617.2 (Delta),0,365
Share High,Alabama,B.1.617.2 (Delta),0,365
Share,Alabama,B.1.617.3,0,365
Share Low,Alabama,B.1.617.3,0,365
Share High,Alabama,B.1.617.3,0,365
Share,Alabama,B.1.621 (Mu),0,365
Share Low,Alabama,B.1.621 (Mu),0,365
Share High,Alabama,B.1.621 (Mu),0,365
Share,Alabama,BA.2 (Omicron),0.002739726,365
Share Low,Alabama,BA.2 (Omicron),7.562622528e-09,365
Share High,Alabama,BA.2 (Omicron),0.042300761,365
Share,Alabama,BA.2.12.1 (Omicron),0.038356163,365
Share Low,Alabama,BA.2.12.1 (Omicron),0.017953388,365
Share High,Alabama,BA.2.12.1 (Omicron),0.070877850,365
Share,Alabama,BA.4 (Omicron),0.109589040,365
Share Low,Alabama,BA.4 (Omicron),0.062363222,365
Share High,Alabama,BA.4 (Omicron),0.174844295,365
Share,Alabama,BA.4.6 (Omicron),0.052054796,365
Share Low,Alabama,BA.4.6 (Omicron),0.031627722,365
Share High,Alabama,BA.4.6 (Omicron),0.080098629,365
Share,Alabama,BA.5 (Omicron),0.797260284,365
Share Low,Alabama,BA.5 (Omicron),0.752303720,365
Share High,Alabama,BA.5 (Omicron),0.837318420,365
Share,Alabama,Other,0,365
Share Low,Alabama,Other,0,365
Share High,Alabama,Other,0,365
Share,Alabama,P.1,0,365
Share Low,Alabama,P.1,0,365
Share High,Alabama,P.1,0,365
Share,Alabama,P.2,0,365
Share Low,Alabama,P.2,0,365
Share High,Alabama,P.2,0,365
Share,Alaska,AY.1 (Delta),0,171
Share Low,Alaska,AY.1 (Delta),0,171
Share High,Alaska,AY.1 (Delta),0,171
Share,Alaska,AY.2 (Delta),0,171
Share Low,Alaska,AY.2 (Delta),0,171
Share High,Alaska,AY.2 (Delta),0,171
Share,Alaska,B.1.1.7 (Alpha),0,171
Share Low,Alaska,B.1.1.7 (Alpha),0,171
Share High,Alaska,B.1.1.7 (Alpha),0,171
Share,Alaska,B.1.1.529 (Omicron),0,171
Share Low,Alaska,B.1.1.529 (Omicron),0,171
Share High,Alaska,B.1.1.529 (Omicron),0,171
Share,Alaska,B.1.351,0,171
Share Low,Alaska,B.1.351,0,171
Share High,Alaska,B.1.351,0,171
Share,Alaska,B.1.427/429 (Epsilon),0,171
Share Low,Alaska,B.1.427/429 (Epsilon),0,171
Share High,Alaska,B.1.427/429 (Epsilon),0,171
Share,Alaska,B.1.525,0,171
Share Low,Alaska,B.1.525,0,171
Share High,Alaska,B.1.525,0,171
Share,Alaska,B.1.526 (Iota),0,171
Share Low,Alaska,B.1.526 (Iota),0,171
Share High,Alaska,B.1.526 (Iota),0,171
Share,Alaska,B.1.617.1,0,171
Share Low,Alaska,B.1.617.1,0,171
Share High,Alaska,B.1.617.1,0,171
Share,Alaska,B.1.617.2 (Delta),0,171
Share Low,Alaska,B.1.617.2 (Delta),0,171
Share High,Alaska,B.1.617.2 (Delta),0,171
Share,Alaska,B.1.617.3,0,171
Share Low,Alaska,B.1.617.3,0,171
Share High,Alaska,B.1.617.3,0,171
Share,Alaska,B.1.621 (Mu),0,171
Share Low,Alaska,B.1.621 (Mu),0,171
Share High,Alaska,B.1.621 (Mu),0,171
Share,Alaska,BA.2 (Omicron),0,171
Share Low,Alaska,BA.2 (Omicron),0,171
Share High,Alaska,BA.2 (Omicron),0,171
Share,Alaska,BA.2.12.1 (Omicron),0.039256696,171
Share Low,Alaska,BA.2.12.1 (Omicron),0.010190181,171
Share High,Alaska,BA.2.12.1 (Omicron),0.100182690,171
Share,Alaska,BA.4 (Omicron),0.125844479,171
Share Low,Alaska,BA.4 (Omicron),0.044935174,171
Share High,Alaska,BA.4 (Omicron),0.261504501,171
Share,Alaska,BA.4.6 (Omicron),0.010819088,171
Share Low,Alaska,BA.4.6 (Omicron),0.001156052,171
Share High,Alaska,BA.4.6 (Omicron),0.040241618,171
Share,Alaska,BA.5 (Omicron),0.824079752,171
Share Low,Alaska,BA.5 (Omicron),0.737535536,171
Share High,Alaska,BA.5 (Omicron),0.891522169,171
Share,Alaska,Other,0,171
Share Low,Alaska,Other,0,171
Share High,Alaska,Other,0,171
Share,Alaska,P.1,0,171
Share Low,Alaska,P.1,0,171
Share High,Alaska,P.1,0,171
Share,Alaska,P.2,0,171
Share Low,Alaska,P.2,0,171
Share High,Alaska,P.2,0,171
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429 (Epsilon),0,0
Share Low,American Samoa,B.1.427/429 (Epsilon),0,0
Share High,American Samoa,B.1.427/429 (Epsilon),0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,BA.2.12.1 (Omicron),0,0
Share Low,American Samoa,BA.2.12.1 (Omicron),0,0
Share High,American Samoa,BA.2.12.1 (Omicron),0,0
Share,American Samoa,BA.4 (Omicron),0,0
Share Low,American Samoa,BA.4 (Omicron),0,0
Share High,American Samoa,BA.4 (Omicron),0,0
Share,American Samoa,BA.4.6 (Omicron),0,0
Share Low,American Samoa,BA.4.6 (Omicron),0,0
Share High,American Samoa,BA.4.6 (Omicron),0,0
Share,American Samoa,BA.5 (Omicron),0,0
Share Low,American Samoa,BA.5 (Omicron),0,0
Share High,American Samoa,BA.5 (Omicron),0,0
Share,American Samoa,Other,0,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,0,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,0,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1 (Delta),0,"2,246"
Share Low,Arizona,AY.1 (Delta),0,"2,246"
Share High,Arizona,AY.1 (Delta),0,"2,246"
Share,Arizona,AY.2 (Delta),0,"2,246"
Share Low,Arizona,AY.2 (Delta),0,"2,246"
Share High,Arizona,AY.2 (Delta),0,"2,246"
Share,Arizona,B.1.1.7 (Alpha),0,"2,246"
Share Low,Arizona,B.1.1.7 (Alpha),0,"2,246"
Share High,Arizona,B.1.1.7 (Alpha),0,"2,246"
Share,Arizona,B.1.1.529 (Omicron),0,"2,246"
Share Low,Arizona,B.1.1.529 (Omicron),0,"2,246"
Share High,Arizona,B.1.1.529 (Omicron),0,"2,246"
Share,Arizona,B.1.351,0,"2,246"
Share Low,Arizona,B.1.351,0,"2,246"
Share High,Arizona,B.1.351,0,"2,246"
Share,Arizona,B.1.427/429 (Epsilon),0,"2,246"
Share Low,Arizona,B.1.427/429 (Epsilon),0,"2,246"
Share High,Arizona,B.1.427/429 (Epsilon),0,"2,246"
Share,Arizona,B.1.525,0,"2,246"
Share Low,Arizona,B.1.525,0,"2,246"
Share High,Arizona,B.1.525,0,"2,246"
Share,Arizona,B.1.526 (Iota),0,"2,246"
Share Low,Arizona,B.1.526 (Iota),0,"2,246"
Share High,Arizona,B.1.526 (Iota),0,"2,246"
Share,Arizona,B.1.617.1,0,"2,246"
Share Low,Arizona,B.1.617.1,0,"2,246"
Share High,Arizona,B.1.617.1,0,"2,246"
Share,Arizona,B.1.617.2 (Delta),0,"2,246"
Share Low,Arizona,B.1.617.2 (Delta),0,"2,246"
Share High,Arizona,B.1.617.2 (Delta),0,"2,246"
Share,Arizona,B.1.617.3,0,"2,246"
Share Low,Arizona,B.1.617.3,0,"2,246"
Share High,Arizona,B.1.617.3,0,"2,246"
Share,Arizona,B.1.621 (Mu),0,"2,246"
Share Low,Arizona,B.1.621 (Mu),0,"2,246"
Share High,Arizona,B.1.621 (Mu),0,"2,246"
Share,Arizona,BA.2 (Omicron),0.011472512,"2,246"
Share Low,Arizona,BA.2 (Omicron),0.005638503,"2,246"
Share High,Arizona,BA.2 (Omicron),0.020685680,"2,246"
Share,Arizona,BA.2.12.1 (Omicron),0.050117258,"2,246"
Share Low,Arizona,BA.2.12.1 (Omicron),0.040915877,"2,246"
Share High,Arizona,BA.2.12.1 (Omicron),0.060681496,"2,246"
Share,Arizona,BA.4 (Omicron),0.093769535,"2,246"
Share Low,Arizona,BA.4 (Omicron),0.069416992,"2,246"
Share High,Arizona,BA.4 (Omicron),0.123169675,"2,246"
Share,Arizona,BA.4.6 (Omicron),0.016838631,"2,246"
Share Low,Arizona,BA.4.6 (Omicron),0.011932218,"2,246"
Share High,Arizona,BA.4.6 (Omicron),0.023056721,"2,246"
Share,Arizona,BA.5 (Omicron),0.827802062,"2,246"
Share Low,Arizona,BA.5 (Omicron),0.805061042,"2,246"
Share High,Arizona,BA.5 (Omicron),0.848900259,"2,246"
Share,Arizona,Other,0,"2,246"
Share Low,Arizona,Other,0,"2,246"
Share High,Arizona,Other,0,"2,246"
Share,Arizona,P.1,0,"2,246"
Share Low,Arizona,P.1,0,"2,246"
Share High,Arizona,P.1,0,"2,246"
Share,Arizona,P.2,0,"2,246"
Share Low,Arizona,P.2,0,"2,246"
Share High,Arizona,P.2,0,"2,246"
Share,Arkansas,AY.1 (Delta),0,145
Share Low,Arkansas,AY.1 (Delta),0,145
Share High,Arkansas,AY.1 (Delta),0,145
Share,Arkansas,AY.2 (Delta),0,145
Share Low,Arkansas,AY.2 (Delta),0,145
Share High,Arkansas,AY.2 (Delta),0,145
Share,Arkansas,B.1.1.7 (Alpha),0,145
Share Low,Arkansas,B.1.1.7 (Alpha),0,145
Share High,Arkansas,B.1.1.7 (Alpha),0,145
Share,Arkansas,B.1.1.529 (Omicron),0,145
Share Low,Arkansas,B.1.1.529 (Omicron),0,145
Share High,Arkansas,B.1.1.529 (Omicron),0,145
Share,Arkansas,B.1.351,0,145
Share Low,Arkansas,B.1.351,0,145
Share High,Arkansas,B.1.351,0,145
Share,Arkansas,B.1.427/429 (Epsilon),0,145
