Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,501
Share Low,Alabama,AY.1 (Delta),0,501
Share High,Alabama,AY.1 (Delta),0,501
Share,Alabama,AY.2 (Delta),0,501
Share Low,Alabama,AY.2 (Delta),0,501
Share High,Alabama,AY.2 (Delta),0,501
Share,Alabama,B.1.1.7 (Alpha),0,501
Share Low,Alabama,B.1.1.7 (Alpha),0,501
Share High,Alabama,B.1.1.7 (Alpha),0,501
Share,Alabama,B.1.1.529 (Omicron),0,501
Share Low,Alabama,B.1.1.529 (Omicron),0,501
Share High,Alabama,B.1.1.529 (Omicron),0,501
Share,Alabama,B.1.351,0,501
Share Low,Alabama,B.1.351,0,501
Share High,Alabama,B.1.351,0,501
Share,Alabama,B.1.427/429 (Epsilon),0,501
Share Low,Alabama,B.1.427/429 (Epsilon),0,501
Share High,Alabama,B.1.427/429 (Epsilon),0,501
Share,Alabama,B.1.525,0,501
Share Low,Alabama,B.1.525,0,501
Share High,Alabama,B.1.525,0,501
Share,Alabama,B.1.526 (Iota),0,501
Share Low,Alabama,B.1.526 (Iota),0,501
Share High,Alabama,B.1.526 (Iota),0,501
Share,Alabama,B.1.617.1,0,501
Share Low,Alabama,B.1.617.1,0,501
Share High,Alabama,B.1.617.1,0,501
Share,Alabama,B.1.617.2 (Delta),0,501
Share Low,Alabama,B.1.617.2 (Delta),0,501
Share High,Alabama,B.1.617.2 (Delta),0,501
Share,Alabama,B.1.617.3,0,501
Share Low,Alabama,B.1.617.3,0,501
Share High,Alabama,B.1.617.3,0,501
Share,Alabama,B.1.621 (Mu),0,501
Share Low,Alabama,B.1.621 (Mu),0,501
Share High,Alabama,B.1.621 (Mu),0,501
Share,Alabama,BA.2 (Omicron),0.028654827,501
Share Low,Alabama,BA.2 (Omicron),0.015888950,501
Share High,Alabama,BA.2 (Omicron),0.047319248,501
Share,Alabama,BA.2.12.1 (Omicron),0.214874908,501
Share Low,Alabama,BA.2.12.1 (Omicron),0.179683030,501
Share High,Alabama,BA.2.12.1 (Omicron),0.253470600,501
Share,Alabama,BA.4 (Omicron),0.146207690,501
Share Low,Alabama,BA.4 (Omicron),0.109314248,501
Share High,Alabama,BA.4 (Omicron),0.189825714,501
Share,Alabama,BA.4.6 (Omicron),0.022326594,501
Share Low,Alabama,BA.4.6 (Omicron),0.011272862,501
Share High,Alabama,BA.4.6 (Omicron),0.039414931,501
Share,Alabama,BA.5 (Omicron),0.587935984,501
Share Low,Alabama,BA.5 (Omicron),0.543424070,501
Share High,Alabama,BA.5 (Omicron),0.631404102,501
Share,Alabama,Other,0,501
Share Low,Alabama,Other,0,501
Share High,Alabama,Other,0,501
Share,Alabama,P.1,0,501
Share Low,Alabama,P.1,0,501
Share High,Alabama,P.1,0,501
Share,Alabama,P.2,0,501
Share Low,Alabama,P.2,0,501
Share High,Alabama,P.2,0,501
Share,Alaska,AY.1 (Delta),0,231
Share Low,Alaska,AY.1 (Delta),0,231
Share High,Alaska,AY.1 (Delta),0,231
Share,Alaska,AY.2 (Delta),0,231
Share Low,Alaska,AY.2 (Delta),0,231
Share High,Alaska,AY.2 (Delta),0,231
Share,Alaska,B.1.1.7 (Alpha),0,231
Share Low,Alaska,B.1.1.7 (Alpha),0,231
Share High,Alaska,B.1.1.7 (Alpha),0,231
Share,Alaska,B.1.1.529 (Omicron),0,231
Share Low,Alaska,B.1.1.529 (Omicron),0,231
Share High,Alaska,B.1.1.529 (Omicron),0,231
Share,Alaska,B.1.351,0,231
Share Low,Alaska,B.1.351,0,231
Share High,Alaska,B.1.351,0,231
