Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,895
Share Low,Alabama,AY.1 (Delta),0,895
Share High,Alabama,AY.1 (Delta),0,895
Share,Alabama,AY.2 (Delta),0,895
Share Low,Alabama,AY.2 (Delta),0,895
Share High,Alabama,AY.2 (Delta),0,895
Share,Alabama,B.1.1.7 (Alpha),0,895
Share Low,Alabama,B.1.1.7 (Alpha),0,895
Share High,Alabama,B.1.1.7 (Alpha),0,895
Share,Alabama,B.1.1.529 (Omicron),0.993688822,895
Share Low,Alabama,B.1.1.529 (Omicron),0.986005127,895
Share High,Alabama,B.1.1.529 (Omicron),0.997768462,895
Share,Alabama,B.1.351,0,895
Share Low,Alabama,B.1.351,0,895
Share High,Alabama,B.1.351,0,895
Share,Alabama,B.1.427/429,0,895
Share Low,Alabama,B.1.427/429,0,895
Share High,Alabama,B.1.427/429,0,895
Share,Alabama,B.1.525,0,895
Share Low,Alabama,B.1.525,0,895
Share High,Alabama,B.1.525,0,895
Share,Alabama,B.1.526 (Iota),0,895
Share Low,Alabama,B.1.526 (Iota),0,895
Share High,Alabama,B.1.526 (Iota),0,895
Share,Alabama,B.1.617.1,0,895
Share Low,Alabama,B.1.617.1,0,895
Share High,Alabama,B.1.617.1,0,895
Share,Alabama,B.1.617.2 (Delta),0.003786708,895
Share Low,Alabama,B.1.617.2 (Delta),0.000886830,895
Share High,Alabama,B.1.617.2 (Delta),0.010409564,895
Share,Alabama,B.1.617.3,0,895
Share Low,Alabama,B.1.617.3,0,895
Share High,Alabama,B.1.617.3,0,895
Share,Alabama,B.1.621 (Mu),0,895
Share Low,Alabama,B.1.621 (Mu),0,895
Share High,Alabama,B.1.621 (Mu),0,895
Share,Alabama,BA.2 (Omicron),0.001262236,895
Share Low,Alabama,BA.2 (Omicron),4.586997602e-05,895
Share High,Alabama,BA.2 (Omicron),0.006457957,895
Share,Alabama,Other,0.001262236,895
Share Low,Alabama,Other,4.586997602e-05,895
Share High,Alabama,Other,0.006457957,895
Share,Alabama,P.1,0,895
Share Low,Alabama,P.1,0,895
Share High,Alabama,P.1,0,895
Share,Alabama,P.2,0,895
Share Low,Alabama,P.2,0,895
Share High,Alabama,P.2,0,895
Share,Alaska,AY.1 (Delta),0,771
Share Low,Alaska,AY.1 (Delta),0,771
Share High,Alaska,AY.1 (Delta),0,771
Share,Alaska,AY.2 (Delta),0,771
Share Low,Alaska,AY.2 (Delta),0,771
Share High,Alaska,AY.2 (Delta),0,771
Share,Alaska,B.1.1.7 (Alpha),0,771
Share Low,Alaska,B.1.1.7 (Alpha),0,771
Share High,Alaska,B.1.1.7 (Alpha),0,771
Share,Alaska,B.1.1.529 (Omicron),0.969915628,771
Share Low,Alaska,B.1.1.529 (Omicron),0.955272853,771
Share High,Alaska,B.1.1.529 (Omicron),0.980794728,771
Share,Alaska,B.1.351,0,771
Share Low,Alaska,B.1.351,0,771
Share High,Alaska,B.1.351,0,771
Share,Alaska,B.1.427/429,0,771
Share Low,Alaska,B.1.427/429,0,771
Share High,Alaska,B.1.427/429,0,771
Share,Alaska,B.1.525,0,771
Share Low,Alaska,B.1.525,0,771
Share High,Alaska,B.1.525,0,771
Share,Alaska,B.1.526 (Iota),0,771
Share Low,Alaska,B.1.526 (Iota),0,771
Share High,Alaska,B.1.526 (Iota),0,771
Share,Alaska,B.1.617.1,0,771
Share Low,Alaska,B.1.617.1,0,771
Share High,Alaska,B.1.617.1,0,771
Share,Alaska,B.1.617.2 (Delta),0.005035282,771
Share Low,Alaska,B.1.617.2 (Delta),0.000204028,771
Share High,Alaska,B.1.617.2 (Delta),0.024902524,771
Share,Alaska,B.1.617.3,0,771
Share Low,Alaska,B.1.617.3,0,771
Share High,Alaska,B.1.617.3,0,771
Share,Alaska,B.1.621 (Mu),0,771
Share Low,Alaska,B.1.621 (Mu),0,771
Share High,Alaska,B.1.621 (Mu),0,771
Share,Alaska,BA.2 (Omicron),0.024164485,771
Share Low,Alaska,BA.2 (Omicron),0.014527953,771
Share High,Alaska,BA.2 (Omicron),0.037638258,771
Share,Alaska,Other,0.000884604,771
Share Low,Alaska,Other,5.030211014e-06,771
Share High,Alaska,Other,0.006478071,771
Share,Alaska,P.1,0,771
Share Low,Alaska,P.1,0,771
Share High,Alaska,P.1,0,771
Share,Alaska,P.2,0,771
Share Low,Alaska,P.2,0,771
Share High,Alaska,P.2,0,771
Share,American Samoa,AY.1 (Delta),,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,Other,,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1 (Delta),0,"7,635"
Share Low,Arizona,AY.1 (Delta),0,"7,635"
Share High,Arizona,AY.1 (Delta),0,"7,635"
Share,Arizona,AY.2 (Delta),0,"7,635"
Share Low,Arizona,AY.2 (Delta),0,"7,635"
Share High,Arizona,AY.2 (Delta),0,"7,635"
Share,Arizona,B.1.1.7 (Alpha),0,"7,635"
Share Low,Arizona,B.1.1.7 (Alpha),0,"7,635"
Share High,Arizona,B.1.1.7 (Alpha),0,"7,635"
Share,Arizona,B.1.1.529 (Omicron),0.972458005,"7,635"
Share Low,Arizona,B.1.1.529 (Omicron),0.962467313,"7,635"
Share High,Arizona,B.1.1.529 (Omicron),0.980389357,"7,635"
Share,Arizona,B.1.351,0,"7,635"
Share Low,Arizona,B.1.351,0,"7,635"
Share High,Arizona,B.1.351,0,"7,635"
Share,Arizona,B.1.427/429,0,"7,635"
Share Low,Arizona,B.1.427/429,0,"7,635"
Share High,Arizona,B.1.427/429,0,"7,635"
Share,Arizona,B.1.525,0,"7,635"
Share Low,Arizona,B.1.525,0,"7,635"
Share High,Arizona,B.1.525,0,"7,635"
Share,Arizona,B.1.526 (Iota),0,"7,635"
Share Low,Arizona,B.1.526 (Iota),0,"7,635"
Share High,Arizona,B.1.526 (Iota),0,"7,635"
Share,Arizona,B.1.617.1,0,"7,635"
Share Low,Arizona,B.1.617.1,0,"7,635"
Share High,Arizona,B.1.617.1,0,"7,635"
Share,Arizona,B.1.617.2 (Delta),0.013367916,"7,635"
Share Low,Arizona,B.1.617.2 (Delta),0.010835983,"7,635"
Share High,Arizona,B.1.617.2 (Delta),0.016307216,"7,635"
Share,Arizona,B.1.617.3,0,"7,635"
Share Low,Arizona,B.1.617.3,0,"7,635"
Share High,Arizona,B.1.617.3,0,"7,635"
