Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,31
Share Low,Alabama,AY.1 (Delta),0,31
Share High,Alabama,AY.1 (Delta),0,31
Share,Alabama,AY.2 (Delta),0,31
Share Low,Alabama,AY.2 (Delta),0,31
Share High,Alabama,AY.2 (Delta),0,31
Share,Alabama,B.1.1.7 (Alpha),0,31
Share Low,Alabama,B.1.1.7 (Alpha),0,31
Share High,Alabama,B.1.1.7 (Alpha),0,31
Share,Alabama,B.1.1.529 (Omicron),0.064516127,31
Share Low,Alabama,B.1.1.529 (Omicron),0.003375303,31
Share High,Alabama,B.1.1.529 (Omicron),0.268564850,31
Share,Alabama,B.1.351,0,31
Share Low,Alabama,B.1.351,0,31
Share High,Alabama,B.1.351,0,31
Share,Alabama,B.1.427/429,0,31
Share Low,Alabama,B.1.427/429,0,31
Share High,Alabama,B.1.427/429,0,31
Share,Alabama,B.1.525,0,31
Share Low,Alabama,B.1.525,0,31
Share High,Alabama,B.1.525,0,31
Share,Alabama,B.1.526 (Iota),0,31
Share Low,Alabama,B.1.526 (Iota),0,31
Share High,Alabama,B.1.526 (Iota),0,31
Share,Alabama,B.1.617.1,0,31
Share Low,Alabama,B.1.617.1,0,31
Share High,Alabama,B.1.617.1,0,31
Share,Alabama,B.1.617.2 (Delta),0,31
Share Low,Alabama,B.1.617.2 (Delta),0,31
Share High,Alabama,B.1.617.2 (Delta),0,31
Share,Alabama,B.1.617.3,0,31
Share Low,Alabama,B.1.617.3,0,31
Share High,Alabama,B.1.617.3,0,31
Share,Alabama,B.1.621 (Mu),0,31
Share Low,Alabama,B.1.621 (Mu),0,31
Share High,Alabama,B.1.621 (Mu),0,31
Share,Alabama,BA.2 (Omicron),0.774193525,31
Share Low,Alabama,BA.2 (Omicron),0.251286685,31
Share High,Alabama,BA.2 (Omicron),0.992865443,31
Share,Alabama,BA.2.12.1 (Omicron),0.161290318,31
Share Low,Alabama,BA.2.12.1 (Omicron),0.006406505,31
Share High,Alabama,BA.2.12.1 (Omicron),0.589902639,31
Share,Alabama,Other,0,31
Share Low,Alabama,Other,0,31
Share High,Alabama,Other,0,31
Share,Alabama,P.1,0,31
Share Low,Alabama,P.1,0,31
Share High,Alabama,P.1,0,31
Share,Alabama,P.2,0,31
Share Low,Alabama,P.2,0,31
Share High,Alabama,P.2,0,31
