Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,465
Share Low,Alabama,AY.1 (Delta),0,465
Share High,Alabama,AY.1 (Delta),0,465
Share,Alabama,AY.2 (Delta),0,465
Share Low,Alabama,AY.2 (Delta),0,465
Share High,Alabama,AY.2 (Delta),0,465
Share,Alabama,B.1.1.7 (Alpha),0,465
Share Low,Alabama,B.1.1.7 (Alpha),0,465
Share High,Alabama,B.1.1.7 (Alpha),0,465
Share,Alabama,B.1.1.529 (Omicron),0,465
Share Low,Alabama,B.1.1.529 (Omicron),0,465
Share High,Alabama,B.1.1.529 (Omicron),0,465
Share,Alabama,B.1.351,0,465
Share Low,Alabama,B.1.351,0,465
Share High,Alabama,B.1.351,0,465
Share,Alabama,B.1.427/429 (Epsilon),0,465
Share Low,Alabama,B.1.427/429 (Epsilon),0,465
Share High,Alabama,B.1.427/429 (Epsilon),0,465
Share,Alabama,B.1.525,0,465
Share Low,Alabama,B.1.525,0,465
Share High,Alabama,B.1.525,0,465
Share,Alabama,B.1.526 (Iota),0,465
Share Low,Alabama,B.1.526 (Iota),0,465
Share High,Alabama,B.1.526 (Iota),0,465
Share,Alabama,B.1.617.1,0,465
Share Low,Alabama,B.1.617.1,0,465
Share High,Alabama,B.1.617.1,0,465
Share,Alabama,B.1.617.2 (Delta),0,465
Share Low,Alabama,B.1.617.2 (Delta),0,465
Share High,Alabama,B.1.617.2 (Delta),0,465
Share,Alabama,B.1.617.3,0,465
Share Low,Alabama,B.1.617.3,0,465
Share High,Alabama,B.1.617.3,0,465
Share,Alabama,B.1.621 (Mu),0,465
Share Low,Alabama,B.1.621 (Mu),0,465
Share High,Alabama,B.1.621 (Mu),0,465
Share,Alabama,BA.2 (Omicron),0.006311815,465
Share Low,Alabama,BA.2 (Omicron),0.001272474,465
Share High,Alabama,BA.2 (Omicron),0.018529158,465
Share,Alabama,BA.2.12.1 (Omicron),0,465
Share Low,Alabama,BA.2.12.1 (Omicron),0,465
Share High,Alabama,BA.2.12.1 (Omicron),0,465
Share,Alabama,BA.2.75 (Omicron),0,465
Share Low,Alabama,BA.2.75 (Omicron),0,465
Share High,Alabama,BA.2.75 (Omicron),0,465
Share,Alabama,BA.4 (Omicron),0.052711051,465
Share Low,Alabama,BA.4 (Omicron),0.011279565,465
Share High,Alabama,BA.4 (Omicron),0.144928411,465
Share,Alabama,BA.4.6 (Omicron),0.099854447,465
Share Low,Alabama,BA.4.6 (Omicron),0.053325210,465
Share High,Alabama,BA.4.6 (Omicron),0.166576579,465
Share,Alabama,BA.5 (Omicron),0.831132650,465
Share Low,Alabama,BA.5 (Omicron),0.712164462,465
Share High,Alabama,BA.5 (Omicron),0.915498435,465
Share,Alabama,BF.7 (Omicron),0.009990019,465
Share Low,Alabama,BF.7 (Omicron),0.002860409,465
Share High,Alabama,BF.7 (Omicron),0.024780611,465
Share,Alabama,Other,0,465
Share Low,Alabama,Other,0,465
Share High,Alabama,Other,0,465
Share,Alabama,P.1,0,465
Share Low,Alabama,P.1,0,465
Share High,Alabama,P.1,0,465
Share,Alabama,P.2,0,465
Share Low,Alabama,P.2,0,465
Share High,Alabama,P.2,0,465
Share,Alaska,AY.1 (Delta),0,86
Share Low,Alaska,AY.1 (Delta),0,86
Share High,Alaska,AY.1 (Delta),0,86
Share,Alaska,AY.2 (Delta),0,86
Share Low,Alaska,AY.2 (Delta),0,86
Share High,Alaska,AY.2 (Delta),0,86
Share,Alaska,B.1.1.7 (Alpha),0,86
Share Low,Alaska,B.1.1.7 (Alpha),0,86
Share High,Alaska,B.1.1.7 (Alpha),0,86
Share,Alaska,B.1.1.529 (Omicron),0,86
Share Low,Alaska,B.1.1.529 (Omicron),0,86
Share High,Alaska,B.1.1.529 (Omicron),0,86
Share,Alaska,B.1.351,0,86
Share Low,Alaska,B.1.351,0,86
Share High,Alaska,B.1.351,0,86
Share,Alaska,B.1.427/429 (Epsilon),0,86
Share Low,Alaska,B.1.427/429 (Epsilon),0,86
Share High,Alaska,B.1.427/429 (Epsilon),0,86
Share,Alaska,B.1.525,0,86
Share Low,Alaska,B.1.525,0,86
Share High,Alaska,B.1.525,0,86
Share,Alaska,B.1.526 (Iota),0,86
Share Low,Alaska,B.1.526 (Iota),0,86
Share High,Alaska,B.1.526 (Iota),0,86
Share,Alaska,B.1.617.1,0,86
Share Low,Alaska,B.1.617.1,0,86
Share High,Alaska,B.1.617.1,0,86
Share,Alaska,B.1.617.2 (Delta),0,86
Share Low,Alaska,B.1.617.2 (Delta),0,86
Share High,Alaska,B.1.617.2 (Delta),0,86
Share,Alaska,B.1.617.3,0,86
Share Low,Alaska,B.1.617.3,0,86
Share High,Alaska,B.1.617.3,0,86
Share,Alaska,B.1.621 (Mu),0,86
Share Low,Alaska,B.1.621 (Mu),0,86
Share High,Alaska,B.1.621 (Mu),0,86
Share,Alaska,BA.2 (Omicron),0,86
Share Low,Alaska,BA.2 (Omicron),0,86
Share High,Alaska,BA.2 (Omicron),0,86
Share,Alaska,BA.2.12.1 (Omicron),0.007230235,86
Share Low,Alaska,BA.2.12.1 (Omicron),1.579351476e-07,86
Share High,Alaska,BA.2.12.1 (Omicron),0.093491025,86
Share,Alaska,BA.2.75 (Omicron),0,86
Share Low,Alaska,BA.2.75 (Omicron),0,86
Share High,Alaska,BA.2.75 (Omicron),0,86
Share,Alaska,BA.4 (Omicron),0,86
Share Low,Alaska,BA.4 (Omicron),0,86
Share High,Alaska,BA.4 (Omicron),0,86
Share,Alaska,BA.4.6 (Omicron),0.079703934,86
Share Low,Alaska,BA.4.6 (Omicron),0.027249318,86
Share High,Alaska,BA.4.6 (Omicron),0.173437998,86
Share,Alaska,BA.5 (Omicron),0.913065851,86
Share Low,Alaska,BA.5 (Omicron),0.774377108,86
