Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,659
Share Low,Alabama,AY.1 (Delta),0,659
Share High,Alabama,AY.1 (Delta),0,659
Share,Alabama,AY.2 (Delta),0,659
Share Low,Alabama,AY.2 (Delta),0,659
Share High,Alabama,AY.2 (Delta),0,659
Share,Alabama,B.1.1.7 (Alpha),0,659
Share Low,Alabama,B.1.1.7 (Alpha),0,659
Share High,Alabama,B.1.1.7 (Alpha),0,659
Share,Alabama,B.1.1.529 (Omicron),0.760715902,659
Share Low,Alabama,B.1.1.529 (Omicron),0.436418772,659
Share High,Alabama,B.1.1.529 (Omicron),0.950948060,659
Share,Alabama,B.1.351,0,659
Share Low,Alabama,B.1.351,0,659
Share High,Alabama,B.1.351,0,659
Share,Alabama,B.1.427/429,0,659
Share Low,Alabama,B.1.427/429,0,659
Share High,Alabama,B.1.427/429,0,659
Share,Alabama,B.1.525,0,659
Share Low,Alabama,B.1.525,0,659
Share High,Alabama,B.1.525,0,659
Share,Alabama,B.1.526 (Iota),0,659
Share Low,Alabama,B.1.526 (Iota),0,659
Share High,Alabama,B.1.526 (Iota),0,659
Share,Alabama,B.1.617.1,0,659
Share Low,Alabama,B.1.617.1,0,659
Share High,Alabama,B.1.617.1,0,659
Share,Alabama,B.1.617.2 (Delta),0.233677775,659
Share Low,Alabama,B.1.617.2 (Delta),0.043427140,659
Share High,Alabama,B.1.617.2 (Delta),0.568349004,659
Share,Alabama,B.1.617.3,0,659
Share Low,Alabama,B.1.617.3,0,659
Share High,Alabama,B.1.617.3,0,659
Share,Alabama,B.1.621 (Mu),0,659
Share Low,Alabama,B.1.621 (Mu),0,659
Share High,Alabama,B.1.621 (Mu),0,659
Share,Alabama,Other,0.005606341,659
Share Low,Alabama,Other,0.001425626,659
Share High,Alabama,Other,0.014797864,659
Share,Alabama,P.1,0,659
Share Low,Alabama,P.1,0,659
Share High,Alabama,P.1,0,659
Share,Alabama,P.2,0,659
Share Low,Alabama,P.2,0,659
Share High,Alabama,P.2,0,659
Share,Alaska,AY.1 (Delta),0,219
Share Low,Alaska,AY.1 (Delta),0,219
Share High,Alaska,AY.1 (Delta),0,219
Share,Alaska,AY.2 (Delta),0,219
Share Low,Alaska,AY.2 (Delta),0,219
Share High,Alaska,AY.2 (Delta),0,219
Share,Alaska,B.1.1.7 (Alpha),0,219
Share Low,Alaska,B.1.1.7 (Alpha),0,219
Share High,Alaska,B.1.1.7 (Alpha),0,219
