Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,59
Share Low,Alabama,AY.1 (Delta),0,59
Share High,Alabama,AY.1 (Delta),0,59
Share,Alabama,AY.2 (Delta),0,59
Share Low,Alabama,AY.2 (Delta),0,59
Share High,Alabama,AY.2 (Delta),0,59
Share,Alabama,B.1.1.7 (Alpha),0,59
Share Low,Alabama,B.1.1.7 (Alpha),0,59
Share High,Alabama,B.1.1.7 (Alpha),0,59
Share,Alabama,B.1.1.529 (Omicron),0.023647888,59
Share Low,Alabama,B.1.1.529 (Omicron),0.000966843,59
Share High,Alabama,B.1.1.529 (Omicron),0.112490110,59
Share,Alabama,B.1.351,0,59
Share Low,Alabama,B.1.351,0,59
Share High,Alabama,B.1.351,0,59
Share,Alabama,B.1.427/429,0,59
Share Low,Alabama,B.1.427/429,0,59
Share High,Alabama,B.1.427/429,0,59
Share,Alabama,B.1.525,0,59
Share Low,Alabama,B.1.525,0,59
Share High,Alabama,B.1.525,0,59
Share,Alabama,B.1.526 (Iota),0,59
Share Low,Alabama,B.1.526 (Iota),0,59
Share High,Alabama,B.1.526 (Iota),0,59
Share,Alabama,B.1.617.1,0,59
Share Low,Alabama,B.1.617.1,0,59
Share High,Alabama,B.1.617.1,0,59
Share,Alabama,B.1.617.2 (Delta),0,59
Share Low,Alabama,B.1.617.2 (Delta),0,59
Share High,Alabama,B.1.617.2 (Delta),0,59
Share,Alabama,B.1.617.3,0,59
Share Low,Alabama,B.1.617.3,0,59
Share High,Alabama,B.1.617.3,0,59
Share,Alabama,B.1.621 (Mu),0,59
Share Low,Alabama,B.1.621 (Mu),0,59
Share High,Alabama,B.1.621 (Mu),0,59
Share,Alabama,BA.2 (Omicron),0.659404397,59
Share Low,Alabama,BA.2 (Omicron),0.492037863,59
Share High,Alabama,BA.2 (Omicron),0.801994145,59
Share,Alabama,BA.2.12.1 (Omicron),0.316947728,59
Share Low,Alabama,BA.2.12.1 (Omicron),0.193606958,59
Share High,Alabama,BA.2.12.1 (Omicron),0.462493330,59
Share,Alabama,Other,0,59
Share Low,Alabama,Other,0,59
Share High,Alabama,Other,0,59
Share,Alabama,P.1,0,59
Share Low,Alabama,P.1,0,59
Share High,Alabama,P.1,0,59
Share,Alabama,P.2,0,59
Share Low,Alabama,P.2,0,59
Share High,Alabama,P.2,0,59
Share,Alaska,AY.1 (Delta),0,134
Share Low,Alaska,AY.1 (Delta),0,134
Share High,Alaska,AY.1 (Delta),0,134
Share,Alaska,AY.2 (Delta),0,134
Share Low,Alaska,AY.2 (Delta),0,134
Share High,Alaska,AY.2 (Delta),0,134
Share,Alaska,B.1.1.7 (Alpha),0,134
Share Low,Alaska,B.1.1.7 (Alpha),0,134
Share High,Alaska,B.1.1.7 (Alpha),0,134
Share,Alaska,B.1.1.529 (Omicron),0.025512919,134
Share Low,Alaska,B.1.1.529 (Omicron),0.001747150,134
Share High,Alaska,B.1.1.529 (Omicron),0.106198668,134
Share,Alaska,B.1.351,0,134
Share Low,Alaska,B.1.351,0,134
Share High,Alaska,B.1.351,0,134
Share,Alaska,B.1.427/429,0,134
Share Low,Alaska,B.1.427/429,0,134
Share High,Alaska,B.1.427/429,0,134
Share,Alaska,B.1.525,0,134
Share Low,Alaska,B.1.525,0,134
Share High,Alaska,B.1.525,0,134
Share,Alaska,B.1.526 (Iota),0,134
Share Low,Alaska,B.1.526 (Iota),0,134
Share High,Alaska,B.1.526 (Iota),0,134
Share,Alaska,B.1.617.1,0,134
Share Low,Alaska,B.1.617.1,0,134
Share High,Alaska,B.1.617.1,0,134
Share,Alaska,B.1.617.2 (Delta),0,134
Share Low,Alaska,B.1.617.2 (Delta),0,134
Share High,Alaska,B.1.617.2 (Delta),0,134
Share,Alaska,B.1.617.3,0,134
Share Low,Alaska,B.1.617.3,0,134
Share High,Alaska,B.1.617.3,0,134
Share,Alaska,B.1.621 (Mu),0,134
Share Low,Alaska,B.1.621 (Mu),0,134
Share High,Alaska,B.1.621 (Mu),0,134
Share,Alaska,BA.2 (Omicron),0.895585716,134
Share Low,Alaska,BA.2 (Omicron),0.805389404,134
Share High,Alaska,BA.2 (Omicron),0.953502715,134
Share,Alaska,BA.2.12.1 (Omicron),0.078901388,134
Share Low,Alaska,BA.2.12.1 (Omicron),0.011836168,134
Share High,Alaska,BA.2.12.1 (Omicron),0.241334349,134
Share,Alaska,Other,0,134
Share Low,Alaska,Other,0,134
Share High,Alaska,Other,0,134
Share,Alaska,P.1,0,134
Share Low,Alaska,P.1,0,134
Share High,Alaska,P.1,0,134
Share,Alaska,P.2,0,134
Share Low,Alaska,P.2,0,134
Share High,Alaska,P.2,0,134
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,0,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,BA.2.12.1 (Omicron),0,0
Share Low,American Samoa,BA.2.12.1 (Omicron),0,0
Share High,American Samoa,BA.2.12.1 (Omicron),0,0
Share,American Samoa,Other,0,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,0,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,0,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1 (Delta),0,"1,088"
Share Low,Arizona,AY.1 (Delta),0,"1,088"
Share High,Arizona,AY.1 (Delta),0,"1,088"
Share,Arizona,AY.2 (Delta),0,"1,088"
Share Low,Arizona,AY.2 (Delta),0,"1,088"
Share High,Arizona,AY.2 (Delta),0,"1,088"
Share,Arizona,B.1.1.7 (Alpha),0,"1,088"
Share Low,Arizona,B.1.1.7 (Alpha),0,"1,088"
Share High,Arizona,B.1.1.7 (Alpha),0,"1,088"
Share,Arizona,B.1.1.529 (Omicron),0.024928248,"1,088"
Share Low,Arizona,B.1.1.529 (Omicron),0.009682264,"1,088"
Share High,Arizona,B.1.1.529 (Omicron),0.051911715,"1,088"
Share,Arizona,B.1.351,0,"1,088"
Share Low,Arizona,B.1.351,0,"1,088"
Share High,Arizona,B.1.351,0,"1,088"
Share,Arizona,B.1.427/429,0,"1,088"
Share Low,Arizona,B.1.427/429,0,"1,088"
Share High,Arizona,B.1.427/429,0,"1,088"
Share,Arizona,B.1.525,0,"1,088"
Share Low,Arizona,B.1.525,0,"1,088"
Share High,Arizona,B.1.525,0,"1,088"
Share,Arizona,B.1.526 (Iota),0,"1,088"
Share Low,Arizona,B.1.526 (Iota),0,"1,088"
Share High,Arizona,B.1.526 (Iota),0,"1,088"
Share,Arizona,B.1.617.1,0,"1,088"
Share Low,Arizona,B.1.617.1,0,"1,088"
Share High,Arizona,B.1.617.1,0,"1,088"
Share,Arizona,B.1.617.2 (Delta),0,"1,088"
Share Low,Arizona,B.1.617.2 (Delta),0,"1,088"
Share High,Arizona,B.1.617.2 (Delta),0,"1,088"
Share,Arizona,B.1.617.3,0,"1,088"
Share Low,Arizona,B.1.617.3,0,"1,088"
