Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,304
Share Low,Alabama,AY.1 (Delta),0,304
Share High,Alabama,AY.1 (Delta),0,304
Share,Alabama,AY.2 (Delta),0,304
Share Low,Alabama,AY.2 (Delta),0,304
Share High,Alabama,AY.2 (Delta),0,304
Share,Alabama,B.1.1.7 (Alpha),0,304
Share Low,Alabama,B.1.1.7 (Alpha),0,304
Share High,Alabama,B.1.1.7 (Alpha),0,304
Share,Alabama,B.1.1.529 (Omicron),0.943755329,304
Share Low,Alabama,B.1.1.529 (Omicron),0.847685993,304
Share High,Alabama,B.1.1.529 (Omicron),0.987606585,304
Share,Alabama,B.1.351,0,304
Share Low,Alabama,B.1.351,0,304
Share High,Alabama,B.1.351,0,304
Share,Alabama,B.1.427/429,0,304
Share Low,Alabama,B.1.427/429,0,304
Share High,Alabama,B.1.427/429,0,304
Share,Alabama,B.1.525,0,304
Share Low,Alabama,B.1.525,0,304
Share High,Alabama,B.1.525,0,304
Share,Alabama,B.1.526 (Iota),0,304
Share Low,Alabama,B.1.526 (Iota),0,304
Share High,Alabama,B.1.526 (Iota),0,304
Share,Alabama,B.1.617.1,0,304
Share Low,Alabama,B.1.617.1,0,304
Share High,Alabama,B.1.617.1,0,304
Share,Alabama,B.1.617.2 (Delta),0.002877716,304
Share Low,Alabama,B.1.617.2 (Delta),4.626960435e-05,304
Share High,Alabama,B.1.617.2 (Delta),0.017478893,304
Share,Alabama,B.1.617.3,0,304
Share Low,Alabama,B.1.617.3,0,304
Share High,Alabama,B.1.617.3,0,304
Share,Alabama,B.1.621 (Mu),0,304
Share Low,Alabama,B.1.621 (Mu),0,304
Share High,Alabama,B.1.621 (Mu),0,304
Share,Alabama,BA.2 (Omicron),0.053366974,304
Share Low,Alabama,BA.2 (Omicron),0.012111864,304
Share High,Alabama,BA.2 (Omicron),0.143066376,304
Share,Alabama,Other,0,304
Share Low,Alabama,Other,0,304
Share High,Alabama,Other,0,304
Share,Alabama,P.1,0,304
Share Low,Alabama,P.1,0,304
Share High,Alabama,P.1,0,304
Share,Alabama,P.2,0,304
Share Low,Alabama,P.2,0,304
Share High,Alabama,P.2,0,304
Share,Alaska,AY.1 (Delta),0,478
Share Low,Alaska,AY.1 (Delta),0,478
Share High,Alaska,AY.1 (Delta),0,478
Share,Alaska,AY.2 (Delta),0,478
Share Low,Alaska,AY.2 (Delta),0,478
Share High,Alaska,AY.2 (Delta),0,478
Share,Alaska,B.1.1.7 (Alpha),0,478
Share Low,Alaska,B.1.1.7 (Alpha),0,478
Share High,Alaska,B.1.1.7 (Alpha),0,478
Share,Alaska,B.1.1.529 (Omicron),0.586625993,478
Share Low,Alaska,B.1.1.529 (Omicron),0.500296235,478
Share High,Alaska,B.1.1.529 (Omicron),0.669204175,478
Share,Alaska,B.1.351,0,478
Share Low,Alaska,B.1.351,0,478
Share High,Alaska,B.1.351,0,478
Share,Alaska,B.1.427/429,0,478
Share Low,Alaska,B.1.427/429,0,478
Share High,Alaska,B.1.427/429,0,478
Share,Alaska,B.1.525,0,478
Share Low,Alaska,B.1.525,0,478
Share High,Alaska,B.1.525,0,478
Share,Alaska,B.1.526 (Iota),0,478
Share Low,Alaska,B.1.526 (Iota),0,478
Share High,Alaska,B.1.526 (Iota),0,478
Share,Alaska,B.1.617.1,0,478
Share Low,Alaska,B.1.617.1,0,478
Share High,Alaska,B.1.617.1,0,478
Share,Alaska,B.1.617.2 (Delta),0,478
Share Low,Alaska,B.1.617.2 (Delta),0,478
Share High,Alaska,B.1.617.2 (Delta),0,478
Share,Alaska,B.1.617.3,0,478
Share Low,Alaska,B.1.617.3,0,478
Share High,Alaska,B.1.617.3,0,478
Share,Alaska,B.1.621 (Mu),0,478
Share Low,Alaska,B.1.621 (Mu),0,478
Share High,Alaska,B.1.621 (Mu),0,478
Share,Alaska,BA.2 (Omicron),0.413374037,478
Share Low,Alaska,BA.2 (Omicron),0.330795795,478
Share High,Alaska,BA.2 (Omicron),0.499703765,478
Share,Alaska,Other,0,478
Share Low,Alaska,Other,0,478
Share High,Alaska,Other,0,478
Share,Alaska,P.1,0,478
Share Low,Alaska,P.1,0,478
Share High,Alaska,P.1,0,478
Share,Alaska,P.2,0,478
Share Low,Alaska,P.2,0,478
Share High,Alaska,P.2,0,478
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,0,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,Other,0,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,0,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,0,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1 (Delta),0,"2,027"
Share Low,Arizona,AY.1 (Delta),0,"2,027"
Share High,Arizona,AY.1 (Delta),0,"2,027"
Share,Arizona,AY.2 (Delta),0,"2,027"
Share Low,Arizona,AY.2 (Delta),0,"2,027"
Share High,Arizona,AY.2 (Delta),0,"2,027"
Share,Arizona,B.1.1.7 (Alpha),0,"2,027"
Share Low,Arizona,B.1.1.7 (Alpha),0,"2,027"
Share High,Arizona,B.1.1.7 (Alpha),0,"2,027"
Share,Arizona,B.1.1.529 (Omicron),0.918703020,"2,027"
Share Low,Arizona,B.1.1.529 (Omicron),0.902135670,"2,027"
Share High,Arizona,B.1.1.529 (Omicron),0.933263958,"2,027"
Share,Arizona,B.1.351,0,"2,027"
Share Low,Arizona,B.1.351,0,"2,027"
Share High,Arizona,B.1.351,0,"2,027"
Share,Arizona,B.1.427/429,0,"2,027"
Share Low,Arizona,B.1.427/429,0,"2,027"
Share High,Arizona,B.1.427/429,0,"2,027"
Share,Arizona,B.1.525,0,"2,027"
Share Low,Arizona,B.1.525,0,"2,027"
Share High,Arizona,B.1.525,0,"2,027"
Share,Arizona,B.1.526 (Iota),0,"2,027"
Share Low,Arizona,B.1.526 (Iota),0,"2,027"
Share High,Arizona,B.1.526 (Iota),0,"2,027"
Share,Arizona,B.1.617.1,0,"2,027"
Share Low,Arizona,B.1.617.1,0,"2,027"
Share High,Arizona,B.1.617.1,0,"2,027"
Share,Arizona,B.1.617.2 (Delta),0.002461344,"2,027"
Share Low,Arizona,B.1.617.2 (Delta),0.000152809,"2,027"
Share High,Arizona,B.1.617.2 (Delta),0.010939547,"2,027"
Share,Arizona,B.1.617.3,0,"2,027"
Share Low,Arizona,B.1.617.3,0,"2,027"
Share High,Arizona,B.1.617.3,0,"2,027"
Share,Arizona,B.1.621 (Mu),0,"2,027"
Share Low,Arizona,B.1.621 (Mu),0,"2,027"
Share High,Arizona,B.1.621 (Mu),0,"2,027"
Share,Arizona,BA.2 (Omicron),0.078835651,"2,027"
Share Low,Arizona,BA.2 (Omicron),0.062143303,"2,027"
Share High,Arizona,BA.2 (Omicron),0.098319493,"2,027"
Share,Arizona,Other,0,"2,027"
Share Low,Arizona,Other,0,"2,027"
Share High,Arizona,Other,0,"2,027"
Share,Arizona,P.1,0,"2,027"
Share Low,Arizona,P.1,0,"2,027"
Share High,Arizona,P.1,0,"2,027"
Share,Arizona,P.2,0,"2,027"
Share Low,Arizona,P.2,0,"2,027"
Share High,Arizona,P.2,0,"2,027"
Share,Arkansas,AY.1 (Delta),0,169
Share Low,Arkansas,AY.1 (Delta),0,169
Share High,Arkansas,AY.1 (Delta),0,169
Share,Arkansas,AY.2 (Delta),0,169
Share Low,Arkansas,AY.2 (Delta),0,169
Share High,Arkansas,AY.2 (Delta),0,169
Share,Arkansas,B.1.1.7 (Alpha),0,169
Share Low,Arkansas,B.1.1.7 (Alpha),0,169
Share High,Arkansas,B.1.1.7 (Alpha),0,169
Share,Arkansas,B.1.1.529 (Omicron),0.977459669,169
Share Low,Arkansas,B.1.1.529 (Omicron),0.903886557,169
Share High,Arkansas,B.1.1.529 (Omicron),0.998561680,169
Share,Arkansas,B.1.351,0,169
Share Low,Arkansas,B.1.351,0,169
Share High,Arkansas,B.1.351,0,169
Share,Arkansas,B.1.427/429,0,169
Share Low,Arkansas,B.1.427/429,0,169
Share High,Arkansas,B.1.427/429,0,169
Share,Arkansas,B.1.525,0,169
Share Low,Arkansas,B.1.525,0,169
Share High,Arkansas,B.1.525,0,169
Share,Arkansas,B.1.526 (Iota),0,169
Share Low,Arkansas,B.1.526 (Iota),0,169
Share High,Arkansas,B.1.526 (Iota),0,169
Share,Arkansas,B.1.617.1,0,169
Share Low,Arkansas,B.1.617.1,0,169
Share High,Arkansas,B.1.617.1,0,169
Share,Arkansas,B.1.617.2 (Delta),0,169
Share Low,Arkansas,B.1.617.2 (Delta),0,169
Share High,Arkansas,B.1.617.2 (Delta),0,169
Share,Arkansas,B.1.617.3,0,169
Share Low,Arkansas,B.1.617.3,0,169
Share High,Arkansas,B.1.617.3,0,169
Share,Arkansas,B.1.621 (Mu),0,169
Share Low,Arkansas,B.1.621 (Mu),0,169
Share High,Arkansas,B.1.621 (Mu),0,169
Share,Arkansas,BA.2 (Omicron),0.022540320,169
Share Low,Arkansas,BA.2 (Omicron),0.001438291,169
Share High,Arkansas,BA.2 (Omicron),0.096113443,169
Share,Arkansas,Other,0,169
Share Low,Arkansas,Other,0,169
Share High,Arkansas,Other,0,169
Share,Arkansas,P.1,0,169
Share Low,Arkansas,P.1,0,169
Share High,Arkansas,P.1,0,169
Share,Arkansas,P.2,0,169
Share Low,Arkansas,P.2,0,169
Share High,Arkansas,P.2,0,169
Share,California,AY.1 (Delta),0,"15,202"
Share Low,California,AY.1 (Delta),0,"15,202"
Share High,California,AY.1 (Delta),0,"15,202"
Share,California,AY.2 (Delta),0,"15,202"
Share Low,California,AY.2 (Delta),0,"15,202"
Share High,California,AY.2 (Delta),0,"15,202"
Share,California,B.1.1.7 (Alpha),0,"15,202"
Share Low,California,B.1.1.7 (Alpha),0,"15,202"
Share High,California,B.1.1.7 (Alpha),0,"15,202"
Share,California,B.1.1.529 (Omicron),0.896243215,"15,202"
Share Low,California,B.1.1.529 (Omicron),0.839205027,"15,202"
Share High,California,B.1.1.529 (Omicron),0.938316464,"15,202"
Share,California,B.1.351,0,"15,202"
Share Low,California,B.1.351,0,"15,202"
Share High,California,B.1.351,0,"15,202"
Share,California,B.1.427/429,0,"15,202"
Share Low,California,B.1.427/429,0,"15,202"
Share High,California,B.1.427/429,0,"15,202"
Share,California,B.1.525,0,"15,202"
Share Low,California,B.1.525,0,"15,202"
Share High,California,B.1.525,0,"15,202"
Share,California,B.1.526 (Iota),0,"15,202"
Share Low,California,B.1.526 (Iota),0,"15,202"
Share High,California,B.1.526 (Iota),0,"15,202"
Share,California,B.1.617.1,0,"15,202"
Share Low,California,B.1.617.1,0,"15,202"
Share High,California,B.1.617.1,0,"15,202"
Share,California,B.1.617.2 (Delta),0.000601871,"15,202"
Share Low,California,B.1.617.2 (Delta),0.000148062,"15,202"
Share High,California,B.1.617.2 (Delta),0.001620148,"15,202"
Share,California,B.1.617.3,0,"15,202"
Share Low,California,B.1.617.3,0,"15,202"
Share High,California,B.1.617.3,0,"15,202"
Share,California,B.1.621 (Mu),0,"15,202"
Share Low,California,B.1.621 (Mu),0,"15,202"
Share High,California,B.1.621 (Mu),0,"15,202"
Share,California,BA.2 (Omicron),0.102857798,"15,202"
Share Low,California,BA.2 (Omicron),0.061343238,"15,202"
Share High,California,BA.2 (Omicron),0.159072161,"15,202"
Share,California,Other,0.000297097,"15,202"
Share Low,California,Other,2.915747427e-05,"15,202"
Share High,California,Other,0.001152938,"15,202"
Share,California,P.1,0,"15,202"
Share Low,California,P.1,0,"15,202"
Share High,California,P.1,0,"15,202"
Share,California,P.2,0,"15,202"
Share Low,California,P.2,0,"15,202"
Share High,California,P.2,0,"15,202"
