Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,400
Share Low,Alabama,AY.1 (Delta),0,400
Share High,Alabama,AY.1 (Delta),0,400
Share,Alabama,AY.2 (Delta),0,400
Share Low,Alabama,AY.2 (Delta),0,400
Share High,Alabama,AY.2 (Delta),0,400
Share,Alabama,B.1.1.7 (Alpha),0,400
Share Low,Alabama,B.1.1.7 (Alpha),0,400
Share High,Alabama,B.1.1.7 (Alpha),0,400
Share,Alabama,B.1.1.529 (Omicron),0,400
Share Low,Alabama,B.1.1.529 (Omicron),0,400
Share High,Alabama,B.1.1.529 (Omicron),0,400
Share,Alabama,B.1.351,0,400
Share Low,Alabama,B.1.351,0,400
Share High,Alabama,B.1.351,0,400
Share,Alabama,B.1.427/429 (Epsilon),0,400
Share Low,Alabama,B.1.427/429 (Epsilon),0,400
Share High,Alabama,B.1.427/429 (Epsilon),0,400
Share,Alabama,B.1.525,0,400
Share Low,Alabama,B.1.525,0,400
Share High,Alabama,B.1.525,0,400
Share,Alabama,B.1.526 (Iota),0,400
Share Low,Alabama,B.1.526 (Iota),0,400
Share High,Alabama,B.1.526 (Iota),0,400
Share,Alabama,B.1.617.1,0,400
Share Low,Alabama,B.1.617.1,0,400
Share High,Alabama,B.1.617.1,0,400
Share,Alabama,B.1.617.2 (Delta),0,400
Share Low,Alabama,B.1.617.2 (Delta),0,400
Share High,Alabama,B.1.617.2 (Delta),0,400
Share,Alabama,B.1.617.3,0,400
Share Low,Alabama,B.1.617.3,0,400
Share High,Alabama,B.1.617.3,0,400
Share,Alabama,B.1.621 (Mu),0,400
Share Low,Alabama,B.1.621 (Mu),0,400
Share High,Alabama,B.1.621 (Mu),0,400
Share,Alabama,BA.2 (Omicron),0.002500000,400
Share Low,Alabama,BA.2 (Omicron),2.552643430e-09,400
Share High,Alabama,BA.2 (Omicron),0.041216992,400
Share,Alabama,BA.2.12.1 (Omicron),0.017500000,400
Share Low,Alabama,BA.2.12.1 (Omicron),0.007064128,400
Share High,Alabama,BA.2.12.1 (Omicron),0.035722874,400
Share,Alabama,BA.4 (Omicron),0.102499999,400
Share Low,Alabama,BA.4 (Omicron),0.074564695,400
Share High,Alabama,BA.4 (Omicron),0.136478126,400
Share,Alabama,BA.4.6 (Omicron),0.055000000,400
Share Low,Alabama,BA.4.6 (Omicron),0.034785479,400
Share High,Alabama,BA.4.6 (Omicron),0.082089238,400
Share,Alabama,BA.5 (Omicron),0.822499990,400
Share Low,Alabama,BA.5 (Omicron),0.781458855,400
Share High,Alabama,BA.5 (Omicron),0.858689189,400
Share,Alabama,Other,0,400
Share Low,Alabama,Other,0,400
Share High,Alabama,Other,0,400
Share,Alabama,P.1,0,400
Share Low,Alabama,P.1,0,400
Share High,Alabama,P.1,0,400
Share,Alabama,P.2,0,400
Share Low,Alabama,P.2,0,400
Share High,Alabama,P.2,0,400
Share,Alaska,AY.1 (Delta),0,330
Share Low,Alaska,AY.1 (Delta),0,330
Share High,Alaska,AY.1 (Delta),0,330
Share,Alaska,AY.2 (Delta),0,330
Share Low,Alaska,AY.2 (Delta),0,330
Share High,Alaska,AY.2 (Delta),0,330
Share,Alaska,B.1.1.7 (Alpha),0,330
Share Low,Alaska,B.1.1.7 (Alpha),0,330
Share High,Alaska,B.1.1.7 (Alpha),0,330
Share,Alaska,B.1.1.529 (Omicron),0,330
Share Low,Alaska,B.1.1.529 (Omicron),0,330
Share High,Alaska,B.1.1.529 (Omicron),0,330
Share,Alaska,B.1.351,0,330
Share Low,Alaska,B.1.351,0,330
Share High,Alaska,B.1.351,0,330
Share,Alaska,B.1.427/429 (Epsilon),0,330
Share Low,Alaska,B.1.427/429 (Epsilon),0,330
Share High,Alaska,B.1.427/429 (Epsilon),0,330
Share,Alaska,B.1.525,0,330
Share Low,Alaska,B.1.525,0,330
Share High,Alaska,B.1.525,0,330
Share,Alaska,B.1.526 (Iota),0,330
Share Low,Alaska,B.1.526 (Iota),0,330
Share High,Alaska,B.1.526 (Iota),0,330
Share,Alaska,B.1.617.1,0,330
Share Low,Alaska,B.1.617.1,0,330
Share High,Alaska,B.1.617.1,0,330
Share,Alaska,B.1.617.2 (Delta),0,330
Share Low,Alaska,B.1.617.2 (Delta),0,330
Share High,Alaska,B.1.617.2 (Delta),0,330
Share,Alaska,B.1.617.3,0,330
Share Low,Alaska,B.1.617.3,0,330
Share High,Alaska,B.1.617.3,0,330
Share,Alaska,B.1.621 (Mu),0,330
Share Low,Alaska,B.1.621 (Mu),0,330
Share High,Alaska,B.1.621 (Mu),0,330
Share,Alaska,BA.2 (Omicron),0.009309814,330
Share Low,Alaska,BA.2 (Omicron),0.001726949,330
Share High,Alaska,BA.2 (Omicron),0.028242361,330
Share,Alaska,BA.2.12.1 (Omicron),0.017893601,330
Share Low,Alaska,BA.2.12.1 (Omicron),0.006528236,330
Share High,Alaska,BA.2.12.1 (Omicron),0.038761500,330
Share,Alaska,BA.4 (Omicron),0.057152543,330
Share Low,Alaska,BA.4 (Omicron),0.005592708,330
Share High,Alaska,BA.4 (Omicron),0.205110818,330
Share,Alaska,BA.4.6 (Omicron),0.015504677,330
Share Low,Alaska,BA.4.6 (Omicron),0.005136646,330
Share High,Alaska,BA.4.6 (Omicron),0.035491269,330
Share,Alaska,BA.5 (Omicron),0.900139391,330
Share Low,Alaska,BA.5 (Omicron),0.808074236,330
Share High,Alaska,BA.5 (Omicron),0.957722545,330
Share,Alaska,Other,0,330
Share Low,Alaska,Other,0,330
Share High,Alaska,Other,0,330
Share,Alaska,P.1,0,330
Share Low,Alaska,P.1,0,330
Share High,Alaska,P.1,0,330
Share,Alaska,P.2,0,330
Share Low,Alaska,P.2,0,330
Share High,Alaska,P.2,0,330
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429 (Epsilon),0,0
Share Low,American Samoa,B.1.427/429 (Epsilon),0,0
Share High,American Samoa,B.1.427/429 (Epsilon),0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,BA.2.12.1 (Omicron),0,0
Share Low,American Samoa,BA.2.12.1 (Omicron),0,0
Share High,American Samoa,BA.2.12.1 (Omicron),0,0
Share,American Samoa,BA.4 (Omicron),0,0
Share Low,American Samoa,BA.4 (Omicron),0,0
Share High,American Samoa,BA.4 (Omicron),0,0
Share,American Samoa,BA.4.6 (Omicron),0,0
Share Low,American Samoa,BA.4.6 (Omicron),0,0
Share High,American Samoa,BA.4.6 (Omicron),0,0
Share,American Samoa,BA.5 (Omicron),0,0
Share Low,American Samoa,BA.5 (Omicron),0,0
Share High,American Samoa,BA.5 (Omicron),0,0
Share,American Samoa,Other,0,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,0,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,0,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1 (Delta),0,"2,311"
Share Low,Arizona,AY.1 (Delta),0,"2,311"
Share High,Arizona,AY.1 (Delta),0,"2,311"
Share,Arizona,AY.2 (Delta),0,"2,311"
Share Low,Arizona,AY.2 (Delta),0,"2,311"
Share High,Arizona,AY.2 (Delta),0,"2,311"
Share,Arizona,B.1.1.7 (Alpha),0,"2,311"
Share Low,Arizona,B.1.1.7 (Alpha),0,"2,311"
Share High,Arizona,B.1.1.7 (Alpha),0,"2,311"
Share,Arizona,B.1.1.529 (Omicron),0,"2,311"
Share Low,Arizona,B.1.1.529 (Omicron),0,"2,311"
Share High,Arizona,B.1.1.529 (Omicron),0,"2,311"
Share,Arizona,B.1.351,0,"2,311"
Share Low,Arizona,B.1.351,0,"2,311"
Share High,Arizona,B.1.351,0,"2,311"
Share,Arizona,B.1.427/429 (Epsilon),0,"2,311"
Share Low,Arizona,B.1.427/429 (Epsilon),0,"2,311"
Share High,Arizona,B.1.427/429 (Epsilon),0,"2,311"
Share,Arizona,B.1.525,0,"2,311"
Share Low,Arizona,B.1.525,0,"2,311"
Share High,Arizona,B.1.525,0,"2,311"
Share,Arizona,B.1.526 (Iota),0,"2,311"
Share Low,Arizona,B.1.526 (Iota),0,"2,311"
Share High,Arizona,B.1.526 (Iota),0,"2,311"
Share,Arizona,B.1.617.1,0,"2,311"
Share Low,Arizona,B.1.617.1,0,"2,311"
Share High,Arizona,B.1.617.1,0,"2,311"
Share,Arizona,B.1.617.2 (Delta),0,"2,311"
Share Low,Arizona,B.1.617.2 (Delta),0,"2,311"
Share High,Arizona,B.1.617.2 (Delta),0,"2,311"
Share,Arizona,B.1.617.3,0,"2,311"
Share Low,Arizona,B.1.617.3,0,"2,311"
Share High,Arizona,B.1.617.3,0,"2,311"
Share,Arizona,B.1.621 (Mu),0,"2,311"
Share Low,Arizona,B.1.621 (Mu),0,"2,311"
Share High,Arizona,B.1.621 (Mu),0,"2,311"
Share,Arizona,BA.2 (Omicron),0.010693287,"2,311"
Share Low,Arizona,BA.2 (Omicron),0.005258822,"2,311"
Share High,Arizona,BA.2 (Omicron),0.019276490,"2,311"
Share,Arizona,BA.2.12.1 (Omicron),0.026056439,"2,311"
Share Low,Arizona,BA.2.12.1 (Omicron),0.019951632,"2,311"
Share High,Arizona,BA.2.12.1 (Omicron),0.033399001,"2,311"
Share,Arizona,BA.4 (Omicron),0.083606772,"2,311"
Share Low,Arizona,BA.4 (Omicron),0.066879466,"2,311"
Share High,Arizona,BA.4 (Omicron),0.102936879,"2,311"
Share,Arizona,BA.4.6 (Omicron),0.021869369,"2,311"
Share Low,Arizona,BA.4.6 (Omicron),0.016302163,"2,311"
Share High,Arizona,BA.4.6 (Omicron),0.028689763,"2,311"
Share,Arizona,BA.5 (Omicron),0.857774138,"2,311"
Share Low,Arizona,BA.5 (Omicron),0.842864096,"2,311"
Share High,Arizona,BA.5 (Omicron),0.871770680,"2,311"
Share,Arizona,Other,0,"2,311"
Share Low,Arizona,Other,0,"2,311"
Share High,Arizona,Other,0,"2,311"
Share,Arizona,P.1,0,"2,311"
Share Low,Arizona,P.1,0,"2,311"
Share High,Arizona,P.1,0,"2,311"
Share,Arizona,P.2,0,"2,311"
Share Low,Arizona,P.2,0,"2,311"
Share High,Arizona,P.2,0,"2,311"
Share,Arkansas,AY.1 (Delta),0,141
Share Low,Arkansas,AY.1 (Delta),0,141
Share High,Arkansas,AY.1 (Delta),0,141
Share,Arkansas,AY.2 (Delta),0,141
Share Low,Arkansas,AY.2 (Delta),0,141
Share High,Arkansas,AY.2 (Delta),0,141
