Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,937
Share Low,Alabama,AY.1 (Delta),0,937
Share High,Alabama,AY.1 (Delta),0,937
Share,Alabama,AY.2 (Delta),0,937
Share Low,Alabama,AY.2 (Delta),0,937
Share High,Alabama,AY.2 (Delta),0,937
Share,Alabama,B.1.1.7 (Alpha),0,937
Share Low,Alabama,B.1.1.7 (Alpha),0,937
Share High,Alabama,B.1.1.7 (Alpha),0,937
Share,Alabama,B.1.1.529 (Omicron),0.973493874,937
Share Low,Alabama,B.1.1.529 (Omicron),0.961071074,937
Share High,Alabama,B.1.1.529 (Omicron),0.982802033,937
Share,Alabama,B.1.351,0,937
Share Low,Alabama,B.1.351,0,937
Share High,Alabama,B.1.351,0,937
Share,Alabama,B.1.427/429,0,937
Share Low,Alabama,B.1.427/429,0,937
Share High,Alabama,B.1.427/429,0,937
Share,Alabama,B.1.525,0,937
Share Low,Alabama,B.1.525,0,937
Share High,Alabama,B.1.525,0,937
Share,Alabama,B.1.526 (Iota),0,937
Share Low,Alabama,B.1.526 (Iota),0,937
Share High,Alabama,B.1.526 (Iota),0,937
Share,Alabama,B.1.617.1,0,937
Share Low,Alabama,B.1.617.1,0,937
Share High,Alabama,B.1.617.1,0,937
Share,Alabama,B.1.617.2 (Delta),0.019904165,937
Share Low,Alabama,B.1.617.2 (Delta),0.011961215,937
Share High,Alabama,B.1.617.2 (Delta),0.031033309,937
Share,Alabama,B.1.617.3,0,937
Share Low,Alabama,B.1.617.3,0,937
Share High,Alabama,B.1.617.3,0,937
Share,Alabama,B.1.621 (Mu),0,937
Share Low,Alabama,B.1.621 (Mu),0,937
Share High,Alabama,B.1.621 (Mu),0,937
Share,Alabama,BA.2 (Omicron),0.001179642,937
Share Low,Alabama,BA.2 (Omicron),4.031958451e-05,937
Share High,Alabama,BA.2 (Omicron),0.006124847,937
Share,Alabama,Other,0.005422293,937
Share Low,Alabama,Other,0.001783163,937
Share High,Alabama,Other,0.012529026,937
Share,Alabama,P.1,0,937
Share Low,Alabama,P.1,0,937
Share High,Alabama,P.1,0,937
Share,Alabama,P.2,0,937
Share Low,Alabama,P.2,0,937
Share High,Alabama,P.2,0,937
Share,Alaska,AY.1 (Delta),0,701
Share Low,Alaska,AY.1 (Delta),0,701
Share High,Alaska,AY.1 (Delta),0,701
Share,Alaska,AY.2 (Delta),0,701
Share Low,Alaska,AY.2 (Delta),0,701
Share High,Alaska,AY.2 (Delta),0,701
Share,Alaska,B.1.1.7 (Alpha),0,701
Share Low,Alaska,B.1.1.7 (Alpha),0,701
Share High,Alaska,B.1.1.7 (Alpha),0,701
Share,Alaska,B.1.1.529 (Omicron),0.940239847,701
Share Low,Alaska,B.1.1.529 (Omicron),0.920047402,701
Share High,Alaska,B.1.1.529 (Omicron),0.956613839,701
Share,Alaska,B.1.351,0,701
Share Low,Alaska,B.1.351,0,701
Share High,Alaska,B.1.351,0,701
Share,Alaska,B.1.427/429,0,701
Share Low,Alaska,B.1.427/429,0,701
Share High,Alaska,B.1.427/429,0,701
