Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,777
Share Low,Alabama,AY.1 (Delta),0,777
Share High,Alabama,AY.1 (Delta),0,777
Share,Alabama,AY.2 (Delta),0,777
Share Low,Alabama,AY.2 (Delta),0,777
Share High,Alabama,AY.2 (Delta),0,777
Share,Alabama,B.1.1.7 (Alpha),0,777
Share Low,Alabama,B.1.1.7 (Alpha),0,777
Share High,Alabama,B.1.1.7 (Alpha),0,777
Share,Alabama,B.1.1.529 (Omicron),0,777
Share Low,Alabama,B.1.1.529 (Omicron),0,777
Share High,Alabama,B.1.1.529 (Omicron),0,777
Share,Alabama,B.1.351,0,777
Share Low,Alabama,B.1.351,0,777
Share High,Alabama,B.1.351,0,777
Share,Alabama,B.1.427/429 (Epsilon),0,777
Share Low,Alabama,B.1.427/429 (Epsilon),0,777
Share High,Alabama,B.1.427/429 (Epsilon),0,777
Share,Alabama,B.1.525,0,777
Share Low,Alabama,B.1.525,0,777
Share High,Alabama,B.1.525,0,777
Share,Alabama,B.1.526 (Iota),0,777
Share Low,Alabama,B.1.526 (Iota),0,777
Share High,Alabama,B.1.526 (Iota),0,777
Share,Alabama,B.1.617.1,0,777
Share Low,Alabama,B.1.617.1,0,777
Share High,Alabama,B.1.617.1,0,777
Share,Alabama,B.1.617.2 (Delta),0,777
Share Low,Alabama,B.1.617.2 (Delta),0,777
Share High,Alabama,B.1.617.2 (Delta),0,777
Share,Alabama,B.1.617.3,0,777
Share Low,Alabama,B.1.617.3,0,777
Share High,Alabama,B.1.617.3,0,777
Share,Alabama,B.1.621 (Mu),0,777
Share Low,Alabama,B.1.621 (Mu),0,777
Share High,Alabama,B.1.621 (Mu),0,777
Share,Alabama,BA.2 (Omicron),0.079893775,777
Share Low,Alabama,BA.2 (Omicron),0.061810791,777
Share High,Alabama,BA.2 (Omicron),0.101237692,777
Share,Alabama,BA.2.12.1 (Omicron),0.380900323,777
Share Low,Alabama,BA.2.12.1 (Omicron),0.297658443,777
Share High,Alabama,BA.2.12.1 (Omicron),0.469633847,777
