Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,505
Share Low,Alabama,AY.1 (Delta),0,505
Share High,Alabama,AY.1 (Delta),0,505
Share,Alabama,AY.2 (Delta),0,505
Share Low,Alabama,AY.2 (Delta),0,505
Share High,Alabama,AY.2 (Delta),0,505
Share,Alabama,B.1.1.7 (Alpha),0,505
Share Low,Alabama,B.1.1.7 (Alpha),0,505
Share High,Alabama,B.1.1.7 (Alpha),0,505
Share,Alabama,B.1.1.529 (Omicron),0,505
Share Low,Alabama,B.1.1.529 (Omicron),0,505
Share High,Alabama,B.1.1.529 (Omicron),0,505
Share,Alabama,B.1.351,0,505
Share Low,Alabama,B.1.351,0,505
Share High,Alabama,B.1.351,0,505
Share,Alabama,B.1.427/429 (Epsilon),0,505
Share Low,Alabama,B.1.427/429 (Epsilon),0,505
Share High,Alabama,B.1.427/429 (Epsilon),0,505
Share,Alabama,B.1.525,0,505
Share Low,Alabama,B.1.525,0,505
Share High,Alabama,B.1.525,0,505
Share,Alabama,B.1.526 (Iota),0,505
Share Low,Alabama,B.1.526 (Iota),0,505
Share High,Alabama,B.1.526 (Iota),0,505
Share,Alabama,B.1.617.1,0,505
Share Low,Alabama,B.1.617.1,0,505
Share High,Alabama,B.1.617.1,0,505
Share,Alabama,B.1.617.2 (Delta),0,505
Share Low,Alabama,B.1.617.2 (Delta),0,505
Share High,Alabama,B.1.617.2 (Delta),0,505
Share,Alabama,B.1.617.3,0,505
Share Low,Alabama,B.1.617.3,0,505
Share High,Alabama,B.1.617.3,0,505
Share,Alabama,B.1.621 (Mu),0,505
Share Low,Alabama,B.1.621 (Mu),0,505
Share High,Alabama,B.1.621 (Mu),0,505
Share,Alabama,BA.2 (Omicron),0.005719971,505
Share Low,Alabama,BA.2 (Omicron),0.001132612,505
Share High,Alabama,BA.2 (Omicron),0.016932271,505
Share,Alabama,BA.2.12.1 (Omicron),0,505
Share Low,Alabama,BA.2.12.1 (Omicron),0,505
Share High,Alabama,BA.2.12.1 (Omicron),0,505
Share,Alabama,BA.2.75 (Omicron),0,505
Share Low,Alabama,BA.2.75 (Omicron),0,505
Share High,Alabama,BA.2.75 (Omicron),0,505
Share,Alabama,BA.4 (Omicron),0.073249690,505
Share Low,Alabama,BA.4 (Omicron),0.031425178,505
Share High,Alabama,BA.4 (Omicron),0.141138658,505
Share,Alabama,BA.4.6 (Omicron),0.090595417,505
Share Low,Alabama,BA.4.6 (Omicron),0.050334267,505
Share High,Alabama,BA.4.6 (Omicron),0.147497699,505
Share,Alabama,BA.5 (Omicron),0.821378410,505
Share Low,Alabama,BA.5 (Omicron),0.728831828,505
Share High,Alabama,BA.5 (Omicron),0.892753482,505
Share,Alabama,BF.7 (Omicron),0.009056500,505
Share Low,Alabama,BF.7 (Omicron),0.002090688,505
Share High,Alabama,BF.7 (Omicron),0.024961237,505
Share,Alabama,Other,0,505
Share Low,Alabama,Other,0,505
Share High,Alabama,Other,0,505
Share,Alabama,P.1,0,505
Share Low,Alabama,P.1,0,505
Share High,Alabama,P.1,0,505
Share,Alabama,P.2,0,505
Share Low,Alabama,P.2,0,505
Share High,Alabama,P.2,0,505
Share,Alaska,AY.1 (Delta),0,178
Share Low,Alaska,AY.1 (Delta),0,178
Share High,Alaska,AY.1 (Delta),0,178
Share,Alaska,AY.2 (Delta),0,178
Share Low,Alaska,AY.2 (Delta),0,178
Share High,Alaska,AY.2 (Delta),0,178
Share,Alaska,B.1.1.7 (Alpha),0,178
Share Low,Alaska,B.1.1.7 (Alpha),0,178
Share High,Alaska,B.1.1.7 (Alpha),0,178
Share,Alaska,B.1.1.529 (Omicron),0,178
Share Low,Alaska,B.1.1.529 (Omicron),0,178
Share High,Alaska,B.1.1.529 (Omicron),0,178
Share,Alaska,B.1.351,0,178
Share Low,Alaska,B.1.351,0,178
Share High,Alaska,B.1.351,0,178
Share,Alaska,B.1.427/429 (Epsilon),0,178
Share Low,Alaska,B.1.427/429 (Epsilon),0,178
Share High,Alaska,B.1.427/429 (Epsilon),0,178
Share,Alaska,B.1.525,0,178
Share Low,Alaska,B.1.525,0,178
Share High,Alaska,B.1.525,0,178
Share,Alaska,B.1.526 (Iota),0,178
Share Low,Alaska,B.1.526 (Iota),0,178
Share High,Alaska,B.1.526 (Iota),0,178
Share,Alaska,B.1.617.1,0,178
Share Low,Alaska,B.1.617.1,0,178
Share High,Alaska,B.1.617.1,0,178
Share,Alaska,B.1.617.2 (Delta),0,178
Share Low,Alaska,B.1.617.2 (Delta),0,178
Share High,Alaska,B.1.617.2 (Delta),0,178
Share,Alaska,B.1.617.3,0,178
Share Low,Alaska,B.1.617.3,0,178
Share High,Alaska,B.1.617.3,0,178
Share,Alaska,B.1.621 (Mu),0,178
Share Low,Alaska,B.1.621 (Mu),0,178
Share High,Alaska,B.1.621 (Mu),0,178
Share,Alaska,BA.2 (Omicron),0,178
Share Low,Alaska,BA.2 (Omicron),0,178
Share High,Alaska,BA.2 (Omicron),0,178
Share,Alaska,BA.2.12.1 (Omicron),0.005728862,178
Share Low,Alaska,BA.2.12.1 (Omicron),2.314471931e-05,178
Share High,Alaska,BA.2.12.1 (Omicron),0.043482762,178
Share,Alaska,BA.2.75 (Omicron),0,178
Share Low,Alaska,BA.2.75 (Omicron),0,178
Share High,Alaska,BA.2.75 (Omicron),0,178
Share,Alaska,BA.4 (Omicron),0.006296236,178
Share Low,Alaska,BA.4 (Omicron),0.000223815,178
Share High,Alaska,BA.4 (Omicron),0.032047916,178
Share,Alaska,BA.4.6 (Omicron),0.081334829,178
Share Low,Alaska,BA.4.6 (Omicron),0.045696735,178
Share High,Alaska,BA.4.6 (Omicron),0.131667539,178
Share,Alaska,BA.5 (Omicron),0.906640053,178
Share Low,Alaska,BA.5 (Omicron),0.854023039,178
Share High,Alaska,BA.5 (Omicron),0.945050120,178
Share,Alaska,BF.7 (Omicron),0,178
Share Low,Alaska,BF.7 (Omicron),0,178
Share High,Alaska,BF.7 (Omicron),0,178
Share,Alaska,Other,0,178
Share Low,Alaska,Other,0,178
Share High,Alaska,Other,0,178
Share,Alaska,P.1,0,178
Share Low,Alaska,P.1,0,178
Share High,Alaska,P.1,0,178
Share,Alaska,P.2,0,178
Share Low,Alaska,P.2,0,178
Share High,Alaska,P.2,0,178
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429 (Epsilon),0,0
Share Low,American Samoa,B.1.427/429 (Epsilon),0,0
Share High,American Samoa,B.1.427/429 (Epsilon),0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,BA.2.12.1 (Omicron),0,0
Share Low,American Samoa,BA.2.12.1 (Omicron),0,0
Share High,American Samoa,BA.2.12.1 (Omicron),0,0
Share,American Samoa,BA.2.75 (Omicron),0,0
Share Low,American Samoa,BA.2.75 (Omicron),0,0
Share High,American Samoa,BA.2.75 (Omicron),0,0
Share,American Samoa,BA.4 (Omicron),0,0
Share Low,American Samoa,BA.4 (Omicron),0,0
Share High,American Samoa,BA.4 (Omicron),0,0
Share,American Samoa,BA.4.6 (Omicron),0,0
Share Low,American Samoa,BA.4.6 (Omicron),0,0
Share High,American Samoa,BA.4.6 (Omicron),0,0
