Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,429
Share Low,Alabama,AY.1 (Delta),0,429
Share High,Alabama,AY.1 (Delta),0,429
Share,Alabama,AY.2 (Delta),0,429
Share Low,Alabama,AY.2 (Delta),0,429
Share High,Alabama,AY.2 (Delta),0,429
Share,Alabama,B.1.1.7 (Alpha),0,429
Share Low,Alabama,B.1.1.7 (Alpha),0,429
Share High,Alabama,B.1.1.7 (Alpha),0,429
Share,Alabama,B.1.1.529 (Omicron),0,429
Share Low,Alabama,B.1.1.529 (Omicron),0,429
Share High,Alabama,B.1.1.529 (Omicron),0,429
Share,Alabama,B.1.351,0,429
Share Low,Alabama,B.1.351,0,429
Share High,Alabama,B.1.351,0,429
Share,Alabama,B.1.427/429 (Epsilon),0,429
Share Low,Alabama,B.1.427/429 (Epsilon),0,429
Share High,Alabama,B.1.427/429 (Epsilon),0,429
Share,Alabama,B.1.525,0,429
Share Low,Alabama,B.1.525,0,429
Share High,Alabama,B.1.525,0,429
Share,Alabama,B.1.526 (Iota),0,429
Share Low,Alabama,B.1.526 (Iota),0,429
Share High,Alabama,B.1.526 (Iota),0,429
Share,Alabama,B.1.617.1,0,429
Share Low,Alabama,B.1.617.1,0,429
Share High,Alabama,B.1.617.1,0,429
Share,Alabama,B.1.617.2 (Delta),0,429
Share Low,Alabama,B.1.617.2 (Delta),0,429
Share High,Alabama,B.1.617.2 (Delta),0,429
Share,Alabama,B.1.617.3,0,429
Share Low,Alabama,B.1.617.3,0,429
Share High,Alabama,B.1.617.3,0,429
Share,Alabama,B.1.621 (Mu),0,429
Share Low,Alabama,B.1.621 (Mu),0,429
Share High,Alabama,B.1.621 (Mu),0,429
Share,Alabama,BA.2 (Omicron),0.002281743,429
Share Low,Alabama,BA.2 (Omicron),5.395667176e-05,429
Share High,Alabama,BA.2 (Omicron),0.012833658,429
Share,Alabama,BA.2.12.1 (Omicron),0.009403210,429
Share Low,Alabama,BA.2.12.1 (Omicron),0.002586470,429
Share High,Alabama,BA.2.12.1 (Omicron),0.023813345,429
Share,Alabama,BA.4 (Omicron),0.102882840,429
Share Low,Alabama,BA.4 (Omicron),0.075793944,429
Share High,Alabama,BA.4 (Omicron),0.135591909,429
Share,Alabama,BA.4.6 (Omicron),0.083385825,429
Share Low,Alabama,BA.4.6 (Omicron),0.059013471,429
Share High,Alabama,BA.4.6 (Omicron),0.113682300,429
Share,Alabama,BA.5 (Omicron),0.802046359,429
Share Low,Alabama,BA.5 (Omicron),0.761144519,429
Share High,Alabama,BA.5 (Omicron),0.838722944,429
Share,Alabama,Other,0,429
Share Low,Alabama,Other,0,429
Share High,Alabama,Other,0,429
Share,Alabama,P.1,0,429
Share Low,Alabama,P.1,0,429
Share High,Alabama,P.1,0,429
Share,Alabama,P.2,0,429
