Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,820
Share Low,Alabama,AY.1 (Delta),0,820
Share High,Alabama,AY.1 (Delta),0,820
Share,Alabama,AY.2 (Delta),0,820
Share Low,Alabama,AY.2 (Delta),0,820
Share High,Alabama,AY.2 (Delta),0,820
Share,Alabama,B.1.1.7 (Alpha),0,820
Share Low,Alabama,B.1.1.7 (Alpha),0,820
Share High,Alabama,B.1.1.7 (Alpha),0,820
Share,Alabama,B.1.1.529 (Omicron),0,820
Share Low,Alabama,B.1.1.529 (Omicron),0,820
Share High,Alabama,B.1.1.529 (Omicron),0,820
Share,Alabama,B.1.351,0,820
Share Low,Alabama,B.1.351,0,820
Share High,Alabama,B.1.351,0,820
Share,Alabama,B.1.427/429 (Epsilon),0,820
Share Low,Alabama,B.1.427/429 (Epsilon),0,820
Share High,Alabama,B.1.427/429 (Epsilon),0,820
Share,Alabama,B.1.525,0,820
Share Low,Alabama,B.1.525,0,820
Share High,Alabama,B.1.525,0,820
Share,Alabama,B.1.526 (Iota),0,820
Share Low,Alabama,B.1.526 (Iota),0,820
Share High,Alabama,B.1.526 (Iota),0,820
Share,Alabama,B.1.617.1,0,820
Share Low,Alabama,B.1.617.1,0,820
Share High,Alabama,B.1.617.1,0,820
Share,Alabama,B.1.617.2 (Delta),0,820
Share Low,Alabama,B.1.617.2 (Delta),0,820
Share High,Alabama,B.1.617.2 (Delta),0,820
Share,Alabama,B.1.617.3,0,820
Share Low,Alabama,B.1.617.3,0,820
Share High,Alabama,B.1.617.3,0,820
Share,Alabama,B.1.621 (Mu),0,820
Share Low,Alabama,B.1.621 (Mu),0,820
Share High,Alabama,B.1.621 (Mu),0,820
Share,Alabama,BA.2 (Omicron),0.124502763,820
Share Low,Alabama,BA.2 (Omicron),0.102677695,820
Share High,Alabama,BA.2 (Omicron),0.149067119,820
Share,Alabama,BA.2.12.1 (Omicron),0.466289550,820
Share Low,Alabama,BA.2.12.1 (Omicron),0.431709141,820
Share High,Alabama,BA.2.12.1 (Omicron),0.501113057,820
Share,Alabama,BA.4 (Omicron),0.110120922,820
Share Low,Alabama,BA.4 (Omicron),0.087984331,820
Share High,Alabama,BA.4 (Omicron),0.135576859,820
Share,Alabama,BA.5 (Omicron),0.299086779,820
Share Low,Alabama,BA.5 (Omicron),0.265839666,820
Share High,Alabama,BA.5 (Omicron),0.333988786,820
Share,Alabama,Other,0,820
Share Low,Alabama,Other,0,820
Share High,Alabama,Other,0,820
Share,Alabama,P.1,0,820
Share Low,Alabama,P.1,0,820
Share High,Alabama,P.1,0,820
Share,Alabama,P.2,0,820
Share Low,Alabama,P.2,0,820
Share High,Alabama,P.2,0,820
Share,Alaska,AY.1 (Delta),0,139
Share Low,Alaska,AY.1 (Delta),0,139
Share High,Alaska,AY.1 (Delta),0,139
Share,Alaska,AY.2 (Delta),0,139
Share Low,Alaska,AY.2 (Delta),0,139
Share High,Alaska,AY.2 (Delta),0,139
Share,Alaska,B.1.1.7 (Alpha),0,139
Share Low,Alaska,B.1.1.7 (Alpha),0,139
Share High,Alaska,B.1.1.7 (Alpha),0,139
Share,Alaska,B.1.1.529 (Omicron),0,139
Share Low,Alaska,B.1.1.529 (Omicron),0,139
Share High,Alaska,B.1.1.529 (Omicron),0,139
Share,Alaska,B.1.351,0,139
Share Low,Alaska,B.1.351,0,139
Share High,Alaska,B.1.351,0,139
Share,Alaska,B.1.427/429 (Epsilon),0,139
Share Low,Alaska,B.1.427/429 (Epsilon),0,139
Share High,Alaska,B.1.427/429 (Epsilon),0,139
Share,Alaska,B.1.525,0,139
Share Low,Alaska,B.1.525,0,139
Share High,Alaska,B.1.525,0,139
Share,Alaska,B.1.526 (Iota),0,139
Share Low,Alaska,B.1.526 (Iota),0,139
Share High,Alaska,B.1.526 (Iota),0,139
Share,Alaska,B.1.617.1,0,139
Share Low,Alaska,B.1.617.1,0,139
Share High,Alaska,B.1.617.1,0,139
Share,Alaska,B.1.617.2 (Delta),0,139
Share Low,Alaska,B.1.617.2 (Delta),0,139
Share High,Alaska,B.1.617.2 (Delta),0,139
Share,Alaska,B.1.617.3,0,139
Share Low,Alaska,B.1.617.3,0,139
Share High,Alaska,B.1.617.3,0,139
Share,Alaska,B.1.621 (Mu),0,139
Share Low,Alaska,B.1.621 (Mu),0,139
Share High,Alaska,B.1.621 (Mu),0,139
Share,Alaska,BA.2 (Omicron),0.252860218,139
Share Low,Alaska,BA.2 (Omicron),0.183016196,139
Share High,Alaska,BA.2 (Omicron),0.333539903,139
Share,Alaska,BA.2.12.1 (Omicron),0.332840800,139
Share Low,Alaska,BA.2.12.1 (Omicron),0.185450271,139
Share High,Alaska,BA.2.12.1 (Omicron),0.508792639,139
Share,Alaska,BA.4 (Omicron),0.097006090,139
Share Low,Alaska,BA.4 (Omicron),0.052585546,139
Share High,Alaska,BA.4 (Omicron),0.160340041,139
Share,Alaska,BA.5 (Omicron),0.317292899,139
Share Low,Alaska,BA.5 (Omicron),0.163380250,139
Share High,Alaska,BA.5 (Omicron),0.507323623,139
Share,Alaska,Other,0,139
Share Low,Alaska,Other,0,139
Share High,Alaska,Other,0,139
Share,Alaska,P.1,0,139
Share Low,Alaska,P.1,0,139
Share High,Alaska,P.1,0,139
Share,Alaska,P.2,0,139
Share Low,Alaska,P.2,0,139
Share High,Alaska,P.2,0,139
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429 (Epsilon),0,0
Share Low,American Samoa,B.1.427/429 (Epsilon),0,0
Share High,American Samoa,B.1.427/429 (Epsilon),0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,BA.2.12.1 (Omicron),0,0
Share Low,American Samoa,BA.2.12.1 (Omicron),0,0
Share High,American Samoa,BA.2.12.1 (Omicron),0,0
Share,American Samoa,BA.4 (Omicron),0,0
Share Low,American Samoa,BA.4 (Omicron),0,0
Share High,American Samoa,BA.4 (Omicron),0,0
Share,American Samoa,BA.5 (Omicron),0,0
Share Low,American Samoa,BA.5 (Omicron),0,0
Share High,American Samoa,BA.5 (Omicron),0,0
Share,American Samoa,Other,0,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,0,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
Share,American Samoa,P.2,0,0
Share Low,American Samoa,P.2,0,0
Share High,American Samoa,P.2,0,0
Share,Arizona,AY.1 (Delta),0,"2,971"
Share Low,Arizona,AY.1 (Delta),0,"2,971"
Share High,Arizona,AY.1 (Delta),0,"2,971"
Share,Arizona,AY.2 (Delta),0,"2,971"
Share Low,Arizona,AY.2 (Delta),0,"2,971"
Share High,Arizona,AY.2 (Delta),0,"2,971"
Share,Arizona,B.1.1.7 (Alpha),0,"2,971"
Share Low,Arizona,B.1.1.7 (Alpha),0,"2,971"
Share High,Arizona,B.1.1.7 (Alpha),0,"2,971"
Share,Arizona,B.1.1.529 (Omicron),0.004561784,"2,971"
Share Low,Arizona,B.1.1.529 (Omicron),0.000466626,"2,971"
Share High,Arizona,B.1.1.529 (Omicron),0.017360419,"2,971"
Share,Arizona,B.1.351,0,"2,971"
Share Low,Arizona,B.1.351,0,"2,971"
Share High,Arizona,B.1.351,0,"2,971"
Share,Arizona,B.1.427/429 (Epsilon),0,"2,971"
Share Low,Arizona,B.1.427/429 (Epsilon),0,"2,971"
Share High,Arizona,B.1.427/429 (Epsilon),0,"2,971"
Share,Arizona,B.1.525,0,"2,971"
Share Low,Arizona,B.1.525,0,"2,971"
Share High,Arizona,B.1.525,0,"2,971"
Share,Arizona,B.1.526 (Iota),0,"2,971"
Share Low,Arizona,B.1.526 (Iota),0,"2,971"
Share High,Arizona,B.1.526 (Iota),0,"2,971"
Share,Arizona,B.1.617.1,0,"2,971"
Share Low,Arizona,B.1.617.1,0,"2,971"
Share High,Arizona,B.1.617.1,0,"2,971"
Share,Arizona,B.1.617.2 (Delta),0.000560492,"2,971"
Share Low,Arizona,B.1.617.2 (Delta),4.955861368e-05,"2,971"
Share High,Arizona,B.1.617.2 (Delta),0.002248800,"2,971"
Share,Arizona,B.1.617.3,0,"2,971"
Share Low,Arizona,B.1.617.3,0,"2,971"
Share High,Arizona,B.1.617.3,0,"2,971"
Share,Arizona,B.1.621 (Mu),0,"2,971"
Share Low,Arizona,B.1.621 (Mu),0,"2,971"
Share High,Arizona,B.1.621 (Mu),0,"2,971"
Share,Arizona,BA.2 (Omicron),0.172236577,"2,971"
Share Low,Arizona,BA.2 (Omicron),0.148221537,"2,971"
Share High,Arizona,BA.2 (Omicron),0.198399037,"2,971"
Share,Arizona,BA.2.12.1 (Omicron),0.502008200,"2,971"
Share Low,Arizona,BA.2.12.1 (Omicron),0.466405690,"2,971"
Share High,Arizona,BA.2.12.1 (Omicron),0.537595510,"2,971"
Share,Arizona,BA.4 (Omicron),0.123565547,"2,971"
Share Low,Arizona,BA.4 (Omicron),0.110325664,"2,971"
Share High,Arizona,BA.4 (Omicron),0.137781367,"2,971"
Share,Arizona,BA.5 (Omicron),0.196532518,"2,971"
Share Low,Arizona,BA.5 (Omicron),0.147096246,"2,971"
Share High,Arizona,BA.5 (Omicron),0.254015684,"2,971"
Share,Arizona,Other,0.000534890,"2,971"
Share Low,Arizona,Other,1.898649316e-05,"2,971"
Share High,Arizona,Other,0.002756179,"2,971"
Share,Arizona,P.1,0,"2,971"
Share Low,Arizona,P.1,0,"2,971"
Share High,Arizona,P.1,0,"2,971"
Share,Arizona,P.2,0,"2,971"
Share Low,Arizona,P.2,0,"2,971"
Share High,Arizona,P.2,0,"2,971"
Share,Arkansas,AY.1 (Delta),0,95
Share Low,Arkansas,AY.1 (Delta),0,95
Share High,Arkansas,AY.1 (Delta),0,95
Share,Arkansas,AY.2 (Delta),0,95
Share Low,Arkansas,AY.2 (Delta),0,95
Share High,Arkansas,AY.2 (Delta),0,95
Share,Arkansas,B.1.1.7 (Alpha),0,95
Share Low,Arkansas,B.1.1.7 (Alpha),0,95
Share High,Arkansas,B.1.1.7 (Alpha),0,95
Share,Arkansas,B.1.1.529 (Omicron),0,95
Share Low,Arkansas,B.1.1.529 (Omicron),0,95
Share High,Arkansas,B.1.1.529 (Omicron),0,95
Share,Arkansas,B.1.351,0,95
Share Low,Arkansas,B.1.351,0,95
Share High,Arkansas,B.1.351,0,95
Share,Arkansas,B.1.427/429 (Epsilon),0,95
Share Low,Arkansas,B.1.427/429 (Epsilon),0,95
Share High,Arkansas,B.1.427/429 (Epsilon),0,95
Share,Arkansas,B.1.525,0,95
Share Low,Arkansas,B.1.525,0,95
Share High,Arkansas,B.1.525,0,95
Share,Arkansas,B.1.526 (Iota),0,95
Share Low,Arkansas,B.1.526 (Iota),0,95
Share High,Arkansas,B.1.526 (Iota),0,95
Share,Arkansas,B.1.617.1,0,95
Share Low,Arkansas,B.1.617.1,0,95
Share High,Arkansas,B.1.617.1,0,95
Share,Arkansas,B.1.617.2 (Delta),0,95
Share Low,Arkansas,B.1.617.2 (Delta),0,95
Share High,Arkansas,B.1.617.2 (Delta),0,95
Share,Arkansas,B.1.617.3,0,95
Share Low,Arkansas,B.1.617.3,0,95
Share High,Arkansas,B.1.617.3,0,95
Share,Arkansas,B.1.621 (Mu),0,95
Share Low,Arkansas,B.1.621 (Mu),0,95
Share High,Arkansas,B.1.621 (Mu),0,95
Share,Arkansas,BA.2 (Omicron),0.123465873,95
Share Low,Arkansas,BA.2 (Omicron),0.063605942,95
Share High,Arkansas,BA.2 (Omicron),0.209500656,95
Share,Arkansas,BA.2.12.1 (Omicron),0.383393884,95
Share Low,Arkansas,BA.2.12.1 (Omicron),0.233107686,95
Share High,Arkansas,BA.2.12.1 (Omicron),0.551960588,95
Share,Arkansas,BA.4 (Omicron),0.020577647,95
Share Low,Arkansas,BA.4 (Omicron),0.001732946,95
Share High,Arkansas,BA.4 (Omicron),0.081367776,95
Share,Arkansas,BA.5 (Omicron),0.472562611,95
Share Low,Arkansas,BA.5 (Omicron),0.248901516,95
Share High,Arkansas,BA.5 (Omicron),0.704624772,95
Share,Arkansas,Other,0,95
Share Low,Arkansas,Other,0,95
Share High,Arkansas,Other,0,95
Share,Arkansas,P.1,0,95
Share Low,Arkansas,P.1,0,95
Share High,Arkansas,P.1,0,95
Share,Arkansas,P.2,0,95
Share Low,Arkansas,P.2,0,95
Share High,Arkansas,P.2,0,95
Share,California,AY.1 (Delta),0,"12,414"
Share Low,California,AY.1 (Delta),0,"12,414"
Share High,California,AY.1 (Delta),0,"12,414"
Share,California,AY.2 (Delta),0,"12,414"
Share Low,California,AY.2 (Delta),0,"12,414"
Share High,California,AY.2 (Delta),0,"12,414"
Share,California,B.1.1.7 (Alpha),0,"12,414"
Share Low,California,B.1.1.7 (Alpha),0,"12,414"
Share High,California,B.1.1.7 (Alpha),0,"12,414"
Share,California,B.1.1.529 (Omicron),7.387695223e-05,"12,414"
Share Low,California,B.1.1.529 (Omicron),1.404894192e-06,"12,414"
Share High,California,B.1.1.529 (Omicron),0.000437099,"12,414"
Share,California,B.1.351,0,"12,414"
Share Low,California,B.1.351,0,"12,414"
Share High,California,B.1.351,0,"12,414"
Share,California,B.1.427/429 (Epsilon),7.021577039e-05,"12,414"
Share Low,California,B.1.427/429 (Epsilon),2.740432876e-07,"12,414"
Share High,California,B.1.427/429 (Epsilon),0.000546108,"12,414"
Share,California,B.1.525,0,"12,414"
Share Low,California,B.1.525,0,"12,414"
Share High,California,B.1.525,0,"12,414"
Share,California,B.1.526 (Iota),0,"12,414"
Share Low,California,B.1.526 (Iota),0,"12,414"
Share High,California,B.1.526 (Iota),0,"12,414"
Share,California,B.1.617.1,0,"12,414"
Share Low,California,B.1.617.1,0,"12,414"
Share High,California,B.1.617.1,0,"12,414"
Share,California,B.1.617.2 (Delta),0,"12,414"
Share Low,California,B.1.617.2 (Delta),0,"12,414"
Share High,California,B.1.617.2 (Delta),0,"12,414"
Share,California,B.1.617.3,0,"12,414"
Share Low,California,B.1.617.3,0,"12,414"
Share High,California,B.1.617.3,0,"12,414"
Share,California,B.1.621 (Mu),0,"12,414"
Share Low,California,B.1.621 (Mu),0,"12,414"
Share High,California,B.1.621 (Mu),0,"12,414"
Share,California,BA.2 (Omicron),0.152407497,"12,414"
Share Low,California,BA.2 (Omicron),0.139515087,"12,414"
Share High,California,BA.2 (Omicron),0.166004792,"12,414"
Share,California,BA.2.12.1 (Omicron),0.471599162,"12,414"
Share Low,California,BA.2.12.1 (Omicron),0.421637982,"12,414"
Share High,California,BA.2.12.1 (Omicron),0.521986246,"12,414"
Share,California,BA.4 (Omicron),0.102164991,"12,414"
