Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,523
Share Low,Alabama,AY.1 (Delta),0,523
Share High,Alabama,AY.1 (Delta),0,523
Share,Alabama,AY.2 (Delta),0,523
Share Low,Alabama,AY.2 (Delta),0,523
Share High,Alabama,AY.2 (Delta),0,523
Share,Alabama,B.1.1.7 (Alpha),0,523
Share Low,Alabama,B.1.1.7 (Alpha),0,523
Share High,Alabama,B.1.1.7 (Alpha),0,523
Share,Alabama,B.1.1.529 (Omicron),0.981625259,523
Share Low,Alabama,B.1.1.529 (Omicron),0.962213159,523
Share High,Alabama,B.1.1.529 (Omicron),0.992677450,523
Share,Alabama,B.1.351,0,523
Share Low,Alabama,B.1.351,0,523
Share High,Alabama,B.1.351,0,523
Share,Alabama,B.1.427/429,0,523
Share Low,Alabama,B.1.427/429,0,523
Share High,Alabama,B.1.427/429,0,523
Share,Alabama,B.1.525,0,523
Share Low,Alabama,B.1.525,0,523
Share High,Alabama,B.1.525,0,523
Share,Alabama,B.1.526 (Iota),0,523
Share Low,Alabama,B.1.526 (Iota),0,523
Share High,Alabama,B.1.526 (Iota),0,523
Share,Alabama,B.1.617.1,0,523
Share Low,Alabama,B.1.617.1,0,523
Share High,Alabama,B.1.617.1,0,523
Share,Alabama,B.1.617.2 (Delta),0.001763504,523
Share Low,Alabama,B.1.617.2 (Delta),3.419446148e-05,523
Share High,Alabama,B.1.617.2 (Delta),0.010349614,523
Share,Alabama,B.1.617.3,0,523
Share Low,Alabama,B.1.617.3,0,523
Share High,Alabama,B.1.617.3,0,523
Share,Alabama,B.1.621 (Mu),0,523
Share Low,Alabama,B.1.621 (Mu),0,523
Share High,Alabama,B.1.621 (Mu),0,523
Share,Alabama,BA.2 (Omicron),0.016611239,523
Share Low,Alabama,BA.2 (Omicron),0.005542335,523
Share High,Alabama,BA.2 (Omicron),0.037855245,523
Share,Alabama,Other,0,523
Share Low,Alabama,Other,0,523
Share High,Alabama,Other,0,523
Share,Alabama,P.1,0,523
Share Low,Alabama,P.1,0,523
Share High,Alabama,P.1,0,523
Share,Alabama,P.2,0,523
Share Low,Alabama,P.2,0,523
Share High,Alabama,P.2,0,523
Share,Alaska,AY.1 (Delta),0,571
Share Low,Alaska,AY.1 (Delta),0,571
Share High,Alaska,AY.1 (Delta),0,571
Share,Alaska,AY.2 (Delta),0,571
Share Low,Alaska,AY.2 (Delta),0,571
Share High,Alaska,AY.2 (Delta),0,571
Share,Alaska,B.1.1.7 (Alpha),0,571
Share Low,Alaska,B.1.1.7 (Alpha),0,571
Share High,Alaska,B.1.1.7 (Alpha),0,571
Share,Alaska,B.1.1.529 (Omicron),0.733599365,571
Share Low,Alaska,B.1.1.529 (Omicron),0.573718727,571
Share High,Alaska,B.1.1.529 (Omicron),0.858556926,571
Share,Alaska,B.1.351,0,571
Share Low,Alaska,B.1.351,0,571
Share High,Alaska,B.1.351,0,571
Share,Alaska,B.1.427/429,0,571
Share Low,Alaska,B.1.427/429,0,571
Share High,Alaska,B.1.427/429,0,571
Share,Alaska,B.1.525,0,571
Share Low,Alaska,B.1.525,0,571
Share High,Alaska,B.1.525,0,571
Share,Alaska,B.1.526 (Iota),0,571
Share Low,Alaska,B.1.526 (Iota),0,571
Share High,Alaska,B.1.526 (Iota),0,571
Share,Alaska,B.1.617.1,0,571
Share Low,Alaska,B.1.617.1,0,571
Share High,Alaska,B.1.617.1,0,571
Share,Alaska,B.1.617.2 (Delta),0,571
Share Low,Alaska,B.1.617.2 (Delta),0,571
Share High,Alaska,B.1.617.2 (Delta),0,571
Share,Alaska,B.1.617.3,0,571
Share Low,Alaska,B.1.617.3,0,571
Share High,Alaska,B.1.617.3,0,571
Share,Alaska,B.1.621 (Mu),0,571
Share Low,Alaska,B.1.621 (Mu),0,571
Share High,Alaska,B.1.621 (Mu),0,571
Share,Alaska,BA.2 (Omicron),0.266400635,571
Share Low,Alaska,BA.2 (Omicron),0.141443074,571
Share High,Alaska,BA.2 (Omicron),0.426281273,571
Share,Alaska,Other,0,571
Share Low,Alaska,Other,0,571
Share High,Alaska,Other,0,571
Share,Alaska,P.1,0,571
Share Low,Alaska,P.1,0,571
Share High,Alaska,P.1,0,571
Share,Alaska,P.2,0,571
