Measure Names,State/Jurisdiction,Variant,Measure Values,Total Sequences 
Share,Alabama,AY.1 (Delta),0,969
Share Low,Alabama,AY.1 (Delta),0,969
Share High,Alabama,AY.1 (Delta),0,969
Share,Alabama,AY.2 (Delta),0,969
Share Low,Alabama,AY.2 (Delta),0,969
Share High,Alabama,AY.2 (Delta),0,969
Share,Alabama,B.1.1.7 (Alpha),0,969
Share Low,Alabama,B.1.1.7 (Alpha),0,969
Share High,Alabama,B.1.1.7 (Alpha),0,969
Share,Alabama,B.1.1.529 (Omicron),0.998981297,969
Share Low,Alabama,B.1.1.529 (Omicron),0.991682351,969
Share High,Alabama,B.1.1.529 (Omicron),0.999997258,969
Share,Alabama,B.1.351,0,969
Share Low,Alabama,B.1.351,0,969
Share High,Alabama,B.1.351,0,969
Share,Alabama,B.1.427/429,0,969
Share Low,Alabama,B.1.427/429,0,969
Share High,Alabama,B.1.427/429,0,969
Share,Alabama,B.1.525,0,969
Share Low,Alabama,B.1.525,0,969
Share High,Alabama,B.1.525,0,969
Share,Alabama,B.1.526 (Iota),0,969
Share Low,Alabama,B.1.526 (Iota),0,969
Share High,Alabama,B.1.526 (Iota),0,969
Share,Alabama,B.1.617.1,0,969
Share Low,Alabama,B.1.617.1,0,969
Share High,Alabama,B.1.617.1,0,969
Share,Alabama,B.1.617.2 (Delta),0,969
Share Low,Alabama,B.1.617.2 (Delta),0,969
Share High,Alabama,B.1.617.2 (Delta),0,969
Share,Alabama,B.1.617.3,0,969
Share Low,Alabama,B.1.617.3,0,969
Share High,Alabama,B.1.617.3,0,969
Share,Alabama,B.1.621 (Mu),0,969
Share Low,Alabama,B.1.621 (Mu),0,969
Share High,Alabama,B.1.621 (Mu),0,969
Share,Alabama,BA.2 (Omicron),0.001018730,969
Share Low,Alabama,BA.2 (Omicron),2.768162176e-06,969
Share High,Alabama,BA.2 (Omicron),0.008317624,969
Share,Alabama,Other,0,969
Share Low,Alabama,Other,0,969
Share High,Alabama,Other,0,969
Share,Alabama,P.1,0,969
Share Low,Alabama,P.1,0,969
Share High,Alabama,P.1,0,969
Share,Alabama,P.2,0,969
Share Low,Alabama,P.2,0,969
Share High,Alabama,P.2,0,969
Share,Alaska,AY.1 (Delta),0,751
Share Low,Alaska,AY.1 (Delta),0,751
Share High,Alaska,AY.1 (Delta),0,751
Share,Alaska,AY.2 (Delta),0,751
Share Low,Alaska,AY.2 (Delta),0,751
Share High,Alaska,AY.2 (Delta),0,751
Share,Alaska,B.1.1.7 (Alpha),0,751
Share Low,Alaska,B.1.1.7 (Alpha),0,751
Share High,Alaska,B.1.1.7 (Alpha),0,751
Share,Alaska,B.1.1.529 (Omicron),0.946163356,751
Share Low,Alaska,B.1.1.529 (Omicron),0.922649205,751
Share High,Alaska,B.1.1.529 (Omicron),0.964216411,751
Share,Alaska,B.1.351,0,751
Share Low,Alaska,B.1.351,0,751
Share High,Alaska,B.1.351,0,751
Share,Alaska,B.1.427/429,0,751
Share Low,Alaska,B.1.427/429,0,751
Share High,Alaska,B.1.427/429,0,751
Share,Alaska,B.1.525,0,751
Share Low,Alaska,B.1.525,0,751
Share High,Alaska,B.1.525,0,751
Share,Alaska,B.1.526 (Iota),0,751
Share Low,Alaska,B.1.526 (Iota),0,751
Share High,Alaska,B.1.526 (Iota),0,751
Share,Alaska,B.1.617.1,0,751
Share Low,Alaska,B.1.617.1,0,751
Share High,Alaska,B.1.617.1,0,751
Share,Alaska,B.1.617.2 (Delta),0.001479623,751
Share Low,Alaska,B.1.617.2 (Delta),5.133849481e-05,751
Share High,Alaska,B.1.617.2 (Delta),0.007650429,751
Share,Alaska,B.1.617.3,0,751
Share Low,Alaska,B.1.617.3,0,751
Share High,Alaska,B.1.617.3,0,751
Share,Alaska,B.1.621 (Mu),0,751
Share Low,Alaska,B.1.621 (Mu),0,751
Share High,Alaska,B.1.621 (Mu),0,751
Share,Alaska,BA.2 (Omicron),0.052356999,751
Share Low,Alaska,BA.2 (Omicron),0.036099255,751
Share High,Alaska,BA.2 (Omicron),0.073087133,751
Share,Alaska,Other,0,751
Share Low,Alaska,Other,0,751
Share High,Alaska,Other,0,751
Share,Alaska,P.1,0,751
Share Low,Alaska,P.1,0,751
Share High,Alaska,P.1,0,751
Share,Alaska,P.2,0,751
Share Low,Alaska,P.2,0,751
Share High,Alaska,P.2,0,751
Share,American Samoa,AY.1 (Delta),0,0
Share Low,American Samoa,AY.1 (Delta),0,0
Share High,American Samoa,AY.1 (Delta),0,0
Share,American Samoa,AY.2 (Delta),0,0
Share Low,American Samoa,AY.2 (Delta),0,0
Share High,American Samoa,AY.2 (Delta),0,0
Share,American Samoa,B.1.1.7 (Alpha),0,0
Share Low,American Samoa,B.1.1.7 (Alpha),0,0
Share High,American Samoa,B.1.1.7 (Alpha),0,0
Share,American Samoa,B.1.1.529 (Omicron),0,0
Share Low,American Samoa,B.1.1.529 (Omicron),0,0
Share High,American Samoa,B.1.1.529 (Omicron),0,0
Share,American Samoa,B.1.351,0,0
Share Low,American Samoa,B.1.351,0,0
Share High,American Samoa,B.1.351,0,0
Share,American Samoa,B.1.427/429,0,0
Share Low,American Samoa,B.1.427/429,0,0
Share High,American Samoa,B.1.427/429,0,0
Share,American Samoa,B.1.525,0,0
Share Low,American Samoa,B.1.525,0,0
Share High,American Samoa,B.1.525,0,0
Share,American Samoa,B.1.526 (Iota),0,0
Share Low,American Samoa,B.1.526 (Iota),0,0
Share High,American Samoa,B.1.526 (Iota),0,0
Share,American Samoa,B.1.617.1,0,0
Share Low,American Samoa,B.1.617.1,0,0
Share High,American Samoa,B.1.617.1,0,0
Share,American Samoa,B.1.617.2 (Delta),0,0
Share Low,American Samoa,B.1.617.2 (Delta),0,0
Share High,American Samoa,B.1.617.2 (Delta),0,0
Share,American Samoa,B.1.617.3,0,0
Share Low,American Samoa,B.1.617.3,0,0
Share High,American Samoa,B.1.617.3,0,0
Share,American Samoa,B.1.621 (Mu),0,0
Share Low,American Samoa,B.1.621 (Mu),0,0
Share High,American Samoa,B.1.621 (Mu),0,0
Share,American Samoa,BA.2 (Omicron),0,0
Share Low,American Samoa,BA.2 (Omicron),0,0
Share High,American Samoa,BA.2 (Omicron),0,0
Share,American Samoa,Other,0,0
Share Low,American Samoa,Other,0,0
Share High,American Samoa,Other,0,0
Share,American Samoa,P.1,0,0
Share Low,American Samoa,P.1,0,0
Share High,American Samoa,P.1,0,0
