UpdateDTS,State,Measure Names,Measure Values,samples
2021-04-14T14:36:00Z,New York,B.1.1.7,0.2806,1586
2021-04-14T14:36:00Z,New York,B.1.351,0.0013,1586
2021-04-14T14:36:00Z,New York,B.1.427/B.1.429,0.0353,1586
2021-04-14T14:36:00Z,New York,P.1,0.0013,1586
2021-04-14T14:36:00Z,New York,Other lineages,0.6816,1586
2021-04-14T14:36:00Z,North Carolina,B.1.1.7,0.2106,1415
2021-04-14T14:36:00Z,North Carolina,B.1.351,0.036,1415
2021-04-14T14:36:00Z,North Carolina,B.1.427/B.1.429,0.07,1415
2021-04-14T14:36:00Z,North Carolina,P.1,,1415
2021-04-14T14:36:00Z,North Carolina,Other lineages,0.6834,1415
2021-04-14T14:36:00Z,Ohio,B.1.1.7,0.2584,1103
2021-04-14T14:36:00Z,Ohio,B.1.351,0.0136,1103
2021-04-14T14:36:00Z,Ohio,B.1.427/B.1.429,0.0662,1103
2021-04-14T14:36:00Z,Ohio,P.1,0.0082,1103
2021-04-14T14:36:00Z,Ohio,Other lineages,0.6537,1103
2021-04-14T14:36:00Z,Pennsylvania,B.1.1.7,0.2798,2895
2021-04-14T14:36:00Z,Pennsylvania,B.1.351,0.0031,2895
2021-04-14T14:36:00Z,Pennsylvania,B.1.427/B.1.429,0.047,2895
2021-04-14T14:36:00Z,Pennsylvania,P.1,0.001,2895
2021-04-14T14:36:00Z,Pennsylvania,Other lineages,0.6691,2895
2021-04-14T14:36:00Z,Rhode Island,B.1.1.7,0.175,503
2021-04-14T14:36:00Z,Rhode Island,B.1.351,,503
2021-04-14T14:36:00Z,Rhode Island,B.1.427/B.1.429,0.0755,503
2021-04-14T14:36:00Z,Rhode Island,P.1,0.004,503
2021-04-14T14:36:00Z,Rhode Island,Other lineages,0.7455,503
2021-04-14T14:36:00Z,Tennessee,B.1.1.7,0.6046,741
2021-04-14T14:36:00Z,Tennessee,B.1.351,0.0013,741
2021-04-14T14:36:00Z,Tennessee,B.1.427/B.1.429,0.0324,741
2021-04-14T14:36:00Z,Tennessee,P.1,0.0013,741
2021-04-14T14:36:00Z,Tennessee,Other lineages,0.3603,741
2021-04-14T14:36:00Z,Texas,B.1.1.7,0.4272,2425
2021-04-14T14:36:00Z,Texas,B.1.351,0.0029,2425
2021-04-14T14:36:00Z,Texas,B.1.427/B.1.429,0.0804,2425
2021-04-14T14:36:00Z,Texas,P.1,0.0045,2425
2021-04-14T14:36:00Z,Texas,Other lineages,0.4849,2425
2021-04-14T14:36:00Z,Virginia,B.1.1.7,0.3074,1028
2021-04-14T14:36:00Z,Virginia,B.1.351,0.0263,1028
2021-04-14T14:36:00Z,Virginia,B.1.427/B.1.429,0.0788,1028
2021-04-14T14:36:00Z,Virginia,P.1,,1028
2021-04-14T14:36:00Z,Virginia,Other lineages,0.5875,1028
2021-04-14T14:36:00Z,West Virginia,B.1.1.7,0.2291,550
2021-04-14T14:36:00Z,West Virginia,B.1.351,0.0018,550
2021-04-14T14:36:00Z,West Virginia,B.1.427/B.1.429,0.1164,550
2021-04-14T14:36:00Z,West Virginia,P.1,,550
2021-04-14T14:36:00Z,West Virginia,Other lineages,0.6527,550
2021-04-14T14:36:00Z,Wisconsin,B.1.1.7,0.2376,425
2021-04-14T14:36:00Z,Wisconsin,B.1.351,0.0188,425
2021-04-14T14:36:00Z,Wisconsin,B.1.427/B.1.429,0.1106,425
2021-04-14T14:36:00Z,Wisconsin,P.1,0.0141,425
2021-04-14T14:36:00Z,Wisconsin,Other lineages,0.6188,425
2021-04-15T14:45:00Z,Arizona,B.1.1.7,0.1411,411
2021-04-15T14:45:00Z,Arizona,B.1.351,,411
2021-04-15T14:45:00Z,Arizona,B.1.427/B.1.429,0.3601,411
2021-04-15T14:45:00Z,Arizona,P.1,0.0073,411
2021-04-15T14:45:00Z,Arizona,Other lineages,0.4915,411
